date,average,highest,lowest,order_count,volume
2025-05-20,1324500.0,1899000.0,750000.0,2,2
2025-05-22,750000.0,750000.0,750000.0,4,7
2025-05-23,1884000.0,1884000.0,1884000.0,1,1
2025-05-24,750000.0,750000.0,750000.0,1,1
2025-05-25,1884000.0,1884000.0,1884000.0,1,1
2025-05-27,750000.0,750000.0,750000.0,1,1
2025-05-30,1884000.0,1884000.0,1884000.0,1,1
2025-06-01,1884000.0,1884000.0,1884000.0,1,1
2025-06-03,750000.0,750000.0,750000.0,1,1
2025-06-05,781818.18,1800000.0,750000.0,9,33
2025-06-07,876000.0,1884000.0,750000.0,3,9
2025-06-10,1884000.0,1884000.0,1884000.0,1,1
2025-06-11,1884000.0,1884000.0,1884000.0,1,1
2025-06-12,1127833.33,1883500.0,750000.0,3,6
2025-06-13,750000.0,750000.0,750000.0,1,1
2025-06-14,750000.0,750000.0,750000.0,2,2
2025-06-16,750000.0,750000.0,750000.0,2,2
2025-06-19,1867000.0,1867000.0,1867000.0,1,1
2025-06-20,1866000.0,1866000.0,1866000.0,1,1
2025-06-21,750000.0,750000.0,750000.0,1,1
2025-06-22,1305500.0,1861000.0,750000.0,2,2
2025-06-24,750000.0,750000.0,750000.0,1,4
2025-06-25,750000.0,750000.0,750000.0,1,4
2025-06-28,1024250.0,1847000.0,750000.0,2,4
2025-06-29,1298500.0,1847000.0,750000.0,3,4
2025-06-30,750000.0,750000.0,750000.0,1,1
2025-07-01,1839000.0,1839000.0,1839000.0,1,1
2025-07-04,750000.0,750000.0,750000.0,1,1
2025-07-06,750000.0,750000.0,750000.0,2,2
2025-07-07,750000.0,750000.0,750000.0,1,1
2025-07-08,750000.0,750000.0,750000.0,1,1
2025-07-11,1819000.0,1819000.0,1819000.0,1,1
2025-07-12,750000.0,750000.0,750000.0,2,2
2025-07-13,750000.0,750000.0,750000.0,3,3
2025-07-14,1001000.0,1816000.0,186000.0,2,2
2025-07-15,750000.0,750000.0,750000.0,1,2
2025-07-16,750000.0,750000.0,750000.0,1,1
2025-07-17,750000.0,750000.0,750000.0,1,1
2025-07-20,1280000.0,1810000.0,750000.0,2,2
2025-07-22,750000.0,750000.0,750000.0,1,4
2025-07-23,750000.0,750000.0,750000.0,1,1
2025-07-25,750000.0,750000.0,750000.0,1,1
2025-07-26,1274500.0,1799000.0,750000.0,2,2
2025-07-27,750000.0,750000.0,750000.0,1,1
2025-07-28,1796000.0,1796000.0,1796000.0,1,1
2025-07-30,1096333.33,1789000.0,750000.0,3,3
2025-08-04,750000.0,750000.0,750000.0,1,1
2025-08-08,750000.0,750000.0,750000.0,1,1
2025-08-09,750000.0,750000.0,750000.0,2,8
2025-08-12,1764000.0,1764000.0,1764000.0,1,1
2025-08-14,750000.0,750000.0,750000.0,2,5
2025-08-15,750000.0,750000.0,750000.0,1,1
2025-08-16,750000.0,750000.0,750000.0,3,12
2025-08-17,750000.0,750000.0,750000.0,2,2
2025-08-19,1750000.0,1750000.0,1750000.0,1,1
2025-08-22,750000.0,750000.0,750000.0,1,1
2025-08-24,1248500.0,1747000.0,750000.0,2,2
2025-08-25,1746000.0,1746000.0,1746000.0,2,3
2025-08-27,1745000.0,1745000.0,1745000.0,1,1
2025-08-30,750000.0,750000.0,750000.0,1,1
2025-08-31,1343400.0,1739000.0,750000.0,5,5
2025-09-01,750000.0,750000.0,750000.0,2,2
2025-09-03,1242500.0,1735000.0,750000.0,2,2
2025-09-06,1499000.0,1499000.0,1499000.0,1,1
2025-09-07,750000.0,750000.0,750000.0,1,1
2025-09-08,750000.0,750000.0,750000.0,2,2
2025-09-09,750000.0,750000.0,750000.0,1,1
2025-09-11,1499000.0,1499000.0,1499000.0,1,1
2025-09-12,750000.0,750000.0,750000.0,1,1
2025-09-13,1499000.0,1499000.0,1499000.0,2,2
2025-09-15,1124500.0,1499000.0,750000.0,2,2
2025-09-18,1499000.0,1499000.0,1499000.0,1,1
2025-09-20,1124500.0,1499000.0,750000.0,2,2
2025-09-21,750000.0,750000.0,750000.0,2,2
2025-09-23,750000.0,750000.0,750000.0,3,9
2025-09-24,1499000.0,1499000.0,1499000.0,1,1
2025-09-25,750000.0,750000.0,750000.0,1,1
2025-09-29,750000.0,750000.0,750000.0,1,1
2025-09-30,750000.0,750000.0,750000.0,1,1
2025-10-01,750000.0,750000.0,750000.0,1,1
2025-10-02,1124500.0,1499000.0,750000.0,2,2
2025-10-04,1124500.0,1499000.0,750000.0,2,2
2025-10-05,750000.0,750000.0,750000.0,1,1
2025-10-08,1499000.0,1499000.0,1499000.0,1,1
2025-10-10,750000.0,750000.0,750000.0,1,1
2025-10-11,750000.0,750000.0,750000.0,1,1
2025-10-13,750000.0,750000.0,750000.0,1,1
2025-10-14,1499000.0,1499000.0,1499000.0,1,1
2025-10-15,1499000.0,1499000.0,1499000.0,1,1
2025-10-16,750000.0,750000.0,750000.0,3,7
2025-10-18,1124500.0,1499000.0,750000.0,2,2
2025-10-19,999666.67,1499000.0,750000.0,2,3
2025-10-20,750000.0,750000.0,750000.0,1,1
2025-10-21,750000.0,750000.0,750000.0,1,3
2025-10-22,1399000.0,1399000.0,1399000.0,1,1
2025-10-25,750000.0,750000.0,750000.0,1,1
2025-10-26,750000.0,750000.0,750000.0,2,3
2025-10-27,750000.0,750000.0,750000.0,1,1
2025-10-29,916333.33,1249000.0,750000.0,3,3
2025-10-30,849800.0,1249000.0,750000.0,2,5
2025-10-31,849800.0,1249000.0,750000.0,2,5
2025-11-01,999500.0,1249000.0,750000.0,4,10
2025-11-02,750000.0,750000.0,750000.0,2,4
2025-11-03,750000.0,750000.0,750000.0,1,1
2025-11-05,995500.0,1241000.0,750000.0,2,2
2025-11-06,750000.0,750000.0,750000.0,3,6
2025-11-07,1238000.0,1238000.0,1238000.0,1,1
2025-11-09,803000.0,1227000.0,750000.0,3,9
2025-11-10,750000.0,750000.0,750000.0,1,1
2025-11-12,1218000.0,1218000.0,1218000.0,1,1
2025-11-13,750000.0,750000.0,750000.0,1,1
2025-11-14,1055333.33,1208000.0,750000.0,3,3
