date,average,highest,lowest,order_count,volume
2025-05-20,1700.0,1700.0,1700.0,7,1121
2025-05-21,1700.0,1800.0,1699.0,12,6449
2025-05-23,906.0,906.0,906.0,4,410
2025-05-24,906.0,906.0,906.0,8,4334
2025-05-25,1000.0,1845.0,906.0,14,1140
2025-05-26,1845.0,1845.0,1845.0,1,20
2025-05-27,906.0,906.0,906.0,2,200
2025-05-28,906.0,906.0,906.0,2,120
2025-05-29,906.0,906.0,906.0,7,1520
2025-05-30,906.1,906.1,906.05,3,210
2025-05-31,906.1,906.1,906.1,9,840
2025-06-01,1846.0,1846.0,1846.0,14,10536
2025-06-02,906.1,906.1,906.1,7,3020
2025-06-03,1845.0,1845.0,1845.0,8,3220
2025-06-04,1845.0,1845.0,1845.0,3,11003
2025-06-05,1845.0,1845.0,1845.0,10,2890
2025-06-06,1845.0,1845.0,1845.0,8,11500
2025-06-07,907.0,907.0,907.0,7,607
2025-06-08,907.0,907.0,907.0,6,5786
2025-06-09,1841.0,1841.0,1841.0,7,1100
2025-06-10,1841.0,1841.0,1841.0,7,1410
2025-06-11,1839.0,1839.0,1839.0,10,23176
2025-06-12,909.0,909.0,909.0,5,237
2025-06-13,909.0,909.0,909.0,8,1609
2025-06-14,909.0,909.0,909.0,7,340
2025-06-15,1809.0,1843.0,909.0,8,817
2025-06-16,1843.0,1843.0,1843.0,4,1600
2025-06-17,926.05,943.1,909.0,3,400
2025-06-18,1800.0,1800.0,1800.0,1,600
2025-06-19,1800.0,1800.0,1800.0,5,914
2025-06-20,1842.0,1842.0,1842.0,8,1160
2025-06-21,909.0,909.0,909.0,5,913
2025-06-22,909.0,909.0,909.0,2,986
2025-06-23,909.0,909.0,909.0,7,4160
2025-06-24,909.0,909.0,909.0,6,3409
2025-06-25,909.0,909.0,909.0,1,60
2025-06-26,1825.0,1838.0,909.1,13,1930
2025-06-27,909.0,909.0,909.0,1,100
2025-06-28,909.1,909.1,909.1,3,220
2025-06-29,909.1,909.1,909.1,6,370
2025-06-30,909.1,909.1,909.1,4,600
2025-07-01,1830.0,1830.0,1830.0,4,5100
2025-07-02,909.0,909.0,909.0,3,300
2025-07-03,909.0,909.0,909.0,14,3384
