date,average,highest,lowest,order_count,volume
2025-05-20,650.0,650.0,650.0,9,11900
2025-05-21,230.4,230.4,230.4,3,300
2025-05-22,230.3,230.3,230.3,3,300
2025-05-23,230.3,230.3,230.3,1,100
2025-05-24,230.3,230.3,230.3,9,1000
2025-05-25,230.3,230.3,230.3,6,501
2025-05-26,229.75,230.3,229.2,2,200
2025-05-27,739.0,739.0,619.5,3,280
2025-05-28,500.0,500.0,500.0,4,500
2025-05-29,500.0,500.0,500.0,3,205
2025-05-30,500.0,500.0,500.0,4,300
2025-05-31,499.0,499.0,499.0,4,400
2025-06-01,499.0,499.0,499.0,9,900
2025-06-02,230.4,230.4,230.4,1,100
2025-06-03,230.4,230.4,230.4,3,300
2025-06-05,231.0,231.0,231.0,3,300
2025-06-06,231.0,231.0,231.0,4,360
2025-06-07,736.95,740.0,734.0,8,2600
2025-06-08,600.0,600.0,600.0,3,2700
2025-06-09,300.0,300.0,300.0,2,400
2025-06-10,749.9,749.9,749.9,3,9100
2025-06-11,300.0,300.0,300.0,1,100
2025-06-12,300.0,300.0,300.0,5,500
2025-06-13,300.0,300.0,300.0,2,200
2025-06-14,300.0,300.0,300.0,4,400
2025-06-15,300.0,300.0,300.0,1,100
2025-06-16,300.0,300.0,300.0,5,700
2025-06-17,231.0,231.0,231.0,6,700
2025-06-19,231.1,231.1,231.1,4,310
2025-06-20,231.0,231.0,231.0,11,25700
2025-06-21,231.0,231.0,231.0,4,400
2025-06-22,231.0,231.0,231.0,3,300
2025-06-23,231.0,231.0,231.0,5,500
2025-06-24,231.0,231.0,231.0,3,300
2025-06-25,231.0,231.0,231.0,3,203
2025-06-26,231.0,231.0,231.0,5,500
2025-06-27,231.0,231.0,231.0,2,300
2025-06-28,231.0,231.0,231.0,2,200
2025-06-29,231.0,231.0,231.0,3,300
2025-06-30,231.0,231.0,231.0,2,500
2025-07-01,230.9,230.9,230.9,2,5100
2025-07-02,231.0,231.0,231.0,4,7100
2025-07-03,231.0,231.0,231.0,3,300
2025-07-04,231.0,231.0,231.0,2,200
2025-07-05,231.0,231.0,231.0,2,200
2025-07-06,231.0,231.0,231.0,2,200
2025-07-07,231.0,231.0,231.0,2,300
2025-07-08,231.0,231.0,231.0,4,600
2025-07-09,231.0,231.0,231.0,3,400
2025-07-10,231.1,231.1,231.1,1,100
2025-07-12,231.1,231.1,231.1,8,900
2025-07-13,231.1,231.1,231.1,3,300
2025-07-14,231.1,231.1,231.1,2,200
2025-07-15,231.1,231.1,231.1,3,300
2025-07-16,231.0,231.0,231.0,1,100
2025-07-17,231.1,231.1,231.1,2,200
2025-07-18,231.1,231.1,231.1,1,100
2025-07-19,231.2,231.2,231.2,3,500
2025-07-20,231.0,231.0,231.0,5,2400
2025-07-21,231.1,231.1,231.1,1,100
2025-07-22,231.1,231.1,231.1,3,300
2025-07-23,231.1,231.1,231.1,3,300
2025-07-24,231.1,231.1,231.1,3,300
2025-07-25,231.1,231.1,231.1,6,1900
2025-07-26,231.09,231.09,231.09,3,800
2025-07-27,231.15,231.2,231.1,2,200
2025-07-28,231.1,231.1,231.1,3,300
2025-07-29,231.1,231.1,231.1,1,100
2025-07-30,231.1,231.1,231.1,3,300
2025-07-31,231.0,231.0,231.0,3,600
2025-08-01,231.1,231.1,231.1,2,1100
2025-08-02,231.6,231.6,231.6,6,800
2025-08-03,231.7,231.7,231.7,3,300
2025-08-04,231.7,231.7,231.7,3,500
2025-08-05,231.7,231.7,231.7,3,300
2025-08-06,231.7,231.7,231.7,1,100
2025-08-07,231.7,231.7,231.7,2,200
2025-08-08,231.7,231.7,231.7,2,200
2025-08-09,231.7,231.7,231.7,2,200
2025-08-10,231.8,231.8,231.8,3,400
2025-08-11,232.2,232.2,232.2,5,900
2025-08-12,232.1,232.1,232.1,6,600
2025-08-13,232.1,232.1,232.1,4,500
2025-08-14,232.1,232.1,232.1,2,200
2025-08-15,232.1,232.1,232.1,3,300
2025-08-16,232.1,232.1,232.1,2,200
2025-08-17,231.0,231.0,231.0,7,900
2025-08-19,1299.0,1299.0,1299.0,1,1
2025-08-21,231.1,231.1,231.1,1,100
2025-08-22,231.1,231.1,231.1,3,201
