date,average,highest,lowest,order_count,volume
2025-05-22,43840.0,43840.0,43840.0,1,1
2025-05-23,43848.42,43850.0,43840.0,2,19
2025-05-25,41970.0,41970.0,41970.0,1,2
2025-05-28,1088.0,1088.0,1088.0,1,2
2025-05-29,1088.0,1088.0,1088.0,1,1
2025-05-30,34487.82,41910.0,1088.0,7,11
2025-05-31,40630.4,41900.0,1088.0,19,65
2025-06-01,1088.0,1088.0,1088.0,1,1
2025-06-02,27990.0,27990.0,27990.0,1,1
2025-06-03,27990.0,27990.0,27990.0,1,1
2025-06-05,27937.65,27940.0,27930.0,9,34
2025-06-06,14021.0,26990.0,1052.0,2,2
2025-06-07,26960.0,26960.0,26960.0,1,10
2025-06-08,26900.0,26900.0,26900.0,1,1
2025-06-09,25830.0,25830.0,25830.0,1,1
2025-06-11,24891.0,24900.0,24890.0,2,10
2025-06-13,1052.0,1052.0,1052.0,2,5
2025-06-14,24780.0,24780.0,24780.0,1,1
2025-06-15,1053.0,1053.0,1053.0,1,67
2025-06-16,8571.0,24650.0,531.5,3,3
2025-06-17,24630.0,24630.0,24630.0,1,10
2025-06-18,24581.67,24590.0,24580.0,2,6
2025-06-20,1052.0,1052.0,1052.0,1,3
2025-06-21,24490.0,24490.0,24490.0,1,1
2025-06-22,17786.29,24480.0,1052.0,2,14
2025-06-23,1052.0,1052.0,1052.0,2,401
2025-06-24,1052.0,1052.0,1052.0,1,50
2025-06-26,1052.0,1052.0,1052.0,2,7
2025-06-29,22530.0,22530.0,22530.0,1,1
2025-07-01,22510.0,22510.0,22510.0,1,10
2025-07-02,11771.0,22490.0,1052.0,2,2
2025-07-08,22390.0,22390.0,22390.0,1,10
2025-07-11,1052.0,1052.0,1052.0,1,50
2025-07-15,11686.0,22320.0,1052.0,2,2
2025-07-19,12500.0,12500.0,12500.0,1,1
2025-07-22,22290.0,22290.0,22290.0,1,10
2025-07-25,12500.0,12500.0,12500.0,1,2
2025-07-26,22176.36,22180.0,22170.0,3,11
2025-07-29,22090.0,22090.0,22090.0,2,2
2025-07-31,21990.0,21990.0,21990.0,1,1
2025-08-01,12500.0,12500.0,12500.0,1,2
2025-08-03,12500.0,12500.0,12500.0,3,101
2025-08-07,1052.0,1052.0,1052.0,2,2
2025-08-08,20680.0,20680.0,20680.0,1,1
2025-08-10,20660.0,20660.0,20660.0,1,1
2025-08-12,3847.43,20620.0,1052.0,2,7
2025-08-14,20600.0,20600.0,20600.0,1,1
2025-08-15,4056.31,20580.0,1052.0,4,13
2025-08-16,1052.0,1052.0,1052.0,1,2
2025-08-17,10816.0,20580.0,1052.0,2,2
2025-08-18,20585.69,20590.0,20580.0,3,58
2025-08-19,20590.0,20590.0,20590.0,7,139
2025-08-20,19207.91,20690.0,1052.0,8,53
2025-08-22,1054.0,1054.0,1054.0,1,1
2025-08-23,1054.0,1054.0,1054.0,1,1
2025-08-24,20525.0,20660.0,20000.0,4,10
2025-08-26,20660.0,20660.0,20660.0,1,20
2025-08-27,20655.0,20660.0,20650.0,2,2
2025-08-28,20650.0,20650.0,20650.0,1,10
2025-09-02,1054.0,1054.0,1054.0,1,1
2025-09-05,10527.0,20000.0,1054.0,2,2
2025-09-06,10837.0,20620.0,1054.0,2,2
2025-09-09,19988.87,20620.0,1055.0,2,31
2025-09-10,10817.0,20580.0,1054.0,2,2
2025-09-11,1054.0,1054.0,1054.0,1,11
2025-09-12,1055.0,1055.0,1055.0,1,1
2025-09-13,20499.0,20500.0,20490.0,2,10
2025-09-14,1055.0,1055.0,1055.0,1,1
2025-09-15,20000.0,20000.0,20000.0,2,2
2025-09-20,18990.0,18990.0,18990.0,2,41
2025-09-21,18990.0,18990.0,18990.0,2,3
2025-09-23,18990.0,18990.0,18990.0,1,1
2025-09-26,18974.0,18980.0,18960.0,2,10
2025-10-02,18790.0,18790.0,18790.0,1,1
2025-10-03,17312.08,18790.0,1055.0,3,12
2025-10-04,9918.0,18780.0,1056.0,2,2
2025-10-05,18770.0,18770.0,18770.0,1,1
2025-10-06,13703.0,18750.0,1055.5,6,7
2025-10-08,18695.0,18700.0,18690.0,2,2
2025-10-09,18555.0,18560.0,18550.0,2,10
2025-10-12,9809.0,18560.0,1058.0,2,2
2025-10-13,1058.0,1058.0,1058.0,1,1
2025-10-16,18480.0,18480.0,18480.0,1,1
2025-10-20,18399.6,18400.0,18390.0,2,25
2025-10-21,18400.0,18400.0,18400.0,2,2
2025-10-23,1059.0,1059.0,1059.0,1,3
2025-10-24,18345.0,18400.0,18290.0,3,4
2025-10-25,1059.0,1059.0,1059.0,1,1
2025-10-26,18230.0,18230.0,18230.0,1,1
2025-10-27,1059.0,1059.0,1059.0,1,20
2025-10-29,1061.0,1061.0,1061.0,2,2
2025-10-30,1061.0,1061.0,1061.0,1,200
2025-11-02,1061.0,1061.0,1061.0,2,2
2025-11-03,1061.0,1061.0,1061.0,1,1
2025-11-06,1062.0,1062.0,1062.0,3,800
2025-11-07,1062.0,1062.0,1062.0,1,2
2025-11-09,16619.67,18150.0,1063.0,4,67
2025-11-12,9596.5,18130.0,1063.0,2,2
2025-11-13,18120.0,18120.0,18120.0,1,1
2025-11-14,18115.2,18120.0,18100.0,3,100
