date,average,highest,lowest,order_count,volume
2025-05-20,407916.67,508700.0,206400.0,5,6
2025-05-21,427600.0,508400.0,207200.0,11,15
2025-05-22,477760.0,508800.0,207200.0,4,10
2025-05-23,402555.56,499900.0,207800.0,6,9
2025-05-24,496600.0,499900.0,490000.0,4,6
2025-05-25,489883.33,489900.0,489800.0,4,18
2025-05-26,239688.89,485000.0,209000.0,5,9
2025-05-27,396278.79,489800.0,209300.0,15,33
2025-05-28,434603.85,489800.0,209500.0,18,26
2025-05-29,456257.14,484900.0,209700.0,20,77
2025-05-30,484853.85,484900.0,484700.0,10,13
2025-05-31,442523.08,484700.0,210700.0,17,39
2025-06-01,434936.36,484800.0,210750.0,17,22
2025-06-02,441451.85,459900.0,210800.0,6,27
2025-06-03,366612.5,459900.0,211150.0,14,16
2025-06-04,265774.55,459900.0,211600.0,10,55
2025-06-05,443356.67,459900.0,211900.0,9,30
2025-06-06,373313.33,459800.0,212300.0,9,15
2025-06-07,417916.67,459500.0,212200.0,6,6
2025-06-08,457756.0,458000.0,457000.0,8,25
2025-06-09,449557.58,458000.0,212400.0,14,33
2025-06-10,357500.0,458000.0,213000.0,7,39
2025-06-11,375260.0,458000.0,213200.0,10,15
2025-06-12,291206.67,448300.0,212300.0,10,15
2025-06-13,370000.0,448200.0,213600.0,6,6
2025-06-14,398664.29,444900.0,213800.0,15,42
2025-06-15,352020.0,443800.0,213800.0,7,10
2025-06-16,386350.0,443800.0,214000.0,3,4
2025-06-17,347458.33,442800.0,214000.0,8,12
2025-06-18,214027.78,214100.0,214000.0,14,18
2025-06-19,328543.33,442700.0,214800.0,14,30
2025-06-20,333841.67,399900.0,214150.0,11,12
2025-06-21,321030.0,399900.0,215150.0,8,10
2025-06-22,231118.18,399800.0,214250.0,7,11
2025-06-23,371125.0,380000.0,215200.0,9,12
2025-06-24,394957.14,395000.0,394900.0,4,7
2025-06-25,270200.0,394900.0,216300.0,7,9
2025-06-26,310247.62,394900.0,217200.0,9,21
2025-06-27,394662.5,394700.0,394550.0,7,8
2025-06-28,217685.71,217800.0,217600.0,4,7
2025-06-29,372375.0,394300.0,219200.0,14,16
2025-06-30,306800.0,394300.0,219300.0,4,4
2025-07-01,302738.1,394300.0,219500.0,14,21
2025-07-02,297222.22,394500.0,219400.0,7,9
2025-07-03,378700.0,394600.0,220000.0,7,11
2025-07-04,336500.0,394650.0,220200.0,3,3
2025-07-05,353833.33,394700.0,220650.0,7,9
2025-07-06,310918.18,384700.0,222700.0,10,11
2025-07-07,346191.67,382900.0,222800.0,9,12
2025-07-08,314514.29,383000.0,223200.0,6,7
2025-07-09,268914.29,382900.0,223300.0,6,7
2025-07-10,255240.0,382800.0,223350.0,4,5
2025-07-11,262233.33,382800.0,201950.0,3,3
2025-07-12,303087.5,382650.0,223500.0,8,8
2025-07-13,324600.0,382300.0,223700.0,8,11
2025-07-14,329400.0,382300.0,223600.0,3,3
2025-07-15,223450.0,223600.0,223400.0,2,4
2025-07-16,355833.33,382300.0,223500.0,4,6
2025-07-17,329400.0,382300.0,223600.0,4,6
2025-07-18,303000.0,382300.0,223700.0,5,12
2025-07-19,248768.42,382100.0,223800.0,8,19
2025-07-20,353300.0,382100.0,223700.0,7,11
2025-07-21,284600.0,382100.0,223700.0,8,13
2025-07-22,350340.0,382000.0,223700.0,4,5
2025-07-23,353363.64,382100.0,224000.0,7,11
2025-07-24,224050.0,224100.0,224000.0,2,2
2025-07-25,302950.0,381900.0,224000.0,2,2
2025-07-26,329366.67,382000.0,224100.0,7,9
2025-07-27,359457.14,382000.0,224400.0,5,7
2025-07-28,303164.29,382000.0,224400.0,12,14
2025-07-29,346866.67,381900.0,224300.0,5,9
2025-07-30,303150.0,381900.0,224400.0,2,2
2025-07-31,380866.67,380900.0,380800.0,2,3
2025-08-01,302950.0,380900.0,225000.0,2,2
2025-08-02,311972.0,380000.0,225000.0,8,25
2025-08-03,339273.33,380800.0,224950.0,9,15
2025-08-04,315975.0,380900.0,225100.0,10,12
2025-08-05,333940.0,380400.0,225100.0,7,10
2025-08-06,366245.45,380400.0,225100.0,9,11
2025-08-07,337700.0,380200.0,225100.0,8,11
2025-08-08,315400.0,379700.0,225300.0,8,12
2025-08-09,341275.0,379900.0,225300.0,11,12
2025-08-10,379910.53,380000.0,379900.0,11,19
2025-08-11,369413.33,379900.0,225500.0,7,15
2025-08-12,379243.75,379900.0,370000.0,5,16
2025-08-13,379900.0,379900.0,379900.0,2,9
2025-08-14,357871.43,379900.0,225700.0,7,7
2025-08-15,328450.0,379800.0,225700.0,6,6
2025-08-16,291471.43,379700.0,224900.0,7,14
2025-08-17,370440.0,379600.0,226300.0,27,50
2025-08-18,348960.0,379600.0,226400.0,5,5
2025-08-19,287560.0,379200.0,226400.0,8,10
2025-08-20,242046.67,379200.0,226800.0,5,30
2025-08-21,379200.0,379200.0,379200.0,3,4
2025-08-22,303200.0,379200.0,227200.0,7,12
2025-08-23,332610.0,379000.0,227200.0,8,10
2025-08-24,303240.0,378700.0,227700.0,9,10
2025-08-25,348350.0,378400.0,228350.0,8,10
2025-08-26,348040.0,378000.0,228600.0,5,5
2025-08-27,255326.32,377300.0,229100.0,12,19
2025-08-28,266325.0,376800.0,229500.0,3,4
2025-08-29,346660.0,376000.0,229300.0,5,5
2025-08-30,354671.43,375550.0,229400.0,7,7
2025-08-31,333557.14,375200.0,229450.0,5,7
2025-09-01,331180.0,374700.0,229600.0,8,10
2025-09-02,338000.0,374300.0,229700.0,4,4
2025-09-03,325020.0,372900.0,229800.0,13,15
2025-09-04,372870.0,372900.0,372000.0,3,60
2025-09-05,313512.5,372000.0,230000.0,5,8
2025-09-06,290771.43,371800.0,230000.0,6,7
2025-09-07,338241.18,371900.0,229900.0,9,17
2025-09-08,366224.14,371900.0,230000.0,10,29
2025-09-09,371900.0,371900.0,371900.0,8,161
2025-09-10,326447.62,374300.0,230800.0,14,21
2025-09-11,356306.25,374200.0,231050.0,11,16
2025-09-12,352900.0,374200.0,231400.0,5,6
2025-09-13,279192.86,373800.0,231500.0,14,14
2025-09-14,302787.5,373800.0,231800.0,4,8
2025-09-15,344207.14,373100.0,232100.0,5,14
2025-09-16,312225.0,372450.0,252000.0,3,4
2025-09-17,345255.56,371900.0,252100.0,7,9
2025-09-18,342025.0,371900.0,252400.0,5,16
2025-09-19,312150.0,371900.0,252400.0,2,2
2025-09-20,352656.86,371700.0,252500.0,7,51
2025-09-21,288260.0,371700.0,252500.0,7,10
2025-09-22,315700.0,371800.0,252600.0,9,17
2025-09-23,300380.0,371900.0,252700.0,5,5
2025-09-24,308310.0,371900.0,252700.0,5,11
2025-09-25,312400.0,371900.0,252900.0,2,2
2025-09-26,350281.82,371900.0,253000.0,6,11
2025-09-27,270085.71,371800.0,253100.0,7,7
2025-09-28,342150.0,371800.0,253200.0,6,12
2025-09-29,371781.82,371800.0,371700.0,3,11
2025-09-30,312550.0,371800.0,253300.0,4,4
2025-10-01,324400.0,371700.0,253500.0,10,10
2025-10-02,371700.0,371700.0,371700.0,9,11
2025-10-03,312434.55,371700.0,253800.0,8,33
2025-10-04,312800.0,371800.0,253800.0,2,2
2025-10-05,312900.0,371800.0,254000.0,4,4
2025-10-06,312750.0,371500.0,254000.0,4,4
2025-10-07,359770.0,371500.0,254200.0,8,10
2025-10-08,371200.0,371350.0,371050.0,4,4
2025-10-09,371239.62,371400.0,371000.0,5,53
2025-10-10,351800.0,371200.0,254500.0,4,6
2025-10-11,312800.0,371100.0,254500.0,3,4
2025-10-12,293366.67,371100.0,254500.0,6,6
2025-10-13,254500.0,254500.0,254500.0,1,1
2025-10-14,332033.33,370800.0,254500.0,4,6
2025-10-15,370550.0,370600.0,370500.0,2,2
2025-10-16,366200.0,370100.0,354500.0,6,8
2025-10-17,364933.33,370100.0,354600.0,6,9
2025-10-18,357206.15,369900.0,354600.0,15,65
2025-10-19,312150.0,369600.0,254700.0,2,2
2025-10-20,287714.29,369450.0,255100.0,7,7
2025-10-21,336592.86,369200.0,255050.0,7,14
2025-10-22,354850.0,369100.0,255000.0,4,8
2025-10-23,273933.33,368300.0,255000.0,5,6
2025-10-24,332868.75,368200.0,255200.0,9,16
2025-10-25,326927.27,367900.0,255200.0,9,11
2025-10-26,309228.0,367500.0,255400.0,9,25
2025-10-27,271471.43,367500.0,255500.0,3,7
2025-10-28,292875.0,367400.0,255700.0,6,12
2025-10-29,339375.0,367200.0,255800.0,4,4
2025-10-30,279443.03,367000.0,256000.0,13,33
2025-10-31,307300.0,358500.0,256100.0,8,8
2025-11-01,283800.0,366300.0,256400.0,3,4
2025-11-02,366300.0,366300.0,366300.0,1,1
2025-11-03,366300.0,366300.0,366300.0,7,9
2025-11-04,306318.18,366300.0,256300.0,8,11
2025-11-05,338750.0,366300.0,256300.0,11,12
2025-11-06,311300.0,366000.0,256600.0,4,8
2025-11-07,275829.41,366000.0,256500.0,8,34
2025-11-08,365800.0,365800.0,365800.0,3,4
2025-11-09,338500.0,365800.0,256600.0,14,16
