date,average,highest,lowest,order_count,volume
2025-05-20,453600.0,454100.0,452000.0,134,6194
2025-05-21,450500.0,450600.0,450300.0,151,9088
2025-05-22,447600.0,448800.0,447500.0,118,5295
2025-05-23,447200.0,447400.0,445800.0,114,4166
2025-05-24,438200.0,438500.0,438100.0,132,9988
2025-05-25,429600.0,430000.0,429600.0,140,6991
2025-05-26,428700.0,429500.0,428500.0,151,10114
2025-05-27,428300.0,428400.0,428300.0,136,6070
2025-05-28,429500.0,429600.0,428300.0,176,11303
2025-05-29,434800.0,435000.0,434800.0,123,6401
2025-05-30,433900.0,434300.0,433800.0,127,12757
2025-05-31,431800.0,431900.0,431400.0,163,8446
2025-06-01,431000.0,431000.0,430800.0,159,8103
2025-06-02,429700.0,430000.0,429600.0,116,4313
2025-06-03,424000.0,424100.0,423700.0,102,3909
2025-06-04,422100.0,422600.0,421900.0,154,4141
2025-06-05,421900.0,423100.0,420800.0,134,8360
2025-06-06,420700.0,421300.0,420500.0,161,5432
2025-06-07,420100.0,420300.0,420000.0,150,5297
2025-06-08,418400.0,419100.0,413300.0,132,4904
2025-06-09,411500.0,412100.0,411200.0,130,4944
2025-06-10,411700.0,412800.0,411000.0,128,10194
2025-06-11,412300.0,412600.0,386000.0,115,4342
2025-06-12,411300.0,411500.0,407600.0,106,5222
2025-06-13,408900.0,409500.0,408700.0,101,3061
2025-06-14,409400.0,413400.0,408900.0,132,11438
2025-06-15,418600.0,418700.0,418500.0,105,3996
2025-06-16,413700.0,417200.0,412800.0,92,4666
2025-06-17,416600.0,416700.0,415600.0,122,8510
2025-06-18,414000.0,414100.0,413900.0,131,5843
2025-06-19,413300.0,413500.0,413200.0,104,3747
2025-06-20,412400.0,414000.0,411300.0,136,15425
2025-06-21,413000.0,413600.0,388700.0,121,5327
2025-06-22,413100.0,413400.0,412000.0,166,10764
2025-06-23,404700.0,405100.0,387000.0,109,5820
2025-06-24,397200.0,397600.0,394900.0,119,7086
2025-06-25,392800.0,393300.0,392600.0,129,9049
2025-06-26,384800.0,386400.0,380000.0,123,5280
2025-06-27,382800.0,383000.0,382600.0,137,9369
2025-06-28,386200.0,386200.0,386200.0,124,13050
2025-06-29,355100.0,385900.0,350000.0,126,9229
2025-06-30,384600.0,385400.0,384400.0,89,4230
2025-07-01,381800.0,383500.0,328100.0,120,3838
2025-07-02,379300.0,379600.0,374800.0,120,3706
2025-07-03,374400.0,374500.0,374400.0,133,5930
2025-07-04,377800.0,379100.0,377300.0,124,5377
2025-07-05,336200.0,378400.0,333600.0,140,7851
2025-07-06,378700.0,378800.0,378700.0,137,5324
2025-07-07,379400.0,380000.0,379200.0,118,6109
2025-07-08,379300.0,379400.0,379200.0,96,3639
2025-07-09,378100.0,378500.0,377900.0,144,6508
2025-07-10,376900.0,377300.0,376400.0,116,3862
2025-07-11,374800.0,375000.0,374800.0,137,6102
2025-07-12,376100.0,376200.0,375400.0,147,6245
2025-07-13,374500.0,375000.0,374300.0,124,9650
2025-07-14,373300.0,373600.0,373200.0,93,3682
2025-07-15,372500.0,372900.0,372300.0,99,4476
2025-07-16,371800.0,371900.0,371700.0,90,3211
2025-07-17,371700.0,371900.0,371600.0,122,4245
2025-07-18,338000.0,371800.0,337400.0,90,6106
2025-07-19,372200.0,373700.0,368000.0,146,9677
2025-07-20,321700.0,367400.0,321000.0,126,13508
2025-07-21,365600.0,367000.0,350800.0,90,3822
2025-07-22,364000.0,364400.0,362800.0,94,4570
2025-07-23,361800.0,362200.0,359000.0,110,5739
2025-07-24,358700.0,358900.0,358300.0,87,4092
2025-07-25,357900.0,358000.0,357800.0,108,5200
2025-07-26,360000.0,363000.0,359900.0,118,5242
2025-07-27,365900.0,368900.0,365300.0,132,14464
2025-07-28,378800.0,380000.0,334900.0,118,7561
2025-07-29,379800.0,379900.0,378000.0,95,6146
2025-07-30,378900.0,379000.0,378800.0,93,5035
2025-07-31,378800.0,379000.0,378100.0,115,7310
2025-08-01,378200.0,379000.0,318400.0,83,6118
2025-08-02,375600.0,375800.0,375500.0,104,5676
2025-08-03,370000.0,372700.0,369900.0,114,4943
2025-08-04,373900.0,375100.0,319300.0,113,11255
2025-08-05,375000.0,375200.0,374200.0,112,14055
2025-08-06,373600.0,373700.0,373500.0,91,3885
2025-08-07,372700.0,377900.0,372300.0,96,8769
2025-08-08,377500.0,377700.0,377000.0,91,6643
2025-08-09,384700.0,384800.0,379900.0,110,10819
2025-08-10,386100.0,386100.0,385900.0,168,11607
2025-08-11,418600.0,418700.0,418500.0,139,7368
2025-08-12,340800.0,417800.0,339700.0,127,13472
2025-08-13,414100.0,414800.0,414100.0,96,8651
2025-08-14,412600.0,413500.0,409100.0,122,18086
2025-08-15,414800.0,419400.0,409600.0,87,3653
2025-08-16,404000.0,408700.0,403900.0,103,3671
2025-08-17,402000.0,402200.0,401000.0,118,5230
2025-08-18,355500.0,400800.0,351400.0,73,5325
2025-08-19,363700.0,364600.0,325600.0,102,4595
2025-08-20,363000.0,363300.0,362800.0,86,4439
2025-08-21,361500.0,361800.0,361100.0,65,2675
2025-08-22,360100.0,360500.0,290800.0,125,7402
2025-08-23,349800.0,349800.0,349800.0,93,5395
2025-08-24,349300.0,349800.0,314200.0,123,8204
2025-08-25,347200.0,348900.0,346900.0,117,10788
2025-08-26,345600.0,346000.0,345400.0,102,3811
2025-08-27,342600.0,348000.0,342000.0,127,16010
2025-08-28,399500.0,400600.0,302600.0,104,7051
2025-08-29,389900.0,397100.0,389700.0,110,4369
2025-08-30,387000.0,388400.0,386000.0,83,4343
2025-08-31,386300.0,386700.0,385500.0,147,7020
2025-09-01,385300.0,386400.0,341500.0,146,9629
2025-09-02,383200.0,383500.0,382500.0,104,5504
