date,average,highest,lowest,order_count,volume
2025-05-20,25610.4,38800.0,9703.0,22,25
2025-05-21,29088.0,38780.0,9704.0,5,6
2025-05-22,35477.11,38700.0,9704.0,8,9
2025-05-23,35776.4,38680.0,9704.0,9,20
2025-05-24,35911.36,38495.0,9705.0,9,11
2025-05-25,27849.58,38435.0,9706.0,18,19
2025-05-26,14914.02,38350.0,9706.0,12,44
2025-05-27,38370.0,38490.0,37790.0,31,203
2025-05-28,38490.0,38490.0,38490.0,15,126
2025-05-29,38470.0,38470.0,38470.0,11,122
2025-05-30,34990.0,34990.0,34990.0,28,358
2025-05-31,34990.0,34990.0,34990.0,30,330
2025-06-01,33870.0,33870.0,33870.0,21,230
2025-06-02,33840.0,33840.0,33840.0,17,176
2025-06-03,9704.0,33850.0,9700.0,19,725
2025-06-04,33870.0,33870.0,33870.0,10,218
2025-06-05,33870.0,33870.0,33870.0,16,124
2025-06-06,24239.8,33870.0,9802.0,13,15
2025-06-07,33790.0,33790.0,33790.0,19,533
2025-06-08,33800.0,33800.0,33800.0,29,227
2025-06-09,22256.44,33650.0,10000.0,17,25
2025-06-10,27391.58,33600.0,10020.0,9,19
2025-06-11,10020.0,10020.0,10020.0,1,2
2025-06-12,23173.88,32030.0,10030.0,13,25
2025-06-13,29595.19,32000.0,10040.0,18,52
2025-06-14,30975.0,33580.0,10050.0,11,30
2025-06-15,33580.0,33580.0,33580.0,16,243
2025-06-16,23778.82,33490.0,10080.0,8,11
2025-06-17,28541.03,33600.0,10080.0,17,29
2025-06-18,18412.56,33500.0,10090.0,14,90
2025-06-19,33600.0,33600.0,33600.0,14,368
2025-06-20,33650.0,33650.0,33650.0,17,530
2025-06-21,31905.06,33650.0,10110.0,17,81
2025-06-22,33650.0,33650.0,33650.0,22,421
2025-06-23,10130.0,10130.0,10130.0,16,149
2025-06-24,10100.0,33620.0,10100.0,13,200
2025-06-25,12781.18,33615.0,10000.0,12,34
2025-06-26,31316.11,33610.0,10020.0,11,72
2025-06-27,28571.46,33400.0,10030.0,19,39
2025-06-28,32396.81,33390.0,10035.0,15,47
2025-06-29,33400.0,33400.0,33400.0,22,243
2025-06-30,24116.5,33400.0,10120.0,14,18
2025-07-01,27164.12,33360.0,10120.0,11,17
2025-07-02,33370.0,33370.0,33370.0,13,642
2025-07-03,23060.0,32350.0,10160.0,6,6
