date,average,highest,lowest,order_count,volume
2025-05-21,18410000.0,18410000.0,18410000.0,1,1
2025-05-23,20000000.0,20000000.0,20000000.0,1,1
2025-05-26,27782500.0,28570000.0,26995000.0,3,4
2025-05-27,20050000.0,20050000.0,20050000.0,1,1
2025-05-28,20050000.0,20050000.0,20050000.0,1,1
2025-05-29,20330000.0,20330000.0,20330000.0,1,1
2025-05-30,23160000.0,28420000.0,20460000.0,8,14
2025-05-31,18470000.0,18470000.0,18470000.0,1,1
2025-06-01,28250000.0,28250000.0,28250000.0,1,2
2025-06-02,28230000.0,28230000.0,28230000.0,1,3
2025-06-03,28085454.55,28240000.0,27940000.0,7,11
2025-06-05,27092500.0,27690000.0,26495000.0,4,4
2025-06-06,18956000.0,18960000.0,18950000.0,3,5
2025-06-07,22522500.0,26095000.0,18950000.0,4,4
2025-06-09,20010000.0,20020000.0,20000000.0,2,2
2025-06-11,26124000.0,27120000.0,25855000.0,5,5
2025-06-12,20011666.67,20030000.0,19990000.0,4,6
2025-06-13,20070000.0,20070000.0,20070000.0,1,1
2025-06-14,20075000.0,20080000.0,20070000.0,2,2
2025-06-16,22405000.0,26800000.0,20100000.0,6,8
2025-06-17,18410000.0,18410000.0,18410000.0,2,2
2025-06-21,22931666.67,24400000.0,20000000.0,4,6
2025-06-22,21596666.67,24750000.0,18410000.0,10,12
2025-06-23,24150000.0,24950000.0,23750000.0,3,3
2025-06-25,25778000.0,26990000.0,24970000.0,2,5
2025-06-28,23800000.0,26485000.0,18430000.0,3,3
2025-06-30,18430000.0,18430000.0,18430000.0,1,1
2025-07-01,22600000.0,26790000.0,18410000.0,3,4
2025-07-02,21764000.0,26740000.0,18460000.0,3,5
2025-07-03,18460000.0,18460000.0,18460000.0,2,2
2025-07-04,23840000.0,26545000.0,18430000.0,3,3
2025-07-06,18430000.0,18430000.0,18430000.0,1,3
2025-07-07,22875000.0,26220000.0,18420000.0,9,14
2025-07-09,21540000.0,26150000.0,12320000.0,2,3
2025-07-10,18560000.0,21000000.0,12300000.0,5,11
2025-07-11,25327000.0,26100000.0,24990000.0,5,10
2025-07-12,20183125.0,26130000.0,10205000.0,7,16
2025-07-13,13050000.0,13050000.0,13050000.0,1,1
2025-07-14,13110000.0,13110000.0,13110000.0,1,1
2025-07-17,20660000.0,25890000.0,13140000.0,9,12
2025-07-18,13140000.0,13140000.0,13140000.0,1,1
2025-07-23,18956000.0,22860000.0,13100000.0,3,5
2025-07-24,19722500.0,21000000.0,15900000.0,3,4
2025-07-28,6001000.0,6001000.0,6001000.0,1,3
2025-07-29,19000000.0,19000000.0,19000000.0,1,1
2025-07-30,17176000.0,20900000.0,6004000.0,2,4
2025-07-31,15000000.0,15000000.0,15000000.0,1,1
2025-08-01,19232857.14,20930000.0,15000000.0,5,7
2025-08-02,19730714.29,22000000.0,6005000.0,6,7
2025-08-03,6005000.0,6005000.0,6005000.0,2,2
2025-08-04,26366000.0,26370000.0,26350000.0,2,5
2025-08-06,6005000.0,6005000.0,6005000.0,1,2
2025-08-08,14900000.0,14900000.0,14900000.0,1,1
2025-08-09,11341666.67,16020000.0,6010000.0,6,6
2025-08-10,20290000.0,25000000.0,19000000.0,4,15
2025-08-13,25015000.0,26350000.0,25000000.0,6,12
2025-08-20,22993750.0,23010000.0,22900000.0,4,8
2025-08-21,12317333.33,24900000.0,6026000.0,2,3
2025-08-22,24880000.0,24880000.0,24840000.0,3,6
2025-08-23,21726800.0,25860000.0,6054000.0,3,5
2025-08-24,26143333.33,26430000.0,26000000.0,5,12
2025-08-25,20885714.29,26200000.0,20000000.0,7,7
2025-08-26,26318750.0,26390000.0,26200000.0,2,8
2025-08-27,6082000.0,6082000.0,6082000.0,2,3
2025-08-28,6079000.0,6079000.0,6079000.0,1,1
2025-08-29,6077000.0,6077000.0,6077000.0,1,1
2025-08-31,6088000.0,6089000.0,6087000.0,2,2
2025-09-02,26271875.0,26420000.0,26220000.0,9,16
2025-09-03,26398571.43,26400000.0,26390000.0,3,7
2025-09-04,6126000.0,6126000.0,6126000.0,1,1
2025-09-05,6140000.0,6140000.0,6140000.0,1,1
2025-09-07,6162000.0,6162000.0,6162000.0,1,1
2025-09-08,24781666.67,24845000.0,24750000.0,3,6
2025-09-09,24707500.0,24890000.0,24650000.0,4,4
2025-09-10,25798750.0,26420000.0,24650000.0,4,8
2025-09-11,23069500.0,26420000.0,6297000.0,3,6
2025-09-13,23392000.0,23400000.0,23390000.0,2,5
2025-09-14,6361666.67,6393000.0,6330000.0,3,6
2025-09-15,18854250.0,23000000.0,6427000.0,3,4
2025-09-16,23174000.0,23700000.0,23040000.0,5,5
2025-09-17,19995750.0,24500000.0,6483000.0,4,4
2025-09-20,20495200.0,23990000.0,6526000.0,5,5
2025-09-21,24997500.0,25000000.0,24990000.0,2,4
2025-09-24,18761000.0,24950000.0,12572000.0,4,4
2025-09-25,6598000.0,6601000.0,6595000.0,2,2
2025-09-27,20597500.0,24980000.0,19970000.0,5,8
2025-09-29,6600000.0,6600000.0,6600000.0,1,1
2025-09-30,15244400.0,20000000.0,10311000.0,4,5
2025-10-03,19950000.0,20000000.0,19900000.0,2,2
2025-10-04,21931000.0,24990000.0,6636000.0,5,6
2025-10-05,15317090.91,24975000.0,6637000.0,7,11
2025-10-06,24166800.0,26430000.0,6658000.0,5,10
2025-10-07,25000000.0,25000000.0,25000000.0,1,1
2025-10-08,29966666.67,30000000.0,29900000.0,2,3
2025-10-09,23500000.0,24000000.0,23000000.0,2,2
2025-10-10,40000000.0,40000000.0,40000000.0,1,2
2025-10-11,6874000.0,6874000.0,6874000.0,1,4
2025-10-12,22468250.0,28990000.0,6893000.0,3,4
2025-10-13,23225250.0,28990000.0,6921000.0,3,4
2025-10-14,6925000.0,6925000.0,6925000.0,1,2
2025-10-15,6923000.0,6925000.0,6921000.0,2,4
2025-10-16,6924000.0,6924000.0,6924000.0,1,3
2025-10-19,7030000.0,7030000.0,7030000.0,1,2
2025-10-20,41476666.67,44450000.0,39990000.0,2,3
2025-10-21,36050000.0,44390000.0,11010000.0,4,4
2025-10-22,39712857.14,44500000.0,11020000.0,4,7
2025-10-24,11270000.0,11270000.0,11270000.0,1,1
2025-10-28,43876666.67,43880000.0,43870000.0,2,3
2025-10-29,11800000.0,11800000.0,11800000.0,1,1
2025-10-30,11955000.0,12020000.0,11890000.0,2,2
2025-10-31,12020000.0,12020000.0,12020000.0,1,1
2025-11-02,32975000.0,35950000.0,30000000.0,3,4
2025-11-03,12500000.0,12500000.0,12500000.0,1,1
