date,average,highest,lowest,order_count,volume
2025-05-20,5289833.33,6039000.0,1038000.0,5,6
2025-05-21,7440333.33,8000000.0,6321000.0,2,3
2025-05-23,1500142.86,1501000.0,1500000.0,7,7
2025-05-24,1500000.0,1500000.0,1500000.0,4,4
2025-05-25,1038000.0,1038000.0,1038000.0,2,2
2025-05-26,4975000.0,5000000.0,4950000.0,2,2
2025-05-27,3228833.33,5900000.0,1038000.0,5,6
2025-05-28,1033500.0,1038000.0,1020000.0,4,4
2025-05-29,1020000.0,1020000.0,1020000.0,1,1
2025-05-31,1020000.0,1020000.0,1020000.0,1,1
2025-06-01,4667250.0,6319500.0,3019500.0,7,8
2025-06-02,1040000.0,1040000.0,1040000.0,2,2
2025-06-03,1038666.67,1040000.0,1036000.0,2,3
2025-06-04,1036000.0,1036000.0,1036000.0,1,1
2025-06-05,1500000.0,1500000.0,1500000.0,1,4
2025-06-06,3629142.86,4501000.0,1500000.0,6,7
2025-06-07,4568857.14,6300000.0,1500000.0,6,7
2025-06-08,1553000.0,1553000.0,1553000.0,2,2
2025-06-09,4749750.0,5000000.0,3999000.0,4,4
2025-06-10,4096600.0,6321000.0,1555000.0,6,15
2025-06-11,5660500.0,6321000.0,5000000.0,2,2
2025-06-14,1562000.0,1562000.0,1562000.0,2,4
2025-06-15,1563000.0,1563000.0,1563000.0,1,1
2025-06-17,5430000.0,5490000.0,5400000.0,2,3
2025-06-18,5499250.0,5500000.0,5498500.0,3,4
2025-06-19,1569000.0,1569000.0,1569000.0,1,1
2025-06-21,5000000.0,5000000.0,5000000.0,2,4
2025-06-22,1567000.0,1567000.0,1567000.0,1,1
2025-06-23,1569000.0,1569000.0,1569000.0,2,2
2025-06-24,1567545.45,1569000.0,1567000.0,5,11
2025-06-25,3789000.0,3789000.0,3789000.0,1,5
2025-06-27,1570000.0,1570000.0,1570000.0,1,11
2025-06-28,1569666.67,1570000.0,1569000.0,3,3
2025-06-29,3184400.0,3584500.0,1570000.0,5,5
2025-06-30,2174166.67,3380500.0,1571000.0,6,6
2025-07-01,1572000.0,1572000.0,1572000.0,2,2
2025-07-04,1572000.0,1572000.0,1572000.0,2,2
2025-07-05,1572000.0,1572000.0,1572000.0,1,1
2025-07-07,1582000.0,1582000.0,1582000.0,3,3
2025-07-08,1593000.0,1593000.0,1593000.0,1,1
2025-07-09,1593000.0,1593000.0,1593000.0,1,1
2025-07-10,1593000.0,1593000.0,1593000.0,3,3
2025-07-11,1811500.0,2500000.0,1582000.0,4,4
2025-07-12,1583000.0,1583000.0,1583000.0,1,1
2025-07-13,3053333.33,3348000.0,1583000.0,4,6
2025-07-14,1583000.0,1583000.0,1583000.0,1,1
2025-07-15,2125666.67,3211000.0,1583000.0,5,9
2025-07-17,1583000.0,1583000.0,1583000.0,2,2
2025-07-19,1585000.0,1585000.0,1585000.0,1,1
2025-07-20,1586000.0,1586000.0,1586000.0,1,1
2025-07-21,1586333.33,1587000.0,1586000.0,3,3
2025-07-22,2744750.0,3211000.0,1587000.0,7,12
2025-07-23,1586500.0,1588000.0,1586000.0,3,4
2025-07-24,1588000.0,1588000.0,1588000.0,3,3
2025-07-25,1588272.73,1589000.0,1588000.0,3,11
2025-07-26,1586000.0,1588000.0,1582000.0,3,3
2025-07-27,2784083.33,3195000.0,1582000.0,6,12
2025-07-28,1582000.0,1582000.0,1582000.0,2,4
2025-07-29,3205333.33,3211000.0,3200000.0,3,6
2025-07-30,1908400.0,3210000.0,1583000.0,2,5
2025-07-31,3168800.0,3211000.0,3000000.0,2,5
2025-08-01,1583000.0,1583000.0,1583000.0,2,2
2025-08-02,1583000.0,1583000.0,1583000.0,1,1
2025-08-03,2543111.11,3349000.0,1604500.0,7,9
2025-08-04,1625000.0,1625000.0,1625000.0,2,2
2025-08-05,2710250.0,3000000.0,1630000.0,4,4
2025-08-06,3031800.0,3211000.0,2315000.0,4,10
2025-08-07,2729142.86,3211000.0,1630000.0,5,7
2025-08-08,3210000.0,3210000.0,3210000.0,1,1
2025-08-09,1629000.0,1629000.0,1629000.0,1,1
2025-08-10,2537375.0,3000000.0,1629000.0,8,8
2025-08-11,1629000.0,1629000.0,1629000.0,3,4
2025-08-12,1591400.0,1629000.0,1582000.0,3,5
2025-08-13,3112500.0,3150000.0,3000000.0,2,4
2025-08-14,1582000.0,1582000.0,1582000.0,5,5
2025-08-16,2477000.0,3211000.0,1590000.0,6,9
2025-08-18,2719600.0,3000000.0,1598000.0,2,5
2025-08-20,1598000.0,1598000.0,1598000.0,3,6
2025-08-21,1586000.0,1598000.0,1582000.0,3,4
2025-08-23,1582000.0,1582000.0,1582000.0,1,1
2025-08-24,2630250.0,2988500.0,1574500.0,7,8
2025-08-25,2621555.56,3210500.0,1501000.0,9,9
2025-08-26,3210833.33,3211000.0,3210000.0,3,6
