date,average,highest,lowest,order_count,volume
2025-05-20,30960975.61,32465000.0,30240000.0,31,41
2025-05-21,30772222.22,31790000.0,30155000.0,23,27
2025-05-22,30931960.78,31860000.0,30190000.0,31,51
2025-05-23,31125849.06,31800000.0,30040000.0,33,53
2025-05-24,28932222.22,29845000.0,27100000.0,55,72
2025-05-25,28383725.49,29670000.0,27110000.0,38,51
2025-05-26,26816739.13,29170000.0,20345000.0,36,46
2025-05-27,26091162.79,29460000.0,20420000.0,31,43
2025-05-28,25889375.0,27910000.0,20870000.0,28,32
2025-05-29,24685609.76,27840000.0,21645000.0,31,41
2025-05-30,25360606.06,27670000.0,22020000.0,30,33
2025-05-31,25367600.0,26800000.0,22380000.0,45,50
2025-06-01,25176865.67,27150000.0,22630000.0,49,67
2025-06-02,24800638.3,27355000.0,22930000.0,37,47
2025-06-03,25623157.89,26670000.0,23165000.0,19,19
2025-06-04,24807843.14,26460000.0,23290000.0,41,51
2025-06-05,25425833.33,26470000.0,23330000.0,40,72
2025-06-06,25593777.78,26460000.0,23450000.0,29,45
2025-06-07,25847391.3,26800000.0,23470000.0,43,46
2025-06-08,26083283.58,27060000.0,23490000.0,38,67
2025-06-09,28024666.67,29430000.0,24050000.0,29,30
2025-06-10,26150769.23,28960000.0,24150000.0,28,39
2025-06-11,25717758.62,28850000.0,24260000.0,38,58
2025-06-12,25317187.5,25800000.0,24220000.0,27,32
2025-06-13,26622173.91,28840000.0,25800000.0,38,46
2025-06-14,28135543.48,28840000.0,24560000.0,57,92
2025-06-15,29062586.21,29730000.0,24670000.0,42,58
2025-06-16,27659375.0,29580000.0,25080000.0,29,32
2025-06-17,27093000.0,27240000.0,25380000.0,33,40
2025-06-18,30112608.7,32390000.0,25475000.0,22,23
2025-06-19,29515000.0,32250000.0,25800000.0,25,40
2025-06-20,29242187.5,31110000.0,26160000.0,31,32
2025-06-21,28734324.32,29865000.0,26260000.0,36,37
2025-06-22,28411041.67,29740000.0,26380000.0,38,48
2025-06-23,29070294.12,29840000.0,26550000.0,31,34
2025-06-24,30363333.33,32090000.0,29780000.0,32,69
2025-06-25,30164583.33,32920000.0,26510000.0,24,24
2025-06-26,29966666.67,32790000.0,26620000.0,21,24
2025-06-27,31243250.0,32750000.0,31000000.0,35,40
2025-06-28,30762456.14,32625000.0,27180000.0,39,57
2025-06-29,29603725.49,32490000.0,27230000.0,34,51
2025-06-30,31309540.23,32490000.0,27400000.0,44,87
2025-07-01,29644324.32,31500000.0,27650000.0,35,37
2025-07-02,29616382.98,30760000.0,27790000.0,36,47
2025-07-03,31188148.15,31530000.0,27870000.0,42,54
2025-07-04,29466666.67,32865000.0,28030000.0,20,27
2025-07-05,31302500.0,32790000.0,28120000.0,29,44
2025-07-06,30187142.86,31120000.0,28150000.0,32,49
2025-07-07,29662750.0,31040000.0,28190000.0,24,40
2025-07-08,30263333.33,31050000.0,28350000.0,30,39
2025-07-09,30431052.63,31070000.0,28410000.0,27,38
2025-07-10,30195813.95,31070000.0,28390000.0,27,43
