date,average,highest,lowest,order_count,volume
2025-05-20,3476578.95,4590000.0,2651000.0,17,19
2025-05-21,3701363.64,4495500.0,2800000.0,18,33
2025-05-22,3337000.0,4367500.0,2650000.0,8,10
2025-05-23,3682176.47,4245000.0,2650000.0,15,17
2025-05-24,3647107.14,4216000.0,3141000.0,23,28
2025-05-25,2729531.91,3109000.0,1812000.0,31,47
2025-05-26,2577031.25,3226000.0,1101000.0,21,32
2025-05-27,1859000.0,3349000.0,1122000.0,15,24
2025-05-28,2064212.12,3182000.0,1146000.0,22,33
2025-05-29,2158541.67,2798000.0,1167000.0,23,24
2025-05-30,1956326.09,2790000.0,1205500.0,28,46
2025-05-31,2010000.0,2575000.0,1237000.0,27,34
2025-06-01,1868242.42,2120000.0,1334000.0,25,33
2025-06-02,2083050.0,2298500.0,1361000.0,31,40
2025-06-03,1897473.68,2395000.0,1367000.0,17,19
2025-06-04,1517727.27,1779000.0,1389000.0,17,22
2025-06-05,1845960.0,2290000.0,1769000.0,32,50
2025-06-06,2016666.67,2548000.0,1454000.0,21,21
2025-06-07,2091500.0,2484500.0,1499000.0,28,30
2025-06-08,2015476.19,2508000.0,1565000.0,18,21
2025-06-09,2361500.0,2502500.0,1649000.0,11,12
2025-06-10,1768894.74,2448500.0,1739000.0,15,38
2025-06-11,2179047.62,2378000.0,1733000.0,18,21
2025-06-12,1933105.26,2294000.0,1745000.0,14,19
2025-06-13,1919133.33,2160000.0,1759000.0,14,15
2025-06-14,1945428.57,1996000.0,1761500.0,17,21
2025-06-15,1855181.82,1972000.0,1772000.0,16,22
2025-06-16,1915055.56,2020000.0,1783000.0,15,18
2025-06-17,1955142.86,2018000.0,1796000.0,11,14
2025-06-18,1886791.67,2040000.0,1798000.0,18,24
2025-06-19,1876578.95,2037000.0,1797000.0,20,38
2025-06-20,2071568.97,2400000.0,2038000.0,27,58
2025-06-21,2385475.61,2487000.0,1931000.0,36,82
2025-06-22,2519400.0,2789000.0,1931000.0,19,20
2025-06-23,2182318.18,2687000.0,1931000.0,19,22
2025-06-24,2138466.67,2695000.0,1943000.0,21,30
2025-06-25,2193340.0,2700000.0,2127000.0,34,50
2025-06-26,2194137.93,2390000.0,2001000.0,18,29
2025-06-27,2190619.05,2490000.0,2013000.0,15,21
2025-06-28,2173894.74,2799000.0,2012000.0,24,38
2025-06-29,2200511.63,2798000.0,1932000.0,29,43
2025-06-30,2510611.11,2786500.0,1921000.0,18,18
2025-07-01,2415714.29,2787000.0,1921000.0,24,28
2025-07-02,2388129.03,2767000.0,1925000.0,23,31
2025-07-03,2116875.0,2691500.0,1926000.0,13,16
2025-07-04,2034500.0,2392000.0,1950000.0,14,20
2025-07-05,1961555.56,1989000.0,1950000.0,17,18
2025-07-06,2114477.27,2299000.0,1990000.0,23,44
2025-07-07,2149000.0,2559000.0,1985000.0,10,14
2025-07-08,2159470.59,2553000.0,1995500.0,15,17
2025-07-09,2207133.33,2524500.0,1995000.0,15,15
2025-07-10,2194450.0,2492500.0,1999000.0,17,20
2025-07-11,2357000.0,2446500.0,2001000.0,15,15
2025-07-12,2240250.0,2492000.0,1999000.0,24,32
2025-07-13,2248318.18,2479500.0,1999000.0,20,22
2025-07-14,2164666.67,2494000.0,2000000.0,16,18
2025-07-15,2271090.91,2496500.0,2001000.0,11,11
2025-07-16,2186130.43,2495000.0,2000000.0,22,23
2025-07-17,2172352.94,2398500.0,1967000.0,16,17
2025-07-18,2165227.27,2468000.0,1967000.0,19,22
2025-07-19,2261423.08,2552000.0,1967000.0,22,26
2025-07-20,2195333.33,2690000.0,1968000.0,24,33
2025-07-21,2177739.13,2766000.0,1969000.0,18,23
2025-07-22,1700266.67,2669500.0,1551000.0,10,15
2025-07-23,2247161.29,2638000.0,1554000.0,19,31
2025-07-24,1911913.04,2580000.0,1555000.0,10,23
2025-07-25,2091105.26,2573000.0,1557000.0,16,19
2025-07-26,1887782.61,2499000.0,1557000.0,18,23
2025-07-27,2194190.48,2557000.0,1621000.0,20,21
2025-07-28,1844160.0,2394000.0,1630000.0,22,25
2025-07-29,1929750.0,2135000.0,1644000.0,12,12
2025-07-30,1908357.14,2049000.0,1663000.0,12,14
2025-07-31,1872222.22,2039000.0,1665000.0,8,9
2025-08-01,1961695.65,2048000.0,1667000.0,15,23
2025-08-02,1750571.43,1994000.0,1719000.0,10,14
2025-08-03,1930800.0,2129000.0,1719000.0,19,35
2025-08-04,1812260.87,2132000.0,1723000.0,15,23
2025-08-05,1719347.83,1720000.0,1719000.0,12,23
2025-08-06,1840352.94,2130000.0,1720000.0,15,17
2025-08-07,1960083.33,2124000.0,1731000.0,8,12
2025-08-08,1776266.67,2015500.0,1740000.0,13,15
2025-08-09,1792800.0,1923000.0,1740000.0,16,25
2025-08-10,1826800.0,1924000.0,1724000.0,14,25
2025-08-11,1752657.14,1924000.0,1724000.0,16,35
2025-08-12,1893105.26,1924000.0,1724000.0,11,19
2025-08-13,2051147.06,2132500.0,1726000.0,26,34
2025-08-14,1896300.0,2395000.0,1731000.0,15,20
2025-08-15,2058230.77,2376000.0,1740000.0,17,26
2025-08-16,1949571.43,2000000.0,1742000.0,9,14
2025-08-17,1897708.33,2363000.0,1749000.0,15,24
2025-08-18,1879812.5,2360000.0,1749500.0,13,16
2025-08-19,2011937.5,2349000.0,1751000.0,23,32
2025-08-20,2035909.09,2375000.0,1754000.0,19,22
2025-08-21,1790000.0,2372500.0,1736500.0,18,24
2025-08-22,2070153.85,2370000.0,1720500.0,13,13
2025-08-23,1970272.73,2368000.0,1721000.0,15,22
2025-08-24,2044130.43,2325500.0,1757000.0,20,23
2025-08-25,2043758.62,2197000.0,1757000.0,17,29
2025-08-26,2241824.56,2364500.0,1767000.0,26,57
2025-08-27,2237769.23,2370000.0,1767000.0,23,78
2025-08-28,2022468.75,2369000.0,1772000.0,31,32
2025-08-29,2097500.0,2367000.0,1775000.0,16,20
2025-08-30,2151606.06,2370000.0,1767500.0,28,33
2025-08-31,2085225.81,2368500.0,1776000.0,28,31
2025-09-01,2165142.86,2320000.0,1778000.0,17,21
2025-09-02,2153658.54,2351000.0,1778000.0,28,41
2025-09-03,2132153.85,2358500.0,1778000.0,13,13
2025-09-04,2260833.33,2357000.0,1778000.0,6,6
2025-09-05,2186470.59,2355500.0,1781500.0,21,34
2025-09-06,2145894.74,2356000.0,1856500.0,18,19
2025-09-07,2219789.47,2357000.0,1858000.0,15,19
2025-09-08,2086846.15,2354000.0,1858000.0,12,13
2025-09-09,2257266.67,2357000.0,1861000.0,11,15
2025-09-10,2188545.45,2356000.0,1861000.0,16,22
2025-09-11,2137937.5,2355000.0,1861000.0,24,32
2025-09-12,2114238.1,2355000.0,1858000.0,18,21
