date,average,highest,lowest,order_count,volume
2025-05-20,2555777.78,3895000.0,1888000.0,7,9
2025-05-21,2612333.33,2974500.0,1888000.0,6,6
2025-05-22,3015187.5,3799000.0,2997500.0,13,16
2025-05-23,3007687.5,3797000.0,1890000.0,14,16
2025-05-24,2854705.88,3496500.0,1895000.0,14,17
2025-05-25,3401750.0,3799000.0,1894000.0,20,24
2025-05-26,3161000.0,3885000.0,1895000.0,6,11
2025-05-27,2227866.67,3680000.0,1888000.0,10,15
2025-05-28,2097941.18,3670000.0,1888000.0,9,17
2025-05-29,2700454.55,3673000.0,1889500.0,10,11
2025-05-30,3007727.27,3671000.0,1889000.0,20,22
2025-05-31,3262897.44,3674500.0,1898000.0,21,39
2025-06-01,3224625.0,3665500.0,1909500.0,8,8
2025-06-02,3284133.33,3667000.0,1909000.0,29,30
2025-06-03,3028428.57,3678000.0,1922000.0,12,14
2025-06-04,3092166.67,3668000.0,1935500.0,6,6
2025-06-05,2718444.44,3334000.0,1959000.0,9,9
2025-06-06,2523666.67,3596000.0,1987500.0,3,3
2025-06-07,3170947.37,3573000.0,2044000.0,18,19
2025-06-08,2189250.0,3499000.0,2102000.0,9,16
2025-06-09,2427529.41,3489000.0,2100000.0,13,17
2025-06-10,2811666.67,3168000.0,2103000.0,6,6
2025-06-11,2585157.89,3112000.0,2111000.0,14,19
2025-06-12,2598166.67,3081000.0,2112000.0,10,12
2025-06-13,2631230.77,3070000.0,2120500.0,12,13
2025-06-14,2664411.76,3039000.0,2129000.0,12,17
2025-06-15,2968107.14,3042000.0,2339000.0,19,28
2025-06-16,2458909.09,3036000.0,2128000.0,9,11
2025-06-17,2407523.81,3058000.0,2148000.0,17,21
2025-06-18,2813000.0,3046000.0,2160000.0,4,4
2025-06-19,2183551.72,3033000.0,2038000.0,16,29
2025-06-20,2741888.89,2977000.0,1906000.0,9,9
2025-06-21,2543181.82,2895000.0,1935000.0,8,11
2025-06-22,2357666.67,2771000.0,1947000.0,5,6
2025-06-23,2171714.29,2462000.0,1947000.0,7,7
2025-06-24,2015272.73,2379000.0,1946000.0,13,22
2025-06-25,2130700.0,2347000.0,1888000.0,8,10
2025-06-26,2267000.0,2298500.0,1889000.0,8,9
2025-06-27,2203666.67,2292000.0,1895000.0,17,18
2025-06-28,2056636.36,2339000.0,1901000.0,9,11
2025-06-29,2070066.67,2337000.0,1888000.0,12,15
2025-06-30,1950500.0,2325500.0,1888000.0,8,14
2025-07-01,2239682.54,2288000.0,1888000.0,10,63
2025-07-02,2227700.0,2313000.0,1889000.0,4,10
2025-07-03,2069714.29,2311000.0,1889000.0,6,7
2025-07-04,2077500.0,2197000.0,1889000.0,12,18
2025-07-05,2059050.0,2200000.0,1888000.0,15,20
2025-07-06,2124285.71,2300000.0,1888000.0,10,14
2025-07-07,2119111.11,2310000.0,1888000.0,7,9
2025-07-08,2221818.18,2295000.0,1888000.0,10,11
2025-07-09,2012250.0,2300000.0,1454000.0,10,16
2025-07-10,2184642.86,2310000.0,1457500.0,6,14
2025-07-11,2429217.39,2775000.0,2310000.0,17,23
