date,average,highest,lowest,order_count,volume
2025-05-20,101800.0,101800.0,101800.0,48,139
2025-05-21,115000.0,118000.0,102350.0,53,149
2025-05-22,104850.0,116000.0,102600.0,44,96
2025-05-23,138900.0,142900.0,102800.0,57,198
2025-05-24,106947.3,139900.0,102900.0,50,74
2025-05-25,110626.58,141800.0,105000.0,58,79
2025-05-26,105300.0,105300.0,105300.0,56,293
2025-05-27,106000.0,106000.0,106000.0,46,210
2025-05-28,110668.57,142700.0,106000.0,50,70
2025-05-29,105647.16,106000.0,99360.0,48,67
2025-05-30,106000.0,106000.0,106000.0,51,102
2025-05-31,106000.0,106000.0,106000.0,76,142
2025-06-01,105500.0,105500.0,105400.0,65,117
2025-06-02,105700.0,105800.0,105600.0,56,120
2025-06-03,106000.0,106000.0,106000.0,56,132
2025-06-04,106298.21,139900.0,106000.0,48,78
2025-06-05,116173.68,140700.0,106200.0,64,95
2025-06-06,106600.0,106600.0,106600.0,54,157
2025-06-07,106600.0,106600.0,106600.0,74,104
2025-06-08,112444.2,142900.0,106100.0,61,100
2025-06-09,113741.54,196800.0,106700.0,43,65
2025-06-10,107000.0,110000.0,106900.0,59,104
2025-06-11,133123.64,395000.0,111000.0,44,55
2025-06-12,140327.59,391150.0,115200.0,49,87
2025-06-13,142866.67,387800.0,115500.0,51,72
2025-06-14,121914.89,199900.0,115700.0,51,94
2025-06-15,115740.26,116000.0,105300.0,36,77
2025-06-16,118771.21,130000.0,116000.0,50,66
2025-06-17,116000.0,116000.0,116000.0,50,172
2025-06-18,112755.84,116000.0,106200.0,44,77
2025-06-19,198600.0,198700.0,106300.0,69,357
2025-06-20,106700.0,106700.0,106700.0,44,142
2025-06-21,114675.35,185000.0,106800.0,60,99
2025-06-22,113218.39,159900.0,107100.0,42,87
2025-06-23,109584.62,154900.0,108100.0,40,78
2025-06-24,114080.92,149700.0,108500.0,45,65
2025-06-25,108600.0,108600.0,108600.0,57,115
2025-06-26,113833.93,137900.0,108600.0,39,56
2025-06-27,108766.67,108900.0,108600.0,39,69
2025-06-28,112463.38,134000.0,109000.0,45,71
2025-06-29,109100.0,109100.0,109100.0,66,185
2025-06-30,105200.0,105300.0,105200.0,48,132
2025-07-01,105249.14,105300.0,99360.0,48,58
2025-07-02,105422.56,105500.0,99360.0,50,78
2025-07-03,104245.61,105500.0,67500.0,41,57
2025-07-04,105420.92,105500.0,99630.0,39,65
2025-07-05,105439.78,105500.0,99360.0,44,92
2025-07-06,105500.0,105500.0,105500.0,67,108
2025-07-07,105703.13,118250.0,105500.0,40,64
2025-07-08,106270.27,118400.0,105100.0,49,74
2025-07-09,106121.62,115000.0,105100.0,41,74
