date,average,highest,lowest,order_count,volume
2025-05-20,709150.0,709300.0,708000.0,26,110
2025-05-21,763745.83,1079000.0,709900.0,30,48
2025-05-22,714871.43,1100000.0,711000.0,27,91
2025-05-23,811012.77,1136000.0,712000.0,36,47
2025-05-24,931098.36,1140000.0,716000.0,38,61
2025-05-25,719100.0,719200.0,719000.0,47,172
2025-05-26,721200.0,722000.0,721100.0,45,183
2025-05-27,723400.0,723400.0,723400.0,20,244
2025-05-28,725300.0,725400.0,725300.0,30,159
2025-05-29,726495.06,726800.0,726350.0,39,81
2025-05-30,762100.0,1138000.0,727500.0,35,85
2025-05-31,777872.73,1134000.0,730000.0,59,99
2025-06-01,909586.15,1135000.0,731000.0,33,65
2025-06-02,751870.77,1100000.0,735000.0,38,65
2025-06-03,829610.23,1100000.0,740999.91,41,88
2025-06-04,839367.11,1145000.0,748100.0,42,76
2025-06-05,1236000.0,1242000.0,752500.0,41,184
2025-06-06,759708.96,760200.0,756000.0,39,67
2025-06-07,831331.75,1188500.0,764300.0,47,63
2025-06-08,769568.42,771400.0,768000.0,40,76
2025-06-09,820379.63,900000.0,774000.0,38,54
2025-06-10,873034.33,1149000.0,779700.0,31,67
2025-06-11,785200.0,785200.0,785200.0,30,138
2025-06-12,900100.0,1192000.0,789000.0,45,139
2025-06-13,793625.71,794500.0,792000.0,24,35
2025-06-14,799000.0,800100.0,797100.0,31,121
2025-06-15,845019.1,1210500.0,803500.0,36,89
2025-06-16,807893.75,808000.0,806400.0,28,48
2025-06-17,870437.5,1222000.0,812100.0,35,56
2025-06-18,817950.0,818100.0,817100.0,23,32
2025-06-19,822518.31,823100.0,822300.0,25,71
2025-06-20,827561.43,828100.0,826100.0,30,70
2025-06-21,831103.85,831200.0,831000.0,31,52
2025-06-22,841134.78,1180000.0,833200.0,25,46
2025-06-23,836470.49,837100.0,836000.0,24,61
2025-06-24,841712.96,1000000.0,839000.0,23,54
2025-06-25,851729.09,999900.0,840200.0,32,55
2025-06-26,840800.0,840800.0,840800.0,34,410
2025-06-27,848154.0,1184000.0,841200.0,28,50
2025-06-28,868278.69,1153000.0,842600.0,37,61
2025-06-29,975200.0,975200.0,975200.0,40,338
2025-06-30,976205.88,976300.0,976200.0,17,34
2025-07-01,977680.0,1000000.0,977000.0,22,30
2025-07-02,988431.11,1050000.0,977200.0,27,45
2025-07-03,998126.19,1099000.0,978000.0,27,42
2025-07-04,978600.0,978600.0,978600.0,30,102
2025-07-05,1140000.0,1140000.0,1140000.0,24,144
2025-07-06,979468.75,979600.0,979200.0,32,48
2025-07-07,979690.0,979700.0,979600.0,19,30
2025-07-08,979940.0,980000.0,979800.0,12,20
2025-07-09,981240.35,1046000.0,980100.0,32,57
2025-07-10,981043.14,999400.0,980300.0,28,51
2025-07-11,984029.82,1000000.0,980700.0,24,57
2025-07-12,993285.29,1100000.0,981000.0,29,68
2025-07-13,982214.89,982300.0,982150.0,29,47
2025-07-14,982800.0,982800.0,982800.0,17,160
2025-07-15,982947.37,983000.0,982800.0,18,19
2025-07-16,983416.67,1000000.0,983000.0,26,42
2025-07-17,983184.91,983200.0,983100.0,30,53
2025-07-18,1020028.95,1089500.0,983400.0,32,38
2025-07-19,991401.92,1119000.0,983600.0,33,52
2025-07-20,984100.0,1119000.0,984000.0,27,184
2025-07-21,1131000.0,1131000.0,1131000.0,35,137
2025-07-22,984700.0,984700.0,984700.0,19,132
2025-07-23,984896.0,984900.0,984800.0,17,25
2025-07-24,985200.0,985200.0,985200.0,43,159
2025-07-25,985622.5,985750.0,985600.0,21,40
2025-07-26,996762.12,1051000.0,986000.0,22,66
2025-07-27,986007.23,986400.0,985600.0,32,83
2025-07-28,1098000.0,1098000.0,1098000.0,34,292
2025-07-29,985971.43,986000.0,985900.0,24,42
2025-07-30,987100.0,1107000.0,987000.0,47,115
2025-07-31,1019028.57,1131000.0,987200.0,23,56
2025-08-01,987662.07,987700.0,987500.0,21,29
2025-08-02,988245.45,988300.0,987900.0,29,55
2025-08-03,988700.0,988700.0,988700.0,30,117
2025-08-04,989100.0,989100.0,989100.0,31,131
2025-08-05,989231.58,989350.0,989200.0,24,57
2025-08-06,990554.9,993300.0,989500.0,22,51
2025-08-07,993418.18,993500.0,993300.0,17,22
2025-08-08,993750.0,993900.0,989300.0,30,40
2025-08-09,998900.0,1122000.0,996100.0,35,85
2025-08-10,996300.0,996300.0,996300.0,23,239
2025-08-11,996725.0,996900.0,996400.0,21,24
2025-08-12,997512.16,997700.0,997500.0,26,74
2025-08-13,998527.78,998800.0,998400.0,25,36
2025-08-14,999062.2,999100.0,998800.0,28,82
2025-08-15,1039845.98,1087000.0,999900.0,36,87
2025-08-16,1005512.2,1006000.0,1005000.0,22,41
2025-08-17,1009586.21,1010000.0,1009000.0,23,87
2025-08-18,1014666.67,1015000.0,1014000.0,28,87
2025-08-19,1023608.7,1070000.0,1017000.0,25,46
2025-08-20,1018800.0,1019000.0,1017500.0,23,45
2025-08-21,1058650.0,1079000.0,1021000.0,30,60
2025-08-22,1030250.0,1066000.0,1025000.0,20,32
2025-08-23,1036191.78,1119000.0,1031000.0,33,73
2025-08-24,1037739.73,1133000.0,1031000.0,41,73
2025-08-25,1031000.0,1031000.0,1031000.0,25,133
2025-08-26,1013029.41,1014000.0,1013000.0,29,34
2025-08-27,1013420.29,1014000.0,1013000.0,25,69
2025-08-28,1013000.0,1013000.0,1013000.0,17,24
2025-08-29,1012866.67,1013000.0,1011000.0,23,60
2025-08-30,1040375.0,1098000.0,1013000.0,40,88
2025-08-31,1014000.0,1014000.0,1014000.0,34,122
2025-09-01,1014725.47,1015000.0,1014000.0,27,51
2025-09-02,1003666.68,1021000.0,1.0,23,60
2025-09-03,1021078.43,1022000.0,1021000.0,36,51
2025-09-04,1027916.67,1031000.0,1021000.0,26,84
2025-09-05,1031000.0,1031000.0,1031000.0,22,38
2025-09-06,1031666.67,1032000.0,1031000.0,19,30
2025-09-07,1073500.0,1099000.0,1033000.0,37,158
2025-09-08,1034727.27,1102000.0,1033000.0,30,44
2025-09-09,1031000.0,1031000.0,1031000.0,17,126
2025-09-10,1007184.21,1030000.0,1000000.0,33,76
2025-09-11,1001024.39,1010000.0,1001000.0,22,41
2025-09-12,1023617.02,1096000.0,1011000.0,26,47
2025-09-13,1010030.0,1011500.0,1010000.0,26,100
2025-09-14,1014571.43,1089500.0,1010000.0,39,70
2025-09-15,1010064.52,1011000.0,1010000.0,30,62
2025-09-16,1010000.0,1010000.0,1010000.0,14,42
2025-09-17,1010044.44,1011000.0,1010000.0,18,45
2025-09-18,1009047.62,1010000.0,1000000.0,28,42
2025-09-19,1010133.33,1011000.0,1010000.0,25,30
2025-09-20,1011272.73,1052000.0,1010000.0,25,33
2025-09-21,999000.0,999100.0,999000.0,29,126
2025-09-22,1015603.66,1035000.0,999100.0,41,82
2025-09-23,999088.57,999100.0,999000.0,18,35
2025-09-24,999087.69,999100.0,999000.0,29,65
2025-09-25,999000.0,999000.0,999000.0,35,126
2025-09-26,999000.0,999000.0,999000.0,35,106
2025-09-27,999012.5,999100.0,999000.0,20,56
2025-09-28,1000402.33,1025000.0,999200.0,30,43
2025-09-29,999388.88,999400.0,999300.0,25,63
2025-09-30,999595.65,999650.0,999400.0,19,23
2025-10-01,1000564.29,1001000.0,999750.0,21,28
2025-10-02,1005738.1,1010500.0,1002000.0,26,42
2025-10-03,1007754.72,1023000.0,1005000.0,27,53
2025-10-04,1022640.0,1049000.0,1006000.0,31,75
2025-10-05,1008000.0,1008000.0,1008000.0,34,135
2025-10-06,1045523.81,1071500.0,1011000.0,21,42
2025-10-07,1113000.0,1129000.0,1043500.0,41,116
2025-10-08,1013500.0,1014000.0,1013000.0,27,44
2025-10-09,1015400.0,1016000.0,1015000.0,12,15
2025-10-10,1017032.61,1018000.0,1017000.0,31,92
2025-10-11,1017032.26,1018000.0,1017000.0,20,31
2025-10-12,1017021.28,1018000.0,1017000.0,34,94
2025-10-13,1017000.0,1017000.0,1017000.0,26,61
2025-10-14,1021454.55,1047000.0,1017000.0,33,66
2025-10-15,1015114.75,1017000.0,900000.0,27,61
2025-10-16,1017000.0,1017000.0,1017000.0,20,45
2025-10-17,1017000.0,1017000.0,1017000.0,16,32
2025-10-18,1000900.02,1018000.0,1.0,26,60
2025-10-19,1017968.25,1018000.0,1017000.0,34,63
2025-10-20,1018063.49,1019000.0,1018000.0,24,63
2025-10-21,1018000.0,1018000.0,1017999.97,22,29
2025-10-22,1018000.0,1018000.0,1018000.0,21,40
2025-10-23,1018000.0,1018000.0,1018000.0,20,34
2025-10-24,1018119.05,1019000.0,1018000.0,17,42
2025-10-25,1019000.0,1019000.0,1019000.0,23,84
2025-10-26,1030306.12,1100000.0,1019000.0,32,49
