date,average,highest,lowest,order_count,volume
2025-06-19,22060000000.0,22060000000.0,22060000000.0,1,1
2025-07-27,21500000000.0,23000000000.0,20000000000.0,2,2
2025-08-13,23500000000.0,23500000000.0,23500000000.0,1,1
2025-08-23,22000000000.0,22000000000.0,22000000000.0,1,1
2025-08-30,22900000000.0,22900000000.0,22900000000.0,1,1
2025-09-01,17505000000.0,17510000000.0,17500000000.0,2,2
2025-09-20,25610000000.0,25610000000.0,25610000000.0,1,1
2025-11-01,16270000000.0,16270000000.0,16270000000.0,1,1
2025-11-11,16270000000.0,16270000000.0,16270000000.0,1,1
2025-11-13,16260000000.0,16260000000.0,16260000000.0,1,1
