date,average,highest,lowest,order_count,volume
2025-05-22,2999000000.0,2999000000.0,2999000000.0,1,1
2025-05-24,3000000000.0,3000000000.0,3000000000.0,1,1
2025-05-30,2044000000.0,2044000000.0,2044000000.0,1,1
2025-05-31,3098000000.0,3098000000.0,3098000000.0,1,1
2025-06-04,3099000000.0,3099000000.0,3099000000.0,1,1
2025-06-21,2136000000.0,2136000000.0,2136000000.0,1,1
2025-06-30,2703000000.0,3100000000.0,2622000000.0,4,4
2025-07-07,2177000000.0,2177000000.0,2177000000.0,1,1
2025-07-10,2182500000.0,2183000000.0,2182000000.0,2,2
2025-07-21,2699000000.0,2699000000.0,2699000000.0,4,4
2025-08-24,2244000000.0,2244000000.0,2244000000.0,1,1
2025-09-25,2300000000.0,2300000000.0,2300000000.0,1,1
2025-11-13,2992000000.0,2992000000.0,2992000000.0,1,1
