date,average,highest,lowest,order_count,volume
2025-05-20,1000000.0,1000000.0,1000000.0,4,7
2025-05-21,2854800.0,3315000.0,1000000.0,5,5
2025-05-22,3447625.0,3450000.0,3444000.0,5,8
2025-05-24,2135428.57,3700000.0,1000000.0,6,7
2025-05-25,970000.0,970000.0,970000.0,1,1
2025-05-26,970000.0,970000.0,970000.0,2,2
2025-05-27,970000.0,970000.0,970000.0,1,2
2025-05-28,2988000.0,2988000.0,2988000.0,1,4
2025-05-31,0.01,0.01,0.01,2,2
2025-06-01,0.01,0.01,0.01,1,1
2025-06-02,776000.0,3000000.0,220000.0,3,5
2025-06-04,220000.0,220000.0,220000.0,1,1
2025-06-05,220000.0,220000.0,220000.0,1,1
2025-06-06,220000.0,220000.0,220000.0,1,1
2025-06-07,221000.0,221000.0,221000.0,1,2
2025-06-11,221000.0,221000.0,221000.0,1,1
2025-06-13,221000.0,221000.0,221000.0,1,1
2025-06-14,221000.0,221000.0,221000.0,1,1
2025-06-16,221000.0,221000.0,221000.0,3,3
2025-06-21,221000.0,221000.0,221000.0,2,2
2025-06-22,220000.0,220000.0,220000.0,1,1
2025-06-24,220000.0,220000.0,220000.0,2,2
2025-06-26,299900.0,299900.0,299900.0,1,1
2025-06-28,299900.0,299900.0,299900.0,1,1
2025-06-29,299900.0,299900.0,299900.0,1,2
2025-07-01,224950.0,299900.0,150000.0,2,2
2025-07-02,1681650.0,1996000.0,299900.0,6,6
2025-07-03,1998000.0,1998000.0,1998000.0,1,3
2025-07-05,2000000.0,2000000.0,2000000.0,1,2
2025-07-06,299980.0,300000.0,299900.0,3,5
2025-07-07,300000.0,300000.0,300000.0,1,1
2025-07-08,1998500.0,1999000.0,1998000.0,2,2
2025-07-09,300100.0,300100.0,300100.0,1,2
2025-07-13,355000.0,355000.0,355000.0,2,8
2025-07-14,355000.0,355000.0,355000.0,1,1
2025-07-15,355000.0,355000.0,355000.0,1,1
2025-07-18,355050.0,355100.0,355000.0,2,2
2025-07-19,357000.0,357000.0,357000.0,1,1
2025-07-20,790000.0,900000.0,360000.0,3,4
2025-07-21,360000.0,360000.0,360000.0,1,1
2025-07-23,2929000.0,2929000.0,2929000.0,1,1
2025-07-24,2076366.67,2934500.0,360100.0,3,3
2025-07-26,2000000.0,2000000.0,2000000.0,1,1
2025-07-28,360200.0,360200.0,360200.0,1,3
2025-07-30,360200.0,360200.0,360200.0,2,2
2025-08-01,360400.0,360400.0,360400.0,1,1
2025-08-07,360500.0,360500.0,360500.0,1,1
2025-08-08,360500.0,360500.0,360500.0,1,1
2025-08-09,2723500.0,2724000.0,2723000.0,2,2
2025-08-12,360500.0,360500.0,360500.0,2,3
2025-08-18,360500.0,360500.0,360500.0,1,1
2025-08-20,360500.0,360500.0,360500.0,1,1
2025-08-21,360500.0,360500.0,360500.0,2,4
2025-08-28,653466.67,800000.0,360400.0,2,3
2025-08-29,1514200.0,2668000.0,360400.0,2,2
2025-08-31,360400.0,360400.0,360400.0,2,2
2025-09-02,2695625.0,2703000.0,2670000.0,4,8
2025-09-06,2708500.0,2709000.0,2708000.0,2,2
2025-09-07,1200000.0,1200000.0,1200000.0,1,2
2025-09-09,2704000.0,2704000.0,2704000.0,1,1
2025-09-10,1200000.0,1200000.0,1200000.0,1,1
2025-09-12,1200000.0,1200000.0,1200000.0,1,1
2025-09-13,1200000.0,1200000.0,1200000.0,1,1
2025-09-14,2705000.0,2710000.0,2700000.0,2,2
2025-09-18,1200000.0,1200000.0,1200000.0,1,1
2025-09-19,360400.0,360400.0,360400.0,1,3
2025-09-22,2334527.27,2724000.0,360400.0,10,11
2025-09-28,360400.0,360400.0,360400.0,2,2
2025-09-29,360400.0,360400.0,360400.0,1,1
2025-10-01,4200000.0,4200000.0,4200000.0,1,1
2025-10-03,4100000.0,4200000.0,4000000.0,2,2
2025-10-06,360500.0,360500.0,360500.0,2,2
2025-10-10,1001000.0,1001000.0,1001000.0,1,1
2025-10-11,1001000.0,1001000.0,1001000.0,3,4
2025-10-12,1001000.0,1001000.0,1001000.0,1,1
2025-10-13,1001000.0,1001000.0,1001000.0,1,1
2025-10-15,1989000.0,1989000.0,1989000.0,1,1
2025-10-18,1002000.0,1002000.0,1002000.0,1,1
2025-10-30,1003777.78,1004000.0,1003000.0,3,9
2025-10-31,1003000.0,1003000.0,1003000.0,1,2
2025-11-06,1003000.0,1003000.0,1003000.0,1,5
2025-11-07,1003500.0,1004000.0,1003000.0,2,2
2025-11-09,1001000.0,1001000.0,1001000.0,1,1
2025-11-12,1001000.0,1001000.0,1001000.0,1,1
2025-11-14,2374250.0,2898000.0,1001000.0,3,4
