date,average,highest,lowest,order_count,volume
2025-05-20,25010.0,25010.0,25010.0,83,1391
2025-05-21,25040.0,25040.0,25040.0,105,1098
2025-05-22,25010.0,25010.0,25010.0,102,2370
2025-05-23,25000.0,25000.0,25000.0,80,4327
2025-05-24,25000.0,25000.0,25000.0,136,3881
2025-05-25,25030.0,25040.0,25000.0,139,4746
2025-05-26,25020.0,25030.0,25000.0,100,3738
2025-05-27,25000.0,25000.0,25000.0,94,6848
2025-05-28,25030.0,41920.0,25010.0,140,3918
2025-05-29,25140.0,25140.0,25100.0,97,1444
2025-05-30,25170.0,25180.0,25160.0,112,1216
2025-05-31,25180.0,25180.0,25180.0,145,1669
2025-06-01,30000.0,30010.0,28360.0,126,2818
2025-06-02,28620.0,28620.0,28620.0,131,2530
2025-06-03,28620.0,41920.0,28520.0,120,3059
2025-06-04,28560.0,28560.0,28560.0,101,2270
2025-06-05,25230.0,25230.0,25230.0,105,1064
2025-06-06,25000.0,25000.0,25000.0,111,1480
2025-06-07,25030.0,25050.0,25020.0,145,2435
2025-06-08,25010.0,25010.0,25010.0,117,1444
2025-06-09,25070.0,25070.0,25070.0,86,1051
2025-06-10,25070.0,25070.0,25070.0,97,2741
2025-06-11,25070.0,25070.0,25070.0,88,700
2025-06-12,25000.0,25000.0,25000.0,94,1659
2025-06-13,25000.0,25000.0,25000.0,98,856
2025-06-14,25010.0,25030.0,25010.0,135,1738
2025-06-15,40990.0,40990.0,40990.0,121,11117
2025-06-16,25050.0,25050.0,25030.0,84,1345
2025-06-17,25030.0,25030.0,25030.0,80,1064
2025-06-18,25030.0,25030.0,25030.0,87,2037
2025-06-19,25020.0,25020.0,25020.0,99,1163
2025-06-20,25000.0,25000.0,25000.0,77,825
2025-06-21,26010.0,26020.0,26010.0,114,1712
2025-06-22,26030.0,26050.0,26020.0,91,2094
2025-06-23,26010.0,26010.0,26010.0,90,3028
2025-06-24,25000.0,25000.0,25000.0,85,2162
2025-06-25,25000.0,25000.0,25000.0,91,1744
2025-06-26,25000.0,25000.0,25000.0,94,1536
2025-06-27,25000.0,25000.0,25000.0,89,1512
2025-06-28,25010.0,25020.0,25010.0,126,2595
2025-06-29,25010.0,25010.0,25010.0,137,2476
2025-06-30,25020.0,25030.0,25020.0,96,1794
2025-07-01,25030.0,25030.0,25030.0,97,1314
2025-07-02,25000.0,25000.0,25000.0,91,1883
2025-07-03,25000.0,25000.0,25000.0,70,1452
2025-07-04,25010.0,25010.0,25010.0,66,1287
2025-07-05,25070.0,25100.0,25050.0,119,1894
2025-07-06,25100.0,25100.0,25100.0,110,1776
2025-07-07,25130.0,33750.0,25110.0,101,2352
2025-07-08,25170.0,34480.0,25160.0,88,1618
2025-07-09,25220.0,25220.0,25220.0,70,726
2025-07-10,25220.0,25220.0,25220.0,80,821
2025-07-11,25220.0,25220.0,25220.0,97,2068
2025-07-12,25220.0,25220.0,25220.0,98,3682
2025-07-13,25000.0,25000.0,25000.0,98,1448
2025-07-14,25000.0,25000.0,25000.0,98,1879
2025-07-15,33100.0,40800.0,25000.0,89,2997
2025-07-16,25000.0,25000.0,25000.0,103,978
2025-07-17,25000.0,25000.0,25000.0,73,1459
2025-07-18,25010.0,25010.0,25010.0,107,2090
2025-07-19,25010.0,25010.0,25010.0,104,1353
2025-07-20,25010.0,25010.0,25010.0,93,2719
2025-07-21,25010.0,25010.0,25010.0,89,1339
2025-07-22,25010.0,25010.0,25010.0,109,5335
2025-07-23,40980.0,40990.0,25010.0,93,2517
2025-07-24,25000.0,25000.0,25000.0,98,2128
2025-07-25,25000.0,25000.0,25000.0,106,2682
2025-07-26,25000.0,25000.0,25000.0,135,3523
2025-07-27,25000.0,25000.0,25000.0,143,2251
2025-07-28,28000.0,28000.0,28000.0,97,4142
2025-07-29,25000.0,25000.0,25000.0,104,3292
2025-07-30,25010.0,25010.0,25010.0,72,2009
2025-07-31,26800.0,26800.0,26800.0,75,6150
2025-08-01,25010.0,25010.0,25010.0,98,1314
2025-08-02,25010.0,25010.0,25010.0,128,3467
2025-08-03,27990.0,27990.0,27990.0,109,5960
2025-08-04,25150.0,25150.0,25150.0,104,2038
2025-08-05,25150.0,25150.0,25150.0,126,3151
2025-08-06,25170.0,25170.0,25170.0,95,2999
2025-08-07,25200.0,25210.0,25180.0,78,986
2025-08-08,25210.0,25210.0,25210.0,83,2424
2025-08-09,36210.0,36210.0,36200.0,107,5570
2025-08-10,25250.0,25250.0,25250.0,102,1586
2025-08-11,25270.0,25270.0,25270.0,102,2038
2025-08-12,25270.0,25270.0,25270.0,79,1809
2025-08-13,25270.0,25270.0,25270.0,95,1606
2025-08-14,25160.0,25160.0,25160.0,59,782
2025-08-15,25160.0,25160.0,25160.0,77,1305
2025-08-16,25160.0,25160.0,25160.0,100,2115
2025-08-17,25000.0,25000.0,25000.0,116,3423
2025-08-18,25000.0,25000.0,25000.0,101,1639
2025-08-19,25010.0,25010.0,25010.0,111,1462
2025-08-20,25100.0,25110.0,25100.0,95,1389
2025-08-21,25120.0,25120.0,25120.0,78,1255
2025-08-22,25020.0,25020.0,25020.0,118,1835
2025-08-23,25010.0,25010.0,25010.0,112,6342
2025-08-24,25010.0,25010.0,25010.0,130,1034
2025-08-25,25010.0,25010.0,25010.0,84,1652
2025-08-26,25010.0,25010.0,25010.0,99,1899
2025-08-27,32960.0,32970.0,32960.0,79,3458
2025-08-28,25010.0,25010.0,25010.0,75,793
2025-08-29,32980.0,33000.0,25020.0,128,2784
2025-08-30,25060.0,25060.0,25060.0,82,1426
2025-08-31,34990.0,35020.0,25060.0,119,2973
2025-09-01,25060.0,25060.0,25060.0,95,2887
2025-09-02,25070.0,25070.0,25060.0,94,1716
2025-09-03,25060.0,25060.0,25060.0,83,1509
2025-09-04,25060.0,25060.0,25060.0,66,1432
2025-09-05,25060.0,25060.0,25060.0,95,1218
2025-09-06,34990.0,34990.0,25060.0,103,3501
2025-09-07,25000.0,25000.0,25000.0,126,2658
2025-09-08,25000.0,25000.0,25000.0,91,1218
2025-09-09,25000.0,25000.0,25000.0,87,2791
2025-09-10,25010.0,40960.0,25000.0,99,2191
2025-09-11,25000.0,25000.0,25000.0,86,1573
2025-09-12,25000.0,25000.0,25000.0,80,973
2025-09-13,25000.0,25000.0,25000.0,114,4026
2025-09-14,25020.0,25030.0,25010.0,120,2314
2025-09-15,25030.0,25030.0,25030.0,95,1935
2025-09-16,25030.0,25030.0,25030.0,72,1912
2025-09-17,25030.0,25030.0,25030.0,74,1421
2025-09-18,25020.0,25020.0,25000.0,85,1660
2025-09-19,25000.0,25000.0,25000.0,73,1051
2025-09-20,26000.0,26000.0,26000.0,93,3286
2025-09-21,26000.0,26000.0,26000.0,110,2193
2025-09-22,38970.0,38970.0,38970.0,108,3683
2025-09-23,26000.0,26000.0,26000.0,75,1016
2025-09-24,26000.0,26000.0,26000.0,80,1837
