date,average,highest,lowest,order_count,volume
2025-05-20,106.4,106.5,106.3,120,60178157
2025-05-21,106.2,106.5,105.9,84,23079120
2025-05-22,95.0,106.4,90.0,104,60115562
2025-05-23,106.4,108.4,105.8,189,263982225
2025-05-24,115.9,117.0,112.1,193,236783850
2025-05-25,130.2,130.4,128.9,148,40799800
2025-05-26,129.7,129.7,129.6,94,43503420
2025-05-27,130.9,178.4,130.0,555,211917803
2025-05-28,157.6,169.6,150.0,649,147083187
2025-05-29,169.1,178.9,156.7,450,123959346
2025-05-30,139.4,156.3,113.4,183,98453532
2025-05-31,132.5,132.8,131.8,156,49265341
2025-06-01,126.3,128.8,117.0,158,85678214
2025-06-02,123.3,123.4,123.1,120,41191133
2025-06-03,122.9,123.0,122.4,120,65639373
2025-06-04,121.0,121.6,118.8,128,43666680
2025-06-05,116.9,118.9,111.6,154,57061027
2025-06-06,113.6,113.6,113.4,114,46487673
2025-06-07,110.0,111.6,109.8,129,42023002
2025-06-08,107.3,109.2,100.0,133,45134369
2025-06-09,106.9,106.9,106.9,82,51528554
2025-06-10,104.9,106.9,94.29,94,87291358
2025-06-11,107.0,110.0,106.9,83,58917261
2025-06-12,111.7,111.7,111.7,94,55049308
2025-06-13,111.7,111.7,111.7,87,26802440
2025-06-14,112.8,113.5,111.4,114,136230040
2025-06-15,113.5,113.6,113.4,113,83849448
2025-06-16,114.9,114.9,114.0,84,43489695
2025-06-17,111.5,111.8,101.1,100,28268342
2025-06-18,110.6,110.7,100.0,92,85232341
2025-06-19,114.7,114.9,114.7,96,27938292
2025-06-20,120.0,120.1,115.2,71,17898886
2025-06-21,119.7,119.7,119.7,87,48308851
2025-06-22,119.5,119.5,117.0,108,37045484
2025-06-23,119.0,119.3,117.0,84,66251646
2025-06-24,119.7,119.8,119.5,104,54108634
2025-06-25,116.6,116.7,115.9,98,98288763
2025-06-26,108.4,117.6,108.2,92,84954302
2025-06-27,117.4,117.4,117.4,83,35216977
2025-06-28,119.9,120.0,119.7,87,43416201
2025-06-29,120.2,120.2,120.2,71,15947263
2025-06-30,120.5,123.0,120.3,81,30053219
2025-07-01,118.7,122.4,118.3,52,28197734
2025-07-02,120.4,120.4,120.4,69,17843575
2025-07-03,118.4,120.4,114.3,86,66348556
2025-07-04,120.4,120.4,120.3,52,21249020
2025-07-05,120.7,120.8,120.6,61,29055367
2025-07-06,116.1,119.4,116.0,115,49058895
2025-07-07,118.7,118.9,118.6,89,24506696
2025-07-08,118.0,119.0,118.0,66,23340428
2025-07-09,119.9,121.0,119.8,74,26745309
2025-07-10,121.3,121.4,119.9,61,21546399
