date,average,highest,lowest,order_count,volume
2025-05-20,1381.0,1381.0,1381.0,9,176
2025-05-21,1382.0,3691.0,1381.0,13,338
2025-05-22,1383.0,1383.0,1383.0,18,331
2025-05-23,1383.0,1383.0,1383.0,12,189
2025-05-24,1383.0,1383.0,1383.0,11,226
2025-05-25,4000.0,4000.0,4000.0,21,2056
2025-05-26,4980.0,4980.0,4980.0,22,563
2025-05-27,3000.0,4980.0,1384.0,13,116
2025-05-28,1389.0,4899.5,1388.0,26,163
2025-05-29,1389.0,1389.0,1389.0,14,109
2025-05-30,4940.0,4980.0,1392.0,19,1640
2025-05-31,4000.0,4000.0,4000.0,24,962
2025-06-01,1402.0,1402.0,1402.0,25,727
2025-06-02,2687.16,3900.0,1404.0,13,81
2025-06-03,3800.0,3800.0,3800.0,15,477
2025-06-04,1408.0,1408.0,1408.0,17,181
2025-06-05,3999.0,3999.0,3999.0,18,1340
2025-06-06,5994.0,5994.0,5994.0,23,259
2025-06-07,5993.0,5994.0,1412.0,16,238
2025-06-08,1413.0,9637.0,1412.0,13,182
2025-06-09,1413.0,1413.0,1413.0,16,662
2025-06-10,1500.5,1503.0,1500.0,14,250
2025-06-11,1506.0,1507.0,1506.0,19,107
2025-06-12,1508.0,1509.0,1507.0,13,417
2025-06-13,1508.0,1508.0,1508.0,8,115
2025-06-14,1508.0,1508.0,1508.0,15,238
2025-06-15,5107.09,9599.0,1513.0,14,45
2025-06-16,1517.0,1517.0,1517.0,13,123
2025-06-17,9597.0,9598.0,1519.0,25,395
2025-06-18,1521.0,1521.0,1521.0,11,388
2025-06-19,1523.0,1523.0,1523.0,13,326
2025-06-20,1525.0,1525.0,1525.0,6,51
2025-06-21,3999.0,3999.0,3999.0,13,799
2025-06-22,1530.0,1530.0,1529.0,19,504
2025-06-23,1524.0,1524.0,1524.0,13,215
2025-06-24,1524.0,1524.0,1524.0,21,371
2025-06-25,1525.0,1525.0,1525.0,7,186
2025-06-26,2631.47,4955.0,1525.0,15,62
2025-06-27,1524.0,1524.0,1524.0,14,4104
2025-06-28,4960.0,9638.0,4900.0,28,4040
2025-06-29,1525.0,1525.0,1525.0,14,193
2025-06-30,1525.0,1525.0,1525.0,10,184
2025-07-01,1525.0,1525.0,1525.0,13,930
2025-07-02,1525.0,1525.0,1525.0,15,245
2025-07-03,1525.0,1525.0,1525.0,7,203
2025-07-04,14596.0,49890.0,1525.0,12,74
2025-07-05,1527.0,1527.0,1527.0,16,204
2025-07-06,1527.0,1527.0,1527.0,11,102
2025-07-07,1527.0,1527.0,1527.0,19,1146
2025-07-08,1527.0,1527.0,1527.0,17,385
2025-07-09,1527.0,1527.0,1527.0,12,235
2025-07-10,40000.0,40000.0,40000.0,11,592
2025-07-11,1527.0,1527.0,1527.0,16,205
2025-07-12,1526.0,1526.0,1526.0,18,138
