date,average,highest,lowest,order_count,volume
2025-05-20,712357.14,1500000.0,121750.0,5,7
2025-05-21,831075.0,994250.0,383000.0,7,8
2025-05-22,605169.23,994250.0,122900.0,9,13
2025-05-23,123633.33,123900.0,123300.0,5,6
2025-05-24,124450.0,124500.0,124100.0,5,8
2025-05-25,595245.0,624800.0,583600.0,15,40
2025-05-26,621469.23,844700.0,150000.0,9,13
2025-05-27,737005.88,989100.0,150400.0,11,17
2025-05-28,675985.71,899700.0,151250.0,12,21
2025-05-29,322538.46,888900.0,152700.0,11,13
2025-05-30,461180.0,849300.0,153300.0,11,15
2025-05-31,463730.77,824450.0,154400.0,9,13
2025-06-01,269526.32,300000.0,155350.0,10,19
2025-06-02,155933.33,156600.0,155600.0,3,3
2025-06-03,251847.06,296500.0,156800.0,12,17
2025-06-04,156700.0,156800.0,156200.0,4,6
2025-06-05,169185.71,246450.0,156200.0,10,14
2025-06-06,117425.0,156200.0,1000.0,4,4
2025-06-07,254540.63,279600.0,156600.0,15,32
2025-06-08,185746.43,292900.0,156600.0,13,28
2025-06-09,213082.76,292900.0,156700.0,11,29
2025-06-10,264964.71,292900.0,156700.0,10,34
2025-06-11,240260.0,295000.0,156750.0,5,5
2025-06-12,215678.95,298000.0,156750.0,13,19
2025-06-13,294198.0,300000.0,157950.0,6,50
2025-06-14,158866.67,159200.0,158200.0,4,6
2025-06-15,161291.3,161400.0,160900.0,11,23
2025-06-16,161433.33,161600.0,161400.0,6,6
2025-06-17,322009.09,699800.0,182900.0,8,11
2025-06-18,302793.55,700000.0,241900.0,12,31
2025-06-19,184100.0,184150.0,184050.0,6,6
2025-06-20,281117.65,449950.0,184600.0,8,17
2025-06-21,196666.67,220000.0,185000.0,3,3
2025-06-22,177853.85,184900.0,1000.0,12,26
2025-06-23,483294.29,634800.0,449000.0,10,35
2025-06-24,185230.0,185300.0,185200.0,6,10
2025-06-25,185800.0,185800.0,185800.0,3,4
2025-06-26,523633.33,634700.0,186000.0,16,30
2025-06-27,213684.62,305900.0,186000.0,7,13
2025-06-28,234060.0,305900.0,186200.0,9,10
2025-06-29,314880.0,508750.0,186400.0,13,15
2025-06-30,346966.67,378900.0,186200.0,5,6
2025-07-01,165711.11,186300.0,1000.0,3,9
2025-07-02,303966.67,340000.0,186700.0,6,15
2025-07-03,257576.92,340000.0,186900.0,8,13
2025-07-04,196846.15,229900.0,186900.0,7,13
2025-07-05,299809.52,378850.0,240000.0,16,21
2025-07-06,225480.65,378900.0,189000.0,9,31
2025-07-07,323023.53,378800.0,189200.0,7,17
2025-07-08,206766.67,258900.0,189400.0,7,12
2025-07-09,195043.24,258900.0,189400.0,10,37
2025-07-10,310876.09,320000.0,258900.0,14,46
2025-07-11,189900.0,189900.0,189900.0,4,4
2025-07-12,234152.63,259800.0,190100.0,11,19
2025-07-13,476369.23,631000.0,378900.0,15,39
2025-07-14,497451.72,631000.0,190400.0,12,29
2025-07-15,628266.67,629900.0,625000.0,2,3
2025-07-16,190585.71,190800.0,189600.0,6,7
2025-07-17,633000.0,750000.0,631000.0,41,438
2025-07-18,400030.0,400100.0,400000.0,7,10
2025-07-19,400233.01,400400.0,400100.0,7,9
2025-07-20,1690200.0,2980000.0,400400.0,4,6
2025-07-21,1248536.0,2976000.0,400400.0,9,25
2025-07-22,400400.0,400400.0,400400.0,7,7
2025-07-23,400436.36,400500.0,400400.0,4,11
2025-07-24,400512.5,400600.0,400500.0,5,24
2025-07-25,400650.0,400700.0,400600.0,4,4
2025-07-26,400700.0,400700.0,400700.0,4,5
2025-07-27,400700.0,400700.0,400700.0,9,17
2025-07-28,587511.76,689400.0,400700.0,6,17
