date,average,highest,lowest,order_count,volume
2025-05-20,5510.0,5510.0,5510.0,15,50
2025-05-21,5510.0,5510.0,5510.0,18,35
2025-05-22,5510.0,5510.0,5510.0,14,27
2025-05-23,5510.0,5510.0,5510.0,26,73
2025-05-24,5510.0,5510.0,5510.0,30,149
2025-05-25,5510.0,5510.0,5510.0,18,68
2025-05-26,5510.0,5510.0,5510.0,29,77
2025-05-27,5510.0,5510.0,5510.0,18,44
2025-05-28,5510.0,5510.0,5510.0,27,49
2025-05-29,5510.03,5511.0,5510.0,20,39
2025-05-30,5564.0,6500.0,5510.0,29,55
2025-05-31,5510.0,5510.0,5510.0,26,101
2025-06-01,5510.0,5510.0,5510.0,29,48
2025-06-02,7172.44,12330.0,5510.0,22,82
2025-06-03,5510.0,5510.0,5510.0,21,72
2025-06-04,5510.0,5510.0,5510.0,15,26
2025-06-05,5510.09,5511.0,5510.0,23,57
2025-06-06,5510.0,5510.0,5510.0,16,28
2025-06-07,12158.44,19900.0,5510.0,35,74
2025-06-08,9679.57,19900.0,5510.0,28,69
2025-06-09,5510.0,5510.0,5510.0,25,76
2025-06-10,5510.0,5510.0,5510.0,18,20
2025-06-11,5510.0,5510.0,5510.0,16,27
2025-06-12,5510.0,5510.0,5510.0,17,76
2025-06-13,5510.02,5511.0,5510.0,16,48
2025-06-14,5510.0,5510.0,5510.0,21,41
2025-06-15,5510.0,5510.0,5510.0,28,141
2025-06-16,5510.0,5510.0,5509.97,14,34
2025-06-17,5510.04,5511.0,5510.0,18,28
2025-06-18,5510.0,5510.0,5510.0,12,25
2025-06-19,5510.0,5510.0,5510.0,23,111
2025-06-20,5510.0,5510.0,5510.0,12,21
2025-06-21,5510.01,5511.0,5510.0,14,94
2025-06-22,5510.0,5510.0,5510.0,19,70
2025-06-23,5510.0,5510.0,5510.0,21,60
2025-06-24,5510.0,5510.0,5510.0,18,58
2025-06-25,5510.0,5510.0,5510.0,23,46
2025-06-26,5510.0,5510.0,5509.99,10,14
2025-06-27,5510.02,5511.0,5510.0,18,53
2025-06-28,5510.02,5511.0,5510.0,21,53
2025-06-29,5510.0,5510.0,5510.0,30,173
2025-06-30,5510.0,5510.0,5510.0,19,25
2025-07-01,5510.0,5510.0,5510.0,20,40
2025-07-02,5510.0,5510.0,5510.0,13,39
2025-07-03,5510.0,5510.0,5510.0,17,47
2025-07-04,5510.0,5510.0,5510.0,17,21
2025-07-05,5510.02,5511.0,5510.0,24,63
2025-07-06,5510.0,5510.0,5510.0,24,75
2025-07-07,5510.0,5510.0,5510.0,21,48
2025-07-08,5510.03,5511.0,5510.0,9,38
2025-07-09,5509.99,5510.0,5509.97,10,29
2025-07-10,5275.11,5510.0,4000.0,20,45
2025-07-11,4000.0,4000.0,4000.0,15,24
2025-07-12,4000.0,4000.0,4000.0,25,85
2025-07-13,4000.03,4001.0,4000.0,22,35
2025-07-14,4000.0,4000.0,4000.0,19,106
2025-07-15,4000.0,4000.0,4000.0,20,31
2025-07-16,4000.0,4000.0,4000.0,15,23
2025-07-17,4000.11,4001.0,4000.0,18,64
2025-07-18,4000.0,4000.0,4000.0,12,31
2025-07-19,4000.0,4000.0,4000.0,37,102
2025-07-20,4000.0,4000.0,4000.0,27,62
2025-07-21,4000.0,4000.0,4000.0,15,23
2025-07-22,4000.0,4000.0,4000.0,18,30
2025-07-23,4000.0,4000.0,4000.0,21,35
2025-07-24,4000.27,4001.0,4000.0,21,45
2025-07-25,4000.0,4000.0,4000.0,17,27
2025-07-26,4000.03,4001.0,4000.0,18,36
2025-07-27,4645.16,8000.0,4000.0,20,31
2025-07-28,4000.0,4000.0,4000.0,16,203
2025-07-29,4000.0,4000.0,4000.0,12,15
2025-07-30,7438.95,10840.0,4000.0,18,38
2025-07-31,4105.26,5000.0,4000.0,15,19
2025-08-01,3999.95,4000.0,3999.0,22,38
2025-08-02,13980.0,13980.0,13980.0,28,290
2025-08-03,4000.0,4000.0,4000.0,13,32
2025-08-04,4000.0,4000.0,4000.0,13,239
2025-08-05,4000.0,4000.0,4000.0,13,32
2025-08-06,4000.0,4000.0,4000.0,10,43
2025-08-07,4200.03,5000.0,4000.0,17,40
