date,average,highest,lowest,order_count,volume
2025-05-25,1350000.0,2000000.0,50000.0,3,6
2025-05-28,50020.0,50020.0,50020.0,1,7
2025-05-31,1899000.0,1899000.0,1899000.0,1,1
2025-06-01,1899000.0,1900000.0,1898000.0,3,5
2025-06-07,1900000.0,1900000.0,1900000.0,2,8
2025-06-08,1800000.0,1800000.0,1800000.0,1,3
2025-06-11,1766666.67,1800000.0,1750000.0,2,3
2025-06-18,1601000.0,1601000.0,1601000.0,2,17
2025-06-26,50018.0,50020.0,50010.0,2,5
2025-06-28,50020.0,50020.0,50020.0,1,6
2025-06-30,1798250.0,1799000.0,1798000.0,2,4
2025-07-04,1796625.0,1797000.0,1796000.0,3,8
2025-07-07,1799000.0,1799000.0,1799000.0,1,1
2025-07-10,1551000.0,1551000.0,1551000.0,1,1
2025-07-12,1551000.0,1551000.0,1551000.0,1,4
2025-07-14,1540000.0,1540000.0,1540000.0,1,3
2025-07-20,1200000.0,1200000.0,1200000.0,2,4
2025-07-23,1540000.0,1540000.0,1540000.0,1,1
2025-07-24,1542666.67,1550000.0,1540000.0,2,15
2025-07-31,1550000.0,1550000.0,1550000.0,2,3
2025-08-02,75060.0,75060.0,75060.0,1,4
2025-08-04,1737000.0,1799000.0,1550000.0,3,4
2025-08-11,1899500.0,1999000.0,1800000.0,2,6
2025-08-22,1998000.0,1998000.0,1998000.0,1,1
2025-08-26,1998000.0,1998000.0,1998000.0,1,2
2025-09-03,75160.0,75160.0,75160.0,1,1
2025-09-07,6500000.0,6500000.0,6500000.0,1,3
2025-09-17,75170.0,75170.0,75170.0,1,3
2025-09-24,6443181.82,6500000.0,6350000.0,3,22
2025-09-30,1950000.0,1950000.0,1950000.0,1,1
2025-10-04,1775000.0,1950000.0,1600000.0,2,2
2025-10-07,1501000.0,1501000.0,1501000.0,1,2
2025-10-17,1800000.0,1800000.0,1800000.0,1,4
2025-10-24,1899000.0,1899000.0,1899000.0,1,8
2025-11-05,1889000.0,1889000.0,1889000.0,1,7
2025-11-07,1890000.0,1890000.0,1890000.0,2,7
2025-11-12,75260.0,75260.0,75260.0,3,10
