date,average,highest,lowest,order_count,volume
2025-05-20,2216000000.0,2216000000.0,2216000000.0,1,1
2025-05-22,2245666666.67,2300000000.0,2218500000.0,3,3
2025-05-23,2496000000.0,2496000000.0,2496000000.0,1,1
2025-05-25,2491000000.0,2491500000.0,2490500000.0,3,3
2025-05-28,2486000000.0,2486000000.0,2486000000.0,1,1
2025-05-30,2482500000.0,2483000000.0,2482000000.0,2,2
2025-06-04,2467000000.0,2467000000.0,2467000000.0,1,1
2025-06-06,2461500000.0,2462000000.0,2461000000.0,2,2
2025-06-07,2456000000.0,2456000000.0,2456000000.0,1,1
2025-06-08,2452000000.0,2452000000.0,2452000000.0,2,2
2025-06-09,2447000000.0,2447000000.0,2447000000.0,1,1
2025-06-14,2430000000.0,2430000000.0,2430000000.0,1,1
2025-06-15,2427000000.0,2427000000.0,2427000000.0,1,1
2025-06-17,2412000000.0,2412000000.0,2412000000.0,1,1
2025-06-20,2402500000.0,2403000000.0,2402000000.0,2,2
2025-06-21,2399000000.0,2399000000.0,2399000000.0,1,1
2025-06-22,2400000000.0,2400000000.0,2400000000.0,1,1
2025-06-23,2597000000.0,2597000000.0,2597000000.0,1,1
2025-06-25,2596000000.0,2596000000.0,2596000000.0,1,1
2025-06-27,2582000000.0,2582000000.0,2582000000.0,1,1
2025-06-28,2581000000.0,2581000000.0,2581000000.0,1,1
2025-06-30,2576000000.0,2576000000.0,2576000000.0,1,1
2025-07-01,2574000000.0,2574000000.0,2574000000.0,1,1
2025-07-05,2557000000.0,2557000000.0,2557000000.0,1,1
2025-07-10,2526000000.0,2526000000.0,2526000000.0,1,1
2025-07-13,2513000000.0,2513000000.0,2513000000.0,1,1
2025-07-17,2200000000.0,2200000000.0,2200000000.0,1,1
2025-07-19,2199000000.0,2199000000.0,2199000000.0,1,1
2025-07-20,2199000000.0,2199000000.0,2199000000.0,1,1
2025-07-23,2099000000.0,2099000000.0,2099000000.0,1,1
2025-07-24,2099000000.0,2099000000.0,2099000000.0,1,1
2025-07-25,2100000000.0,2100000000.0,2100000000.0,1,1
2025-07-26,2300000000.0,2300000000.0,2300000000.0,1,1
2025-07-28,2215000000.0,2215000000.0,2215000000.0,1,1
2025-07-29,2350500000.0,2491000000.0,2210000000.0,2,2
2025-07-30,2484000000.0,2484000000.0,2484000000.0,1,1
2025-07-31,2483000000.0,2483000000.0,2483000000.0,1,1
2025-08-01,2484000000.0,2484000000.0,2484000000.0,2,2
2025-08-02,627966000.0,2484000000.0,9288000.0,4,4
2025-08-04,2472000000.0,2472000000.0,2472000000.0,1,1
2025-08-05,2468666666.67,2469500000.0,2467000000.0,3,3
2025-08-06,2227000.0,2227000.0,2227000.0,1,1
2025-08-08,2456500000.0,2457000000.0,2456000000.0,2,2
2025-08-12,2443000000.0,2443000000.0,2443000000.0,3,3
2025-08-14,2436000000.0,2436000000.0,2436000000.0,1,1
2025-08-15,2430500000.0,2431000000.0,2430000000.0,2,2
2025-08-16,2426000000.0,2426000000.0,2426000000.0,1,1
2025-08-18,2396666666.67,2425000000.0,2382500000.0,3,3
2025-08-19,2496000000.0,2496000000.0,2496000000.0,1,1
2025-08-20,2490000000.0,2490000000.0,2490000000.0,2,2
2025-08-24,2452000000.0,2453000000.0,2451000000.0,2,2
2025-08-30,2473000000.0,2474000000.0,2472000000.0,2,2
2025-08-31,2474000000.0,2475000000.0,2473000000.0,2,2
2025-09-02,2459500000.0,2461000000.0,2458000000.0,2,2
2025-09-03,2455000000.0,2456000000.0,2454000000.0,2,2
2025-09-04,2153000000.0,2454500000.0,1550000000.0,3,3
2025-09-06,2491000000.0,2491000000.0,2491000000.0,1,1
2025-09-07,2475000000.0,2475000000.0,2475000000.0,1,1
2025-09-08,2469000000.0,2469000000.0,2469000000.0,1,1
2025-09-09,2470000000.0,2470000000.0,2470000000.0,2,2
2025-09-13,2444000000.0,2444000000.0,2444000000.0,1,1
2025-09-15,2300000000.0,2300000000.0,2300000000.0,1,1
2025-09-17,2271000000.0,2271000000.0,2271000000.0,1,1
2025-09-20,2273000000.0,2273000000.0,2273000000.0,1,1
2025-09-23,2273500000.0,2274000000.0,2273000000.0,2,2
2025-09-26,2280000000.0,2280000000.0,2280000000.0,1,1
2025-09-27,2280000000.0,2280000000.0,2280000000.0,1,1
2025-09-28,2281000000.0,2281000000.0,2281000000.0,1,1
2025-09-30,2432000000.0,2432000000.0,2432000000.0,1,1
2025-10-04,2401500000.0,2406000000.0,2397000000.0,2,2
2025-10-08,2348500000.0,2349000000.0,2348000000.0,2,2
2025-10-11,2279000000.0,2279000000.0,2279000000.0,1,1
2025-10-12,2278000000.0,2278000000.0,2278000000.0,1,1
2025-10-19,2220000000.0,2220000000.0,2220000000.0,1,1
2025-10-20,2217500000.0,2218000000.0,2217000000.0,2,2
2025-10-21,2221000000.0,2221000000.0,2221000000.0,1,1
2025-10-25,2289000000.0,2289000000.0,2289000000.0,1,1
2025-10-30,2288000000.0,2289000000.0,2287000000.0,2,2
2025-10-31,2291000000.0,2291000000.0,2291000000.0,1,1
2025-11-01,2299000000.0,2299000000.0,2299000000.0,1,1
2025-11-02,2587000000.0,2587000000.0,2587000000.0,1,1
2025-11-03,2498000000.0,2498000000.0,2498000000.0,1,1
2025-11-05,2225000000.0,2225000000.0,2225000000.0,1,1
2025-11-07,2319000000.0,2319000000.0,2319000000.0,1,1
2025-11-08,2313000000.0,2313000000.0,2313000000.0,1,1
2025-11-11,2150000000.0,2150000000.0,2150000000.0,1,1
2025-11-12,2292500000.0,2293000000.0,2292000000.0,2,2
2025-11-13,2289000000.0,2289000000.0,2289000000.0,1,1
