date,average,highest,lowest,order_count,volume
2025-05-20,7332166.67,8498000.0,6007000.0,5,6
2025-05-21,8488416.67,8493000.0,8488000.0,7,12
2025-05-22,8480800.0,8483500.0,8479000.0,5,5
2025-05-23,7746375.0,7995000.0,6000000.0,7,8
2025-05-24,7187333.33,7994000.0,6000000.0,15,21
2025-05-25,7992000.0,7992000.0,7992000.0,2,2
2025-05-26,7916181.82,7996000.0,7898000.0,11,11
2025-05-27,7995130.43,8000000.0,7990000.0,7,23
2025-05-28,6700272.73,7899000.0,6001000.0,6,11
2025-05-29,7650900.0,8000000.0,6008000.0,7,10
2025-05-30,8140714.29,8496000.0,6009000.0,6,7
2025-05-31,8220222.22,8497000.0,6009000.0,8,9
2025-06-01,8045363.64,8499000.0,6009000.0,10,11
2025-06-02,8143000.0,8499000.0,6009000.0,6,7
2025-06-03,8498750.0,8499000.0,8498000.0,8,8
2025-06-04,6942750.0,8499000.0,6009000.0,4,8
2025-06-05,8498142.86,8499000.0,8498000.0,7,7
2025-06-06,7751700.0,8499000.0,6008000.0,9,10
2025-06-07,7564750.0,8499000.0,6008000.0,6,8
2025-06-08,7057750.0,8000000.0,6009000.0,10,28
2025-06-09,6671833.33,7999500.0,6008000.0,4,6
2025-06-10,7801500.0,8499000.0,6008000.0,5,8
2025-06-11,7075428.57,8499000.0,6008000.0,4,7
2025-06-12,7983666.67,8299000.0,6008000.0,6,6
2025-06-13,7726500.0,8299000.0,6009000.0,4,4
2025-06-14,8266400.0,8499000.0,6009000.0,10,15
2025-06-15,8125736.84,8500000.0,6009000.0,13,19
2025-06-16,8678500.0,9000000.0,6016000.0,10,10
2025-06-17,8079875.0,9000000.0,6016000.0,7,8
2025-06-18,7293714.29,8997000.0,6016500.0,6,7
2025-06-19,7720857.14,9000000.0,6016000.0,9,21
2025-06-20,8287600.0,9798000.0,6021500.0,5,5
2025-06-21,8506571.43,9498500.0,6026000.0,9,14
2025-06-22,7946500.0,9495000.0,6030000.0,5,8
2025-06-23,8185000.0,9446500.0,7999000.0,5,5
2025-06-24,9161181.82,9491000.0,6036000.0,10,11
2025-06-25,7427700.0,9499500.0,6046500.0,7,10
2025-06-26,7373923.08,9498000.0,6047000.0,6,13
2025-06-27,7128562.5,9497000.0,6052000.0,6,16
2025-06-28,9066625.0,9498000.0,6054000.0,8,8
2025-06-29,8730555.56,9494000.0,6055500.0,13,18
2025-06-30,8809800.0,9499000.0,6054500.0,7,10
2025-07-01,9495571.43,9497000.0,9495000.0,5,7
2025-07-02,9248250.0,9494500.0,7522000.0,7,16
2025-07-03,7287692.31,9499000.0,6026000.0,7,13
2025-07-04,9767000.0,9837500.0,9700000.0,6,9
2025-07-05,7618142.86,8797500.0,6046000.0,7,7
2025-07-06,8653571.43,9696000.0,6046500.0,5,7
2025-07-07,9691000.0,9691000.0,9691000.0,3,3
2025-07-08,9169000.0,9689500.0,6047000.0,7,7
2025-07-09,8068861.11,9684500.0,6049000.0,17,36
2025-07-10,9685500.0,9686000.0,9684000.0,4,4
2025-07-11,9684714.29,9685000.0,9684000.0,5,7
2025-07-12,8781750.0,9685000.0,6053000.0,11,12
2025-07-13,8332750.0,9698000.0,6070000.0,8,8
