date,average,highest,lowest,order_count,volume
2025-05-20,1886000.0,1886000.0,1886000.0,1,76
2025-05-21,730000.0,730000.0,730000.0,1,3
2025-05-22,730000.0,730000.0,730000.0,2,6
2025-05-25,1868342.11,1869000.0,1868000.0,2,76
2025-05-31,1799000.0,1799000.0,1799000.0,1,6
2025-06-07,728875.0,730000.0,721000.0,2,24
2025-06-10,1778302.63,1779000.0,1772000.0,3,76
2025-06-14,932000.0,1776000.0,721000.0,2,15
2025-06-22,721000.0,721000.0,721000.0,1,3
2025-06-24,1773552.63,1776000.0,1771000.0,3,76
2025-06-29,1765000.0,1765000.0,1765000.0,1,76
2025-07-09,1237000.0,1495000.0,721000.0,2,9
2025-07-13,1250000.0,1250000.0,1250000.0,2,51
2025-07-15,1246304.35,1247000.0,1246000.0,2,46
2025-07-17,1246702.13,1247000.0,1246000.0,2,94
2025-07-18,1247000.0,1247000.0,1247000.0,1,1
2025-07-19,1249345.24,1250000.0,1246000.0,4,84
2025-07-20,1250000.0,1250000.0,1250000.0,1,69
2025-07-21,1677826.09,1787000.0,1250000.0,3,46
2025-07-27,1788000.0,1788000.0,1788000.0,1,12
2025-08-03,1763.0,1763.0,1763.0,2,20
2025-08-06,721300.0,721300.0,721300.0,1,9
2025-08-09,721100.0,721100.0,721100.0,5,101
2025-08-10,721233.33,721350.0,721200.0,4,9
2025-08-13,1645760.87,1722000.0,1221000.0,2,46
2025-08-15,1708000.0,1708000.0,1708000.0,1,46
2025-08-18,1670365.96,1691000.0,721200.0,2,47
2025-08-20,1648826.09,1649000.0,1648000.0,3,46
2025-08-21,721200.0,721200.0,721200.0,1,1
2025-08-22,1550000.0,1550000.0,1550000.0,1,46
2025-08-25,1199978.72,1200000.0,1198000.0,2,94
2025-08-28,1180000.0,1180000.0,1180000.0,1,44
2025-08-31,999900.0,999900.0,999900.0,1,94
2025-09-03,999794.74,999800.0,999700.0,4,95
2025-09-07,999800.0,999800.0,999800.0,1,92
2025-09-10,550000.0,550000.0,550000.0,1,1
2025-09-12,999700.0,999700.0,999700.0,1,30
2025-09-15,969983.33,970000.0,969900.0,2,6
2025-09-16,970000.0,970000.0,970000.0,1,80
2025-09-21,1300000.0,1300000.0,1300000.0,4,156
2025-09-25,550000.0,550000.0,550000.0,1,22
2025-10-07,550000.0,550000.0,550000.0,1,3
2025-10-10,1218000.0,1218000.0,1218000.0,1,10
2025-10-12,1214571.43,1215000.0,1214000.0,2,7
2025-10-14,1149000.0,1149000.0,1149000.0,1,3
2025-10-19,1146972.22,1149000.0,1146000.0,4,36
2025-10-20,1149000.0,1149000.0,1149000.0,1,44
2025-10-25,1148000.0,1148000.0,1148000.0,1,3
2025-10-29,550000.0,550000.0,550000.0,1,3
2025-10-30,250000.0,400000.0,250000.0,7,301
2025-11-08,200000.0,200000.0,200000.0,1,2
