date,average,highest,lowest,order_count,volume
2025-05-20,731.9,732.9,719.5,91,27427796
2025-05-21,732.8,733.9,701.0,127,59884097
2025-05-22,736.0,738.9,732.0,127,43908218
2025-05-23,737.8,740.0,728.9,86,27012331
2025-05-24,747.9,750.0,741.0,147,114442764
2025-05-25,755.0,770.0,754.0,139,120069382
2025-05-26,739.8,769.8,732.7,145,59583890
2025-05-27,769.9,769.9,768.0,104,37291197
2025-05-28,799.8,800.0,726.7,150,83450590
2025-05-29,805.0,816.0,774.0,138,49933980
2025-05-30,741.0,800.0,740.3,109,33817664
2025-05-31,800.0,805.0,742.6,123,24367531
2025-06-01,800.9,802.0,798.0,105,30151679
2025-06-02,787.7,787.8,783.0,115,39955216
2025-06-03,787.8,800.0,767.5,107,46747845
2025-06-04,799.0,800.1,790.0,121,30197217
2025-06-05,771.6,790.0,771.3,104,40957308
2025-06-06,789.0,789.1,774.3,107,25181235
2025-06-07,772.0,798.0,765.6,182,76528424
2025-06-08,805.0,814.9,804.9,117,31353007
2025-06-09,798.3,798.5,785.0,124,34219166
2025-06-10,817.1,817.1,816.8,91,31721452
2025-06-11,790.0,816.0,740.1,103,35337971
2025-06-12,800.0,805.0,799.8,88,22866935
2025-06-13,819.9,825.0,809.6,123,105063279
2025-06-14,849.9,900.0,834.9,144,72233573
2025-06-15,940.0,1025.0,895.0,223,87626810
2025-06-16,1098.0,1100.0,1096.0,157,92129050
2025-06-17,1070.0,1164.0,950.0,191,85861912
2025-06-18,1049.0,1143.0,950.0,114,38794646
2025-06-19,1047.0,1049.0,1000.0,118,73262469
2025-06-20,1112.0,1115.0,1105.0,115,24412091
2025-06-21,954.4,1094.0,953.9,180,111884646
2025-06-22,1021.0,1035.0,975.0,168,99609234
2025-06-23,1111.0,1130.0,938.4,103,25657246
2025-06-24,1060.0,1063.0,999.6,121,63610299
2025-06-25,1100.0,1110.0,964.6,108,38050465
2025-06-26,1006.0,1084.0,972.5,88,35612944
2025-06-27,989.9,992.8,972.9,183,94684862
2025-06-28,993.5,993.8,992.6,101,23991530
2025-06-29,970.1,971.2,960.7,98,43144062
