date,average,highest,lowest,order_count,volume
2025-05-20,131895000.0,134800000.0,120300000.0,20,20
2025-05-21,134826829.27,135900000.0,133600000.0,31,41
2025-05-22,130690000.0,131900000.0,129800000.0,15,20
2025-05-23,129070833.33,131050000.0,121550000.0,36,48
2025-05-24,127628571.43,130100000.0,122000000.0,40,42
2025-05-25,127213559.32,130100000.0,122000000.0,43,59
2025-05-26,128661224.49,132000000.0,124800000.0,33,49
2025-05-27,129691666.67,131800000.0,125000000.0,17,24
2025-05-28,130150704.23,133150000.0,125000000.0,55,71
2025-05-29,129361538.46,131200000.0,125200000.0,32,39
2025-05-30,128375000.0,130750000.0,124800000.0,29,32
2025-05-31,125513725.49,128000000.0,121400000.0,46,51
2025-06-01,122236585.37,125400000.0,112550000.0,37,41
2025-06-02,120160526.32,122900000.0,116000000.0,32,38
2025-06-03,119040740.74,122900000.0,112500000.0,23,27
2025-06-04,124754545.45,128150000.0,123600000.0,39,55
2025-06-05,122314285.71,128000000.0,115750000.0,30,35
2025-06-06,119739393.94,123000000.0,111300000.0,33,33
2025-06-07,123125806.45,125000000.0,111800000.0,28,31
2025-06-08,121802500.0,126700000.0,112500000.0,36,40
2025-06-09,120609090.91,126800000.0,112700000.0,31,33
2025-06-10,125898148.15,127200000.0,113450000.0,39,54
2025-06-11,121604166.67,125100000.0,113200000.0,22,24
2025-06-12,126806060.61,128100000.0,125000000.0,27,33
2025-06-13,126754054.05,129450000.0,113100000.0,30,37
2025-06-14,118947012.99,131000000.0,111900000.0,46,77
2025-06-15,123218169.01,129400000.0,119600000.0,50,71
2025-06-16,120221428.57,122800000.0,109100000.0,25,28
2025-06-17,118617948.72,123100000.0,111800000.0,32,39
2025-06-18,114780000.0,119750000.0,110000000.0,14,15
2025-06-19,115159375.0,116300000.0,112100000.0,23,32
2025-06-20,113646153.85,116500000.0,112000000.0,30,39
2025-06-21,119917948.72,123450000.0,110000000.0,31,39
2025-06-22,122070212.77,124550000.0,112100000.0,33,47
2025-06-23,121136363.64,125300000.0,112550000.0,28,33
2025-06-24,122892307.69,124900000.0,113700000.0,22,26
2025-06-25,121977419.35,124900000.0,114000000.0,24,31
2025-06-26,120934782.61,124300000.0,115000000.0,21,23
2025-06-27,127605128.21,132100000.0,115850000.0,35,39
2025-06-28,129643902.44,135500000.0,122050000.0,34,41
2025-06-29,125250000.0,134000000.0,115300000.0,27,30
2025-06-30,125415789.47,128900000.0,115600000.0,16,19
2025-07-01,121942857.14,127650000.0,116100000.0,50,77
