date,average,highest,lowest,order_count,volume
2025-05-20,388069230.77,389950000.0,383200000.0,24,26
2025-05-21,370258823.53,384550000.0,353300000.0,17,17
2025-05-22,381431428.57,385100000.0,355800000.0,34,35
2025-05-23,375578125.0,384950000.0,355900000.0,25,32
2025-05-24,370425806.45,385600000.0,357000000.0,25,31
2025-05-25,371689285.71,378750000.0,357300000.0,26,28
2025-05-26,375308620.69,377800000.0,357600000.0,48,58
2025-05-27,396195833.33,407700000.0,377900000.0,40,48
2025-05-28,413704761.9,428900000.0,360900000.0,36,42
2025-05-29,434695000.0,478700000.0,428900000.0,19,20
2025-05-30,465112000.0,483300000.0,464900000.0,23,25
2025-05-31,535950000.0,666500000.0,480000000.0,29,34
2025-06-01,542547058.82,599000000.0,392250000.0,17,17
2025-06-02,511776190.48,539600000.0,461750000.0,21,21
2025-06-03,501718181.82,509150000.0,426700000.0,21,22
2025-06-04,503004347.83,509600000.0,498200000.0,40,46
2025-06-05,470909090.91,494000000.0,446900000.0,26,33
2025-06-06,476084848.48,490300000.0,432300000.0,30,33
2025-06-07,476467647.06,489300000.0,433200000.0,26,34
2025-06-08,452457142.86,469550000.0,434300000.0,23,28
2025-06-09,450553846.15,454200000.0,445000000.0,24,26
2025-06-10,427581250.0,448550000.0,392950000.0,15,16
2025-06-11,433492857.14,444800000.0,393500000.0,14,14
2025-06-12,437063636.36,440750000.0,400100000.0,10,11
2025-06-13,427047368.42,442500000.0,401200000.0,17,19
2025-06-14,432766666.67,441050000.0,401500000.0,37,45
2025-06-15,412780000.0,416800000.0,401600000.0,9,10
2025-06-16,418981481.48,420000000.0,417700000.0,23,27
2025-06-17,433326190.48,443000000.0,401900000.0,32,42
2025-06-18,426888461.54,432500000.0,402600000.0,24,26
2025-06-19,426310638.3,443400000.0,403800000.0,38,47
2025-06-20,421622222.22,440400000.0,392400000.0,9,9
2025-06-21,452745945.95,489050000.0,443450000.0,53,74
2025-06-22,525820454.55,549650000.0,490000000.0,31,44
2025-06-23,471676923.08,520000000.0,425000000.0,12,13
2025-06-24,467703225.81,490400000.0,426500000.0,30,31
2025-06-25,446563636.36,493400000.0,427400000.0,19,22
2025-06-26,459175000.0,478100000.0,427700000.0,7,8
2025-06-27,449050000.0,469550000.0,428450000.0,16,22
2025-06-28,444195454.55,455900000.0,405000000.0,19,22
2025-06-29,427100000.0,435350000.0,405200000.0,13,14
2025-06-30,420337037.04,432600000.0,400700000.0,22,27
2025-07-01,407927777.78,430000000.0,392300000.0,14,18
2025-07-02,403641666.67,424800000.0,392600000.0,8,12
2025-07-03,414081818.18,424050000.0,392000000.0,20,22
2025-07-04,411716666.67,422850000.0,392300000.0,16,18
2025-07-05,417955555.56,423700000.0,392400000.0,25,27
2025-07-06,417180000.0,428500000.0,392600000.0,29,35
2025-07-07,408461538.46,421300000.0,392400000.0,13,13
2025-07-08,401822222.22,409400000.0,392000000.0,8,9
2025-07-09,366375000.0,390000000.0,307800000.0,15,16
2025-07-10,332457142.86,364500000.0,322000000.0,11,14
2025-07-11,333360000.0,344400000.0,322700000.0,22,25
2025-07-12,324700000.0,329800000.0,292200000.0,28,32
2025-07-13,338861111.11,343800000.0,329500000.0,30,36
2025-07-14,323818181.82,355050000.0,296500000.0,20,22
2025-07-15,330021428.57,353550000.0,300250000.0,13,14
2025-07-16,309145454.55,342350000.0,301900000.0,9,11
2025-07-17,330817142.86,341600000.0,304400000.0,28,35
2025-07-18,326312500.0,342600000.0,305800000.0,12,16
2025-07-19,331726666.67,334600000.0,312750000.0,10,15
2025-07-20,330937500.0,341500000.0,310200000.0,35,48
2025-07-21,343745000.0,355200000.0,341600000.0,37,40
2025-07-22,339193750.0,352000000.0,314200000.0,16,16
2025-07-23,339020000.0,353500000.0,317150000.0,15,15
2025-07-24,341022222.22,349900000.0,318000000.0,17,18
2025-07-25,349693548.39,354000000.0,319900000.0,24,31
2025-07-26,350000000.0,364900000.0,323050000.0,10,11
2025-07-27,354360000.0,355000000.0,352700000.0,22,25
2025-07-28,358842857.14,369600000.0,326600000.0,19,21
2025-07-29,357355555.56,375000000.0,335550000.0,18,18
2025-07-30,344681250.0,371750000.0,335650000.0,16,16
2025-07-31,354706250.0,359000000.0,318600000.0,16,16
2025-08-01,354033333.33,370950000.0,319900000.0,8,9
2025-08-02,355141463.41,371400000.0,354700000.0,31,41
2025-08-03,357244444.44,370000000.0,333300000.0,26,27
2025-08-04,353906060.61,370100000.0,337600000.0,28,33
2025-08-05,340031818.18,348100000.0,318300000.0,18,22
2025-08-06,348183333.33,348700000.0,347850000.0,11,12
2025-08-07,353292307.69,374950000.0,345300000.0,12,13
2025-08-08,361533333.33,371700000.0,340600000.0,5,6
2025-08-09,350570588.24,369300000.0,340400000.0,12,17
2025-08-10,336937500.0,366800000.0,322000000.0,23,24
2025-08-11,324752173.91,332700000.0,318550000.0,22,23
2025-08-12,307633333.33,332000000.0,297450000.0,17,21
2025-08-13,327210000.0,330000000.0,300600000.0,10,10
2025-08-14,302300000.0,302300000.0,302300000.0,1,1
2025-08-15,320939130.43,323400000.0,302300000.0,21,23
2025-08-16,315057142.86,318800000.0,305000000.0,14,14
2025-08-17,315014285.71,319950000.0,303300000.0,19,21
2025-08-18,314475000.0,319900000.0,303100000.0,18,28
2025-08-19,289313333.33,309800000.0,165400000.0,12,15
2025-08-20,246536363.64,289000000.0,169300000.0,9,11
2025-08-21,287875000.0,288000000.0,287000000.0,4,4
2025-08-22,277716129.03,287700000.0,207900000.0,22,31
2025-08-23,305300000.0,319900000.0,294750000.0,19,25
2025-08-24,280750000.0,308600000.0,235950000.0,26,28
2025-08-25,297707407.41,308050000.0,245600000.0,17,27
2025-08-26,288128571.43,300800000.0,249550000.0,7,7
2025-08-27,299866666.67,308000000.0,256900000.0,22,24
2025-08-28,285680952.38,299700000.0,259950000.0,18,21
2025-08-29,292414814.81,299050000.0,262900000.0,23,27
2025-08-30,299934482.76,308600000.0,299400000.0,22,29
2025-08-31,293650000.0,305600000.0,269400000.0,17,18
2025-09-01,284833333.33,302900000.0,270200000.0,9,9
2025-09-02,309175471.7,323000000.0,303000000.0,31,53
2025-09-03,327400000.0,367050000.0,276950000.0,10,10
2025-09-04,312057142.86,366600000.0,282750000.0,13,14
2025-09-05,309135294.12,316100000.0,286500000.0,16,17
2025-09-06,297329032.26,315000000.0,289250000.0,23,31
2025-09-07,299308333.33,315400000.0,293000000.0,11,12
2025-09-08,298700000.0,314650000.0,288600000.0,15,16
2025-09-09,308646875.0,313700000.0,289400000.0,25,32
2025-09-10,302964705.88,314600000.0,290000000.0,12,17
2025-09-11,312523529.41,315000000.0,290800000.0,17,17
2025-09-12,317895454.55,339950000.0,317350000.0,18,22
2025-09-13,321160000.0,337600000.0,296350000.0,9,10
2025-09-14,312660000.0,330700000.0,298000000.0,25,30
2025-09-15,309185714.29,324150000.0,298100000.0,15,21
2025-09-16,308557894.74,323600000.0,300200000.0,16,19
2025-09-17,322582758.62,323500000.0,322000000.0,25,58
2025-09-18,317958823.53,328900000.0,310000000.0,14,17
2025-09-19,314889473.68,328300000.0,301800000.0,17,19
2025-09-20,318736666.67,328300000.0,302600000.0,27,30
2025-09-21,311777272.73,315000000.0,304000000.0,21,22
2025-09-22,311966666.67,314400000.0,303000000.0,18,18
2025-09-23,308353846.15,314000000.0,302600000.0,11,13
2025-09-24,309747368.42,315000000.0,300700000.0,13,19
2025-09-25,303700000.0,308600000.0,300050000.0,6,7
2025-09-26,293500000.0,308450000.0,276400000.0,19,21
2025-09-27,312612765.96,325700000.0,307100000.0,37,47
2025-09-28,304923809.52,324500000.0,291400000.0,18,21
2025-09-29,309483333.33,310000000.0,291800000.0,19,24
2025-09-30,315596153.85,327000000.0,294100000.0,18,26
2025-10-01,321671428.57,326300000.0,294200000.0,7,7
2025-10-02,298320833.33,321350000.0,294000000.0,18,24
2025-10-03,296256250.0,299700000.0,278700000.0,15,16
2025-10-04,288134782.61,299000000.0,278150000.0,19,23
2025-10-05,289122222.22,298900000.0,276900000.0,9,9
2025-10-06,279131578.95,297350000.0,276000000.0,17,19
2025-10-07,281976923.08,290000000.0,258600000.0,10,13
2025-10-08,274891666.67,283600000.0,260100000.0,11,12
2025-10-09,279345454.55,284000000.0,261850000.0,20,22
2025-10-10,283025000.0,288000000.0,262900000.0,16,16
2025-10-11,302006000.0,320600000.0,290500000.0,41,50
2025-10-12,299483333.33,323550000.0,266200000.0,21,24
2025-10-13,318671428.57,323600000.0,283800000.0,32,35
2025-10-14,317110000.0,325000000.0,305900000.0,15,20
2025-10-15,302068000.0,319900000.0,284400000.0,24,25
2025-10-16,292542857.14,299500000.0,283100000.0,7,7
2025-10-17,268217391.3,279900000.0,257700000.0,19,23
2025-10-18,293634285.71,300000000.0,284000000.0,31,35
2025-10-19,280793750.0,300250000.0,260300000.0,16,16
2025-10-20,290375000.0,299400000.0,263300000.0,9,12
2025-10-21,298484375.0,300400000.0,294900000.0,24,32
2025-10-22,297920000.0,303600000.0,276750000.0,9,10
2025-10-23,285060000.0,301900000.0,268100000.0,8,10
2025-10-24,284900000.0,300100000.0,269700000.0,4,4
2025-10-25,280328571.43,292250000.0,279000000.0,7,7
2025-10-26,270858064.52,274500000.0,269700000.0,29,31
2025-10-27,270800000.0,274450000.0,260050000.0,8,8
2025-10-28,259907692.31,266500000.0,257600000.0,10,13
2025-10-29,233694736.84,249900000.0,216200000.0,15,19
2025-10-30,234850000.0,237000000.0,217800000.0,13,16
2025-10-31,250037500.0,267650000.0,248800000.0,25,32
2025-11-01,284370588.24,299200000.0,278500000.0,17,34
2025-11-02,265535000.0,289600000.0,248800000.0,19,20
2025-11-03,258385714.29,269000000.0,257600000.0,12,14
2025-11-04,258157142.86,259800000.0,255600000.0,13,14
2025-11-05,256870370.37,268000000.0,252550000.0,19,27
2025-11-06,244556250.0,248950000.0,233650000.0,34,48
2025-11-07,244082352.94,249000000.0,233500000.0,13,17
2025-11-08,238518181.82,247700000.0,219450000.0,29,33
2025-11-09,240917857.14,247600000.0,239900000.0,24,28
2025-11-10,235363636.36,244950000.0,223500000.0,20,22
2025-11-11,237759259.26,244900000.0,223900000.0,25,27
