date,average,highest,lowest,order_count,volume
2025-05-21,206033333.33,230200000.0,198650000.0,8,9
2025-05-22,230600000.0,230600000.0,230600000.0,1,1
2025-05-23,184450000.0,184600000.0,184300000.0,2,2
2025-05-24,210614285.71,230250000.0,184400000.0,6,7
2025-05-25,184000000.0,184000000.0,184000000.0,1,1
2025-05-26,222900000.0,222900000.0,222900000.0,1,1
2025-05-27,206442857.14,222800000.0,185000000.0,7,7
2025-05-28,221940000.0,222950000.0,221900000.0,5,5
2025-05-29,216666666.67,233850000.0,182300000.0,3,3
2025-05-30,210750000.0,237600000.0,183900000.0,2,2
2025-05-31,236533333.33,236600000.0,236500000.0,3,3
2025-06-01,237333333.33,237700000.0,236600000.0,3,3
2025-06-02,238950000.0,239000000.0,238900000.0,2,2
2025-06-03,248766666.67,271000000.0,220700000.0,9,9
2025-06-04,268000000.0,288500000.0,236100000.0,7,7
2025-06-05,260077777.78,299900000.0,188800000.0,7,9
2025-06-06,283500000.0,330000000.0,190500000.0,3,3
2025-06-07,270000000.0,270000000.0,270000000.0,1,1
2025-06-08,269000000.0,269000000.0,269000000.0,2,2
2025-06-09,244433333.33,268950000.0,195400000.0,3,3
2025-06-10,344800000.0,344800000.0,344800000.0,1,1
2025-06-12,225000000.0,225000000.0,225000000.0,1,1
2025-06-13,250625000.0,326900000.0,225100000.0,4,4
2025-06-15,321900000.0,321900000.0,321900000.0,1,1
2025-06-17,269750000.0,292800000.0,206700000.0,4,4
2025-06-18,276344444.44,285050000.0,207300000.0,6,9
2025-06-20,212300000.0,212300000.0,212300000.0,1,1
2025-06-21,212800000.0,212800000.0,212800000.0,1,1
2025-06-22,229433333.33,268100000.0,210100000.0,3,3
2025-06-23,262950000.0,263000000.0,262900000.0,2,2
2025-06-25,197000000.0,197000000.0,197000000.0,1,1
2025-06-27,199000000.0,199100000.0,198900000.0,2,2
2025-06-29,246100000.0,246100000.0,246100000.0,1,1
2025-06-30,199050000.0,199100000.0,199000000.0,2,2
2025-07-01,199000000.0,199000000.0,199000000.0,1,1
2025-07-02,235800000.0,235800000.0,235800000.0,1,1
2025-07-04,193800000.0,193800000.0,193800000.0,1,1
2025-07-05,210316666.67,225000000.0,193800000.0,5,6
2025-07-07,217800000.0,217800000.0,217800000.0,1,1
2025-07-08,182300000.0,182300000.0,182300000.0,1,1
2025-07-09,217014285.71,217100000.0,216900000.0,6,7
2025-07-10,182600000.0,182600000.0,182600000.0,1,1
2025-07-11,182500000.0,182500000.0,182500000.0,1,1
2025-07-12,197800000.0,213300000.0,182300000.0,2,2
2025-07-13,197500000.0,212700000.0,182300000.0,2,2
2025-07-14,182200000.0,182300000.0,181900000.0,2,4
2025-07-15,126300000.0,126300000.0,126300000.0,1,1
2025-07-17,164609090.91,195950000.0,126800000.0,10,11
2025-07-19,195480000.0,195700000.0,195150000.0,4,5
2025-07-20,189900000.0,189900000.0,189900000.0,1,1
2025-07-22,85520000.0,85520000.0,85520000.0,1,1
2025-07-23,174400000.0,174400000.0,174400000.0,1,1
2025-07-24,174200000.0,174300000.0,174100000.0,2,2
2025-07-25,173600000.0,173600000.0,173600000.0,1,1
2025-07-26,173900000.0,173900000.0,173900000.0,1,1
2025-07-29,87225000.0,87300000.0,87150000.0,2,2
2025-07-30,87420000.0,87420000.0,87420000.0,1,1
2025-07-31,146800000.0,146800000.0,146800000.0,1,1
2025-08-01,146350000.0,146400000.0,146300000.0,2,2
2025-08-02,145950000.0,146000000.0,145900000.0,2,2
2025-08-03,119250000.0,134900000.0,87950000.0,3,3
2025-08-04,116904000.0,138900000.0,88310000.0,4,5
2025-08-05,128900000.0,128900000.0,128900000.0,1,1
2025-08-06,144754545.45,168000000.0,138200000.0,10,11
2025-08-07,168150000.0,168200000.0,168100000.0,2,2
2025-08-09,158783333.33,168200000.0,139950000.0,3,6
2025-08-11,89470000.0,89470000.0,89470000.0,1,1
2025-08-12,149258000.0,164200000.0,89590000.0,3,5
2025-08-13,163900000.0,163900000.0,163900000.0,1,1
2025-08-14,163900000.0,163900000.0,163900000.0,1,1
2025-08-15,164700000.0,166650000.0,163900000.0,6,7
2025-08-16,168420000.0,168700000.0,168350000.0,3,5
2025-08-17,165300000.0,169800000.0,160800000.0,2,2
2025-08-19,150182500.0,169800000.0,91330000.0,4,4
2025-08-23,169375000.0,169800000.0,168000000.0,3,4
2025-08-24,170816666.67,172450000.0,170000000.0,6,6
2025-08-25,179925000.0,185050000.0,174800000.0,4,4
2025-08-26,93330000.0,93330000.0,93330000.0,1,1
2025-08-27,170000000.0,170000000.0,170000000.0,1,1
2025-08-29,93780000.0,93780000.0,93780000.0,1,1
2025-08-31,94450000.0,94450000.0,94450000.0,1,1
2025-09-01,94670000.0,94670000.0,94670000.0,1,2
2025-09-03,184700000.0,184700000.0,184700000.0,1,1
2025-09-04,160000000.0,160000000.0,160000000.0,1,1
2025-09-07,183000000.0,183000000.0,183000000.0,1,1
