date,average,highest,lowest,order_count,volume
2025-05-21,400000000.0,400000000.0,400000000.0,1,1
2025-05-22,396266666.67,398900000.0,394950000.0,3,3
2025-05-23,389425000.0,397700000.0,364700000.0,4,4
2025-05-24,396650000.0,396700000.0,396600000.0,2,2
2025-05-25,399175000.0,403400000.0,397700000.0,4,4
2025-05-26,393850000.0,402900000.0,367500000.0,4,4
2025-05-27,383725000.0,401350000.0,366100000.0,4,4
2025-05-28,371125000.0,395000000.0,364900000.0,4,4
2025-05-29,383733333.33,394800000.0,361600000.0,3,3
2025-05-30,391481818.18,399400000.0,362150000.0,11,11
2025-05-31,402000000.0,402000000.0,402000000.0,3,6
2025-06-01,386966666.67,400250000.0,361100000.0,9,9
2025-06-02,386266666.67,398850000.0,361100000.0,3,3
2025-06-03,392480000.0,399750000.0,361300000.0,5,5
2025-06-04,381783333.33,401800000.0,362000000.0,6,6
2025-06-05,403325000.0,408700000.0,401450000.0,8,8
2025-06-06,377833333.33,409600000.0,361950000.0,3,3
2025-06-07,398283333.33,408800000.0,362500000.0,6,6
2025-06-08,406800000.0,408600000.0,405000000.0,2,2
2025-06-09,405000000.0,405000000.0,405000000.0,1,1
2025-06-10,395560000.0,403000000.0,364900000.0,5,5
2025-06-12,404866666.67,405100000.0,404750000.0,3,3
2025-06-13,391000000.0,408000000.0,369800000.0,8,9
2025-06-14,404778571.43,408300000.0,361200000.0,10,14
2025-06-15,408733333.33,408850000.0,408500000.0,3,3
2025-06-16,409466666.67,410100000.0,409150000.0,4,6
2025-06-17,410200000.0,410200000.0,410200000.0,1,1
2025-06-18,363750000.0,364100000.0,363400000.0,2,2
2025-06-19,416683333.33,416700000.0,416600000.0,5,6
2025-06-20,414240000.0,417750000.0,400700000.0,5,5
2025-06-21,418012500.0,418100000.0,417950000.0,4,8
2025-06-22,392850000.0,417600000.0,368100000.0,2,2
2025-06-23,386560000.0,414700000.0,367800000.0,4,5
2025-06-24,408633333.33,414400000.0,363200000.0,9,9
2025-06-25,377275000.0,414300000.0,365000000.0,4,4
2025-06-26,414628571.43,414700000.0,414350000.0,7,7
2025-06-27,401300000.0,415500000.0,363600000.0,4,4
2025-06-28,403620000.0,413050000.0,366000000.0,5,5
2025-06-29,397137500.0,415700000.0,366200000.0,6,8
2025-06-30,415200000.0,415200000.0,415200000.0,1,1
2025-07-01,414966666.67,415000000.0,414900000.0,3,3
2025-07-02,366200000.0,366200000.0,366200000.0,1,1
2025-07-03,390275000.0,398000000.0,366200000.0,3,4
2025-07-04,398733333.33,398950000.0,398300000.0,3,3
2025-07-05,377300000.0,400000000.0,365950000.0,3,3
2025-07-06,399740000.0,399800000.0,399650000.0,5,5
2025-07-07,373500000.0,394950000.0,361550000.0,6,6
2025-07-08,399453333.33,399800000.0,397200000.0,5,15
2025-07-09,399800000.0,399800000.0,399800000.0,2,2
2025-07-10,386360000.0,394950000.0,351000000.0,5,5
2025-07-11,366533333.33,399500000.0,350050000.0,3,3
2025-07-12,348062500.0,399600000.0,331100000.0,8,8
2025-07-14,396400000.0,396400000.0,396400000.0,2,2
2025-07-15,384533333.33,397100000.0,341200000.0,9,9
2025-07-16,376800000.0,397500000.0,342500000.0,6,7
2025-07-17,394500000.0,394500000.0,394500000.0,1,1
2025-07-18,353975000.0,383400000.0,344200000.0,4,4
2025-07-20,381760000.0,382550000.0,378500000.0,5,5
2025-07-21,364985714.29,379650000.0,345600000.0,7,7
2025-07-22,379300000.0,379300000.0,379300000.0,1,1
2025-07-23,388075000.0,396500000.0,383600000.0,8,8
2025-07-24,380533333.33,396550000.0,348500000.0,3,3
2025-07-25,397600000.0,399800000.0,396500000.0,9,9
2025-07-26,374700000.0,399750000.0,349650000.0,4,4
2025-07-27,392171428.57,399000000.0,349800000.0,7,7
2025-07-28,399800000.0,399800000.0,399800000.0,2,6
2025-07-30,399700000.0,399700000.0,399700000.0,1,1
2025-07-31,370000000.0,370000000.0,370000000.0,1,1
2025-08-01,364266666.67,368500000.0,355800000.0,3,3
2025-08-02,393700000.0,393700000.0,393700000.0,1,1
2025-08-03,399557142.86,399800000.0,399400000.0,6,7
2025-08-04,413900000.0,413900000.0,413900000.0,1,1
2025-08-05,416080000.0,417650000.0,415100000.0,5,5
2025-08-07,397285714.29,417600000.0,370000000.0,6,7
2025-08-08,371900000.0,371900000.0,371900000.0,2,2
2025-08-09,413000000.0,413050000.0,412950000.0,3,3
2025-08-10,412325000.0,414700000.0,409950000.0,4,4
2025-08-11,404500000.0,404500000.0,404500000.0,1,1
2025-08-12,406912500.0,417450000.0,375650000.0,8,8
2025-08-13,375590000.0,376000000.0,369250000.0,10,10
2025-08-14,414850000.0,414900000.0,414800000.0,2,2
2025-08-15,413300000.0,413300000.0,413300000.0,1,1
2025-08-16,394600000.0,413700000.0,347150000.0,7,7
2025-08-17,399530000.0,414600000.0,348600000.0,9,10
2025-08-18,414800000.0,414900000.0,414700000.0,2,2
2025-08-19,417700000.0,417800000.0,417600000.0,3,5
2025-08-20,400000000.0,400000000.0,400000000.0,1,1
2025-08-22,409900000.0,409900000.0,409900000.0,1,1
2025-08-23,410000000.0,410000000.0,410000000.0,3,3
2025-08-24,415233333.33,417850000.0,410000000.0,3,3
2025-08-25,405000000.0,405000000.0,405000000.0,2,2
2025-08-26,409300000.0,418000000.0,374200000.0,6,6
2025-08-27,374550000.0,375100000.0,374000000.0,2,2
2025-08-28,459875000.0,515400000.0,404350000.0,4,4
2025-08-29,379300000.0,379300000.0,379300000.0,1,1
2025-08-31,490525000.0,524800000.0,389000000.0,4,4
2025-09-01,523700000.0,523700000.0,523700000.0,2,2
2025-09-03,522566666.67,523800000.0,521950000.0,3,3
2025-09-04,527700000.0,527700000.0,527700000.0,1,1
2025-09-05,527200000.0,527700000.0,526950000.0,3,3
2025-09-06,449440000.0,507100000.0,411000000.0,5,5
2025-09-08,507500000.0,524800000.0,490200000.0,2,2
2025-09-09,424200000.0,424200000.0,424200000.0,1,1
2025-09-11,499600000.0,499600000.0,499600000.0,1,1
2025-09-12,466249999.98,499800000.0,432699999.96,2,2
2025-09-13,499150000.0,499400000.0,498900000.0,2,2
2025-09-14,455000000.0,487300000.0,438850000.0,3,3
2025-09-15,467080000.0,484900000.0,440550000.0,5,5
2025-09-16,484700000.0,484800000.0,484600000.0,2,2
2025-09-17,510905263.16,526200000.0,489400000.0,16,19
2025-09-18,444450000.0,444500000.0,444400000.0,2,2
2025-09-19,527366666.67,527700000.0,527000000.0,5,6
2025-09-21,455200000.0,455200000.0,455200000.0,1,1
2025-09-22,503625000.0,531000000.0,476250000.0,3,4
2025-09-23,531300000.0,531900000.0,531000000.0,2,3
2025-09-24,506209090.91,541000000.0,460400000.0,10,11
2025-09-26,461300000.0,461300000.0,461300000.0,1,1
2025-09-27,553025000.0,580100000.0,462700000.0,4,4
2025-09-28,547500000.0,568850000.0,464850000.0,8,8
2025-09-30,563500000.0,563500000.0,563500000.0,1,1
2025-10-01,537300000.0,560000000.0,466100000.0,4,4
2025-10-02,560250000.0,569900000.0,550600000.0,2,2
2025-10-03,550000000.0,550000000.0,550000000.0,1,1
2025-10-04,520900000.0,568500000.0,473300000.0,2,2
2025-10-06,505200000.0,565300000.0,475150000.0,3,3
2025-10-07,535166666.67,562800000.0,479900000.0,3,3
2025-10-08,517500000.0,561000000.0,480850000.0,11,11
2025-10-09,542680000.0,559950000.0,473700000.0,5,5
2025-10-10,560200000.0,560500000.0,559900000.0,3,3
2025-10-11,559950000.0,561900000.0,550000000.0,5,6
2025-10-12,478800000.0,478800000.0,478800000.0,1,1
2025-10-13,564400000.0,564400000.0,564400000.0,1,1
2025-10-14,477966666.67,478100000.0,477900000.0,3,3
2025-10-15,560700000.0,560700000.0,560700000.0,1,1
2025-10-16,523260000.0,549900000.0,478450000.0,5,5
2025-10-18,487400000.0,487400000.0,487400000.0,1,1
2025-10-19,486650000.0,486700000.0,486600000.0,2,2
2025-10-20,500350000.0,513500000.0,487200000.0,2,2
2025-10-21,487100000.0,487100000.0,487100000.0,1,1
2025-10-22,486950000.0,487000000.0,486900000.0,2,2
2025-10-23,502800000.0,508200000.0,486500000.0,4,4
2025-10-24,478200000.0,478400000.0,478000000.0,2,2
2025-10-26,429700000.0,429700000.0,429700000.0,1,1
2025-10-27,445800000.0,492200000.0,430300000.0,4,4
2025-10-28,470233333.33,490100000.0,430500000.0,3,3
2025-10-29,432300000.0,432300000.0,432300000.0,1,1
2025-10-30,435842857.14,476750000.0,429000000.0,7,7
2025-10-31,366845000.0,475700000.0,41880000.0,4,4
2025-11-01,475650000.0,475750000.0,475550000.0,4,4
2025-11-02,476350000.0,476800000.0,475900000.0,2,2
2025-11-03,456600000.0,479250000.0,353250000.0,10,10
2025-11-04,450950000.0,490000000.0,437900000.0,4,4
2025-11-05,490025000.0,490200000.0,490000000.0,3,4
2025-11-06,359400000.0,359450000.0,359350000.0,3,3
2025-11-07,488763636.36,490000000.0,484900000.0,8,11
2025-11-09,493950000.0,494000000.0,493900000.0,2,2
2025-11-10,488500000.0,492000000.0,485000000.0,2,2
2025-11-11,405950000.0,406000000.0,405900000.0,2,2
2025-11-12,480500000.0,480500000.0,480500000.0,1,1
2025-11-13,450614285.71,480650000.0,411000000.0,7,7
2025-11-14,480900000.0,480900000.0,480900000.0,1,1
