date,average,highest,lowest,order_count,volume
2025-05-20,297483333.33,308450000.0,275550000.0,6,6
2025-05-21,295672727.27,306500000.0,276350000.0,11,11
2025-05-22,300760000.0,306600000.0,277900000.0,5,5
2025-05-23,287925000.0,290400000.0,280500000.0,8,8
2025-05-24,288785714.29,290150000.0,280600000.0,7,7
2025-05-25,292569230.77,307100000.0,281150000.0,12,13
2025-05-26,294350000.0,306900000.0,281800000.0,8,8
2025-05-27,282100000.0,282100000.0,282100000.0,2,2
2025-05-28,284475000.0,291900000.0,278200000.0,12,12
2025-05-29,282500000.0,291150000.0,264900000.0,9,9
2025-05-30,285770000.0,290900000.0,284900000.0,10,10
2025-05-31,280692307.69,290150000.0,265500000.0,13,13
2025-06-01,286200000.0,289450000.0,266500000.0,7,7
2025-06-02,285785714.29,288850000.0,267300000.0,7,7
2025-06-03,288800000.0,289000000.0,288000000.0,5,5
2025-06-04,277000000.0,286000000.0,268000000.0,2,2
2025-06-05,281320000.0,289700000.0,268650000.0,5,5
2025-06-06,277716666.67,282050000.0,269050000.0,6,6
2025-06-07,269930000.0,288300000.0,268950000.0,10,10
2025-06-08,273200000.0,287300000.0,209350000.0,11,11
2025-06-09,271760000.0,287450000.0,211300000.0,5,5
2025-06-10,287887500.0,288600000.0,287000000.0,8,8
2025-06-11,254800000.0,287200000.0,222400000.0,4,4
2025-06-12,284020000.0,286700000.0,279950000.0,5,5
2025-06-13,256227272.73,278600000.0,236850000.0,10,11
2025-06-14,252585714.29,264400000.0,244150000.0,7,7
2025-06-15,256316666.67,264500000.0,245100000.0,6,6
2025-06-16,253066666.67,266000000.0,246600000.0,3,3
2025-06-17,249275000.0,268400000.0,246500000.0,7,8
2025-06-18,256330000.0,267400000.0,246600000.0,10,10
2025-06-19,267233333.33,267400000.0,267150000.0,3,3
2025-06-20,268536363.64,269800000.0,263900000.0,10,11
2025-06-21,261842857.14,275950000.0,242900000.0,7,7
2025-06-22,273900000.0,286000000.0,243850000.0,7,7
2025-06-23,276000000.0,286050000.0,249600000.0,11,11
2025-06-24,265685714.29,286400000.0,250050000.0,7,7
2025-06-25,268749999.97,286000000.0,251499999.93,2,2
2025-06-26,284200000.0,284400000.0,284100000.0,3,3
2025-06-27,269960000.0,284000000.0,256500000.0,9,10
2025-06-28,265466666.67,283100000.0,256650000.0,6,6
2025-06-29,260942857.14,282900000.0,257750000.0,7,7
2025-06-30,266300000.0,279000000.0,259950000.0,3,3
2025-07-01,244581818.18,258250000.0,217200000.0,9,11
2025-07-02,240847826.09,258350000.0,216900000.0,17,23
2025-07-03,243966666.67,258000000.0,216400000.0,6,6
2025-07-04,238200000.0,256150000.0,220250000.0,4,4
2025-07-05,254300000.0,254800000.0,254000000.0,6,6
2025-07-06,234933333.33,255000000.0,224900000.0,3,3
2025-07-07,231227777.78,244950000.0,225450000.0,18,18
2025-07-08,253211111.11,257650000.0,244900000.0,9,9
2025-07-09,278900000.0,279800000.0,278000000.0,2,2
2025-07-10,277064285.71,286000000.0,255300000.0,13,14
2025-07-11,279533333.33,286500000.0,223100000.0,9,9
2025-07-12,268522222.22,290300000.0,226000000.0,9,9
2025-07-13,284690000.0,291000000.0,227700000.0,9,10
2025-07-14,279112500.0,294300000.0,231550000.0,8,8
2025-07-15,290975000.0,307300000.0,242200000.0,4,4
2025-07-16,287300000.0,306700000.0,248500000.0,3,3
2025-07-17,292775000.0,306700000.0,251000000.0,4,4
2025-07-18,306450000.0,306500000.0,306400000.0,2,2
2025-07-19,291533333.33,306800000.0,261000000.0,3,3
2025-07-20,289940000.0,306600000.0,265000000.0,5,5
2025-07-21,296630769.23,306800000.0,274350000.0,11,13
2025-07-22,291550000.0,307300000.0,275800000.0,2,2
2025-07-23,290800000.0,305000000.0,276600000.0,6,6
2025-07-24,290762500.0,304900000.0,276650000.0,7,8
2025-07-25,277800000.0,277800000.0,277800000.0,1,1
2025-07-26,287800000.0,287800000.0,287800000.0,1,1
2025-07-27,280033333.33,285400000.0,277950000.0,9,9
2025-07-28,283014285.71,284350000.0,274900000.0,7,7
2025-07-29,271657142.86,284250000.0,255000000.0,7,7
2025-07-30,255550000.0,256100000.0,255000000.0,2,2
2025-07-31,268100000.0,283100000.0,258000000.0,5,5
2025-08-01,279285714.29,282850000.0,258100000.0,7,7
2025-08-02,274133333.33,281850000.0,258700000.0,3,3
2025-08-03,273142857.14,277500000.0,258550000.0,7,7
2025-08-04,269075000.0,276100000.0,256200000.0,8,8
2025-08-05,259550000.0,270000000.0,256100000.0,4,4
2025-08-06,274571428.57,280950000.0,262000000.0,14,14
2025-08-07,270900000.0,280900000.0,256300000.0,5,5
2025-08-08,274150000.0,280200000.0,256200000.0,4,4
2025-08-09,267750000.0,278500000.0,257000000.0,2,2
2025-08-10,267500000.0,278400000.0,256800000.0,6,6
2025-08-11,270800000.0,278100000.0,256200000.0,3,3
2025-08-12,262140000.0,273050000.0,254300000.0,5,5
2025-08-13,263925000.0,269600000.0,246900000.0,4,4
2025-08-14,264860000.0,269250000.0,247200000.0,5,5
2025-08-15,263600000.0,269200000.0,246900000.0,4,4
2025-08-16,269300000.0,269400000.0,269200000.0,6,6
2025-08-17,268262500.0,269850000.0,257150000.0,8,8
2025-08-18,264500000.0,272650000.0,248200000.0,3,3
2025-08-19,272585714.29,276650000.0,248300000.0,7,7
2025-08-20,276460000.0,276800000.0,275950000.0,5,5
2025-08-21,275800000.0,276400000.0,274600000.0,3,3
2025-08-22,272250000.0,275950000.0,269850000.0,7,8
2025-08-23,270300000.0,277400000.0,250100000.0,4,4
