date,average,highest,lowest,order_count,volume
2025-05-20,9637733.33,9900000.0,9375000.0,22,60
2025-05-21,9436777.78,9900000.0,9379000.0,13,18
2025-05-22,9900000.0,9900000.0,9900000.0,12,155
2025-05-23,9513530.3,9900000.0,9380000.0,23,66
2025-05-24,9382500.0,9900000.0,9381000.0,38,130
2025-05-25,9383000.0,9391000.0,9380000.0,29,119
2025-05-26,9550953.85,9900000.0,9384000.0,21,65
2025-05-27,9616815.38,9900000.0,9373000.0,17,65
2025-05-28,9413141.03,9900000.0,9373000.0,27,78
2025-05-29,9592583.33,9900000.0,9373000.0,19,48
2025-05-30,9530138.89,9900000.0,9375000.0,17,36
2025-05-31,9900000.0,9900000.0,9900000.0,28,121
2025-06-01,9382000.0,9900000.0,9375000.0,38,132
2025-06-02,9549809.52,9900000.0,9375000.0,19,63
2025-06-03,9593607.14,9900000.0,9375000.0,26,84
2025-06-04,9625215.91,9900000.0,9375000.0,23,88
2025-06-05,9586968.75,9900000.0,9373000.0,27,96
2025-06-06,9433225.81,9541000.0,9373000.0,13,31
2025-06-07,9900000.0,9900000.0,9900000.0,24,121
2025-06-08,9900000.0,9900000.0,9900000.0,18,175
2025-06-09,9556396.23,9900000.0,9375000.0,20,53
2025-06-10,9688687.5,9900000.0,9375000.0,17,64
2025-06-11,9637500.0,9900000.0,9375000.0,15,42
2025-06-12,9411068.97,9900000.0,9375000.0,21,58
2025-06-13,9259140.63,9375000.0,9202000.0,14,64
2025-06-14,9087967.21,9900000.0,8999000.0,16,61
2025-06-15,9542000.0,9900000.0,9167500.0,24,154
2025-06-16,8108376.81,9900000.0,7321000.0,21,69
2025-06-17,7929142.86,9900000.0,7341000.0,19,56
2025-06-18,7349000.0,7349000.0,7348000.0,14,32
2025-06-19,9900000.0,9900000.0,9900000.0,31,406
2025-06-20,9461292.13,9900000.0,7372000.0,17,89
2025-06-21,8733132.08,9900000.0,7375000.0,14,53
2025-06-22,9900000.0,9900000.0,9900000.0,16,118
2025-06-23,8079526.88,9900000.0,7404000.0,24,93
2025-06-24,8256357.14,9900000.0,7412000.0,22,56
2025-06-25,7891075.47,9900000.0,7424000.0,16,53
2025-06-26,8563833.33,9900000.0,7434000.0,10,24
2025-06-27,9540000.0,9900000.0,7450000.0,23,115
2025-06-28,8792303.37,9900000.0,7456000.0,21,89
2025-06-29,9472000.0,9900000.0,7469000.0,35,131
2025-06-30,9332452.38,9900000.0,7469000.0,13,42
2025-07-01,9009492.54,9900000.0,7491500.0,17,67
2025-07-02,8580114.29,9900000.0,7504000.0,13,35
2025-07-03,9506242.42,9900000.0,7514000.0,13,33
2025-07-04,8767645.83,9900000.0,7527000.0,16,48
2025-07-05,9900000.0,9900000.0,9900000.0,20,131
2025-07-06,8894640.0,9900000.0,7581000.0,19,75
2025-07-07,8579695.65,9900000.0,7592000.0,19,46
2025-07-08,9449272.73,9900000.0,8502000.0,10,22
2025-07-09,8402375.0,9900000.0,7606000.0,17,72
2025-07-10,9900000.0,9900000.0,9900000.0,25,119
2025-07-11,9616612.24,9900000.0,9205000.0,16,49
2025-07-12,9487536.59,9900000.0,9202000.0,21,82
2025-07-13,9900000.0,9900000.0,9900000.0,34,152
2025-07-14,9589819.15,9900000.0,9206000.0,20,94
2025-07-15,9436197.18,9541000.0,9206000.0,16,71
2025-07-16,9206000.0,9900000.0,9205000.0,25,101
2025-07-17,9229226.42,9540000.0,9203000.0,19,53
2025-07-18,9627297.3,9900000.0,9205000.0,13,37
2025-07-19,9435800.0,9540000.0,9205000.0,18,65
2025-07-20,9391208.79,9900000.0,9209000.0,26,91
2025-07-21,9900000.0,9900000.0,9900000.0,20,116
2025-07-22,9707777.78,9900000.0,9211000.0,16,99
2025-07-23,9577437.5,9900000.0,9212000.0,13,32
2025-07-24,9450150.68,9900000.0,9210000.0,18,73
2025-07-25,9441554.05,9900000.0,9211000.0,20,74
2025-07-26,9566910.71,9900000.0,9210000.0,18,56
2025-07-27,9900000.0,9900000.0,9900000.0,21,184
2025-07-28,9317772.15,9900000.0,9211000.0,21,79
2025-07-29,9275854.16,9900000.0,9203000.0,15,48
2025-07-30,9436375.0,9900000.0,9205000.0,14,48
2025-07-31,9560033.71,9900000.0,9377000.0,25,89
2025-08-01,9543560.0,9900000.0,9215000.0,10,25
2025-08-02,9336597.4,9900000.0,9213000.0,22,77
2025-08-03,9490000.0,9900000.0,9203000.0,17,61
2025-08-04,8003000.0,9900000.0,8003000.0,30,107
2025-08-05,9134483.87,9900000.0,8002000.0,20,62
2025-08-06,8191650.0,9900000.0,8002000.0,11,20
2025-08-07,9580084.51,9900000.0,8007000.0,13,71
2025-08-08,8825953.49,9900000.0,8015000.0,30,86
2025-08-09,9281869.57,9900000.0,9203000.0,13,23
2025-08-10,9349000.0,9900000.0,9205000.0,18,29
2025-08-11,9510781.82,9900000.0,9209000.0,20,55
2025-08-12,9900000.0,9900000.0,9900000.0,19,136
2025-08-13,9689548.39,9900000.0,9214000.0,15,62
2025-08-14,9790480.0,9900000.0,9216000.0,6,25
2025-08-15,9615254.24,9900000.0,9217000.0,19,59
2025-08-16,9491216.67,9900000.0,9218500.0,20,60
2025-08-17,9341114.28,9900000.0,9220000.0,21,35
2025-08-18,9448595.24,9900000.0,9223000.0,15,42
2025-08-19,9333160.0,9900000.0,9225000.0,21,50
2025-08-20,9463298.25,9900000.0,9227000.0,23,57
2025-08-21,9651555.56,9900000.0,9229500.0,18,81
2025-08-22,9539153.85,9900000.0,9230000.0,16,65
2025-08-23,9541878.05,9900000.0,9233000.0,20,82
2025-08-24,9233000.0,9233000.0,9208000.0,18,101
2025-08-25,9473980.77,9900000.0,9205000.0,20,52
2025-08-26,9560133.33,9900000.0,9205000.0,14,45
2025-08-27,9432672.41,9900000.0,9205000.0,26,58
2025-08-28,9276205.13,9900000.0,9205000.0,17,39
2025-08-29,9621857.14,9900000.0,9205000.0,18,70
2025-08-30,9582285.71,9900000.0,9205000.0,14,35
2025-08-31,9236164.18,9900000.0,9205000.0,16,67
2025-09-01,9401037.74,9900000.0,9204000.0,20,53
2025-09-02,9362015.15,9900000.0,9204000.0,20,66
2025-09-03,9420466.67,9900000.0,9204000.0,13,45
2025-09-04,9900000.0,9900000.0,9900000.0,20,114
2025-09-05,9900000.0,9900000.0,9900000.0,14,101
2025-09-06,9552133.33,9900000.0,9204000.0,25,60
2025-09-07,9482428.57,9900000.0,9204000.0,14,35
2025-09-08,9203000.0,9205000.0,9202000.0,27,138
2025-09-09,9601285.71,9900000.0,9203000.0,17,70
2025-09-10,9528838.71,9900000.0,9203000.0,21,62
2025-09-11,9567444.44,9900000.0,9204000.0,21,72
2025-09-12,9205000.0,9205000.0,9205000.0,27,122
2025-09-13,9205000.0,9205000.0,9205000.0,33,139
2025-09-14,9900000.0,9900000.0,9900000.0,14,268
2025-09-15,9382790.7,9900000.0,9205000.0,16,43
2025-09-16,9473477.27,9900000.0,9205000.0,21,88
2025-09-17,8872581.4,9205000.0,8009000.0,16,86
2025-09-18,9385229.17,9900000.0,9202000.0,20,96
2025-09-19,9638708.33,9900000.0,9203000.0,11,24
2025-09-20,9385901.64,9900000.0,9203000.0,23,61
2025-09-21,9443028.57,9900000.0,9205000.0,20,35
2025-09-22,9351761.9,9900000.0,9205000.0,21,63
2025-09-23,9341746.48,9900000.0,9205000.0,11,71
2025-09-24,9449243.24,9900000.0,9206000.0,13,37
2025-09-25,9900000.0,9900000.0,9900000.0,18,121
2025-09-26,9850357.14,9900000.0,9205000.0,12,42
2025-09-27,9313858.97,9900000.0,9207000.0,25,78
2025-09-28,9538014.49,9900000.0,9207000.0,19,69
2025-09-29,9574151.52,9900000.0,9207000.0,20,66
2025-09-30,9495083.33,9900000.0,9206000.0,16,48
2025-10-01,9479894.73,9900000.0,9206000.0,16,38
2025-10-02,9750455.7,9900000.0,9205000.0,16,79
2025-10-03,9438700.0,9900000.0,9205000.0,19,50
2025-10-04,9703116.67,9900000.0,9205000.0,15,60
2025-10-05,9596549.45,9900000.0,9209000.0,20,91
2025-10-06,9634183.33,9900000.0,9211000.0,16,60
2025-10-07,9264865.67,9900000.0,9213000.0,23,67
2025-10-08,9518814.81,9900000.0,9213000.0,13,27
2025-10-09,9467975.61,9900000.0,9219000.0,19,41
2025-10-10,9482105.26,9900000.0,9219000.0,19,57
2025-10-11,9544857.14,9900000.0,9221000.0,9,35
2025-10-12,9719880.0,9900000.0,9225000.0,23,75
2025-10-13,9504113.21,9900000.0,9223000.0,18,53
2025-10-14,9513142.86,9900000.0,9223000.0,12,35
2025-10-15,9317400.0,9900000.0,9223000.0,19,50
2025-10-16,9624953.13,9900000.0,9223000.0,16,64
2025-10-17,9271203.39,9400000.0,9222000.0,18,59
2025-10-18,9900000.0,9900000.0,9900000.0,16,160
2025-10-19,9555465.91,9900000.0,9400000.0,29,88
2025-10-20,9404681.82,9900000.0,9221000.0,11,22
2025-10-21,9795804.35,9900000.0,9301000.0,11,46
2025-10-22,9540500.0,9900000.0,9260500.0,14,64
2025-10-23,9464750.0,9900000.0,9223000.0,15,28
2025-10-24,9223000.0,9899999.98,9221000.0,32,115
2025-10-25,9595426.47,9900000.0,9222000.0,29,68
2025-10-26,9492875.0,9900000.0,9221000.0,18,40
2025-10-27,9410000.0,9900000.0,9227000.0,33,139
2025-10-28,9602914.63,9900000.0,9203000.0,25,82
2025-10-29,9304860.0,9900000.0,9208000.0,16,50
2025-10-30,9583827.16,9900000.0,9208000.0,18,81
2025-10-31,9475692.31,9900000.0,9210000.0,16,39
2025-11-01,9208000.0,9210000.0,9207000.0,30,111
2025-11-02,9503790.12,9900000.0,9205000.0,38,81
2025-11-03,9376698.11,9900000.0,9206000.0,20,53
2025-11-04,9206500.0,9900000.0,9205000.0,28,110
2025-11-05,9412866.67,9900000.0,9204000.0,20,30
2025-11-06,9466888.89,9900000.0,9204000.0,21,45
2025-11-07,9634328.77,9900000.0,9553000.0,23,73
2025-11-08,9318924.05,9900000.0,9203000.0,28,79
2025-11-09,9144351.85,9900000.0,8723000.0,25,54
2025-11-10,9411129.03,9549000.0,9208000.0,24,93
2025-11-11,9301282.35,9900000.0,9207000.0,35,85
2025-11-12,9204000.0,9205000.0,9203000.0,38,142
2025-11-13,9900000.0,9900000.0,9900000.0,24,142
2025-11-14,9401134.15,9552000.0,9209000.0,24,82
