date,average,highest,lowest,order_count,volume
2025-05-20,96890.0,289000.0,96890.0,32,117
2025-05-21,200000.0,240500.0,199800.0,24,194
2025-05-22,194000.0,194100.0,194000.0,19,215
2025-05-23,194100.0,194500.0,194100.0,24,263
2025-05-24,181999.39,193600.0,98020.0,10,33
2025-05-25,193600.0,193600.0,193600.0,18,362
2025-05-26,193700.0,193700.0,193700.0,26,273
2025-05-27,174700.0,174700.0,174700.0,13,588
2025-05-28,153174.86,174800.0,98240.0,12,35
2025-05-29,118138.0,157900.0,98260.0,10,30
2025-05-30,154500.0,154500.0,154500.0,26,449
2025-05-31,154100.0,154100.0,154100.0,25,127
2025-06-01,153700.0,153700.0,153700.0,25,1119
2025-06-02,138971.25,152450.0,98410.0,9,48
2025-06-03,152400.0,152500.0,151800.0,26,129
2025-06-04,133548.85,152000.0,98480.0,10,61
2025-06-05,136620.0,152000.0,98500.0,24,100
2025-06-06,151600.0,151600.0,151600.0,35,727
2025-06-07,152900.0,152900.0,152900.0,25,1170
2025-06-08,151500.0,152900.0,150000.0,28,272
2025-06-09,153900.0,154300.0,101700.0,24,121
2025-06-10,132930.0,152900.0,102050.0,32,60
2025-06-11,153000.0,153000.0,153000.0,32,181
2025-06-12,194800.0,293500.0,190100.0,31,1185
2025-06-13,364766.22,450100.0,103400.0,12,74
2025-06-14,103500.0,103500.0,103500.0,26,1470
2025-06-15,310822.54,374500.0,103600.0,22,71
2025-06-16,371100.0,371100.0,371000.0,32,185
2025-06-17,369500.0,369700.0,369500.0,12,156
2025-06-18,349700.0,349700.0,349600.0,31,161
2025-06-19,273917.14,348500.0,107000.0,13,70
2025-06-20,184455.56,282900.0,107700.0,18,36
2025-06-21,268329.82,280800.0,108400.0,18,57
2025-06-22,280700.0,281700.0,280200.0,35,1186
2025-06-23,278900.0,278900.0,278900.0,19,187
2025-06-24,277700.0,277800.0,276900.0,34,135
2025-06-25,276500.0,276500.0,276500.0,16,143
2025-06-26,239700.0,239700.0,239700.0,8,154
2025-06-27,239000.0,250000.0,238600.0,32,837
2025-06-28,275600.0,278500.0,275100.0,28,721
2025-06-29,278805.26,279300.0,278600.0,9,57
2025-06-30,232300.0,277900.0,113800.0,8,36
2025-07-01,114000.0,114000.0,114000.0,14,178
2025-07-02,241604.65,275600.0,114000.0,9,43
2025-07-03,274500.0,274800.0,274400.0,22,241
2025-07-04,277000.0,277000.0,277000.0,14,1119
2025-07-05,276600.0,276700.0,276500.0,21,283
2025-07-06,277000.0,277300.0,276700.0,25,1577
2025-07-07,447400.0,447400.0,447400.0,22,410
2025-07-08,299900.0,299900.0,299900.0,20,468
2025-07-09,423607.04,437100.0,116800.0,13,71
2025-07-10,400000.0,400000.0,400000.0,12,113
2025-07-11,341340.42,349800.0,1020.0,9,48
2025-07-12,346300.0,347100.0,345900.0,37,208
2025-07-13,316713.89,345900.0,289300.0,11,36
2025-07-14,248500.0,248500.0,248500.0,6,114
2025-07-15,246300.0,246300.0,246200.0,21,299
2025-07-16,242300.0,242550.0,242300.0,21,380
2025-07-17,288800.0,299000.0,248400.0,39,1102
2025-07-18,347500.0,347700.0,152300.0,33,425
2025-07-19,151100.0,348000.0,150700.0,14,401
2025-07-20,346800.0,346950.0,346800.0,15,107
2025-07-21,280747.96,346700.0,150100.0,23,49
2025-07-22,345000.0,345600.0,334000.0,17,263
2025-07-23,343529.63,343700.0,343400.0,3,27
2025-07-24,151000.0,151000.0,151000.0,26,721
2025-07-25,339200.0,339300.0,299800.0,17,345
2025-07-26,213006.45,338600.0,123100.0,8,31
2025-07-27,255200.0,255600.0,255100.0,25,691
2025-07-28,222300.0,222300.0,222300.0,12,614
2025-07-29,123200.0,248300.0,123000.0,17,431
2025-07-30,235100.0,244900.0,123300.0,11,84
2025-07-31,180448.91,199600.0,124000.0,17,92
2025-08-01,167905.26,193750.0,124000.0,8,19
2025-08-02,140000.0,150100.0,140000.0,22,351
2025-08-03,180000.0,180000.0,180000.0,14,267
2025-08-04,179600.0,179600.0,179600.0,39,860
2025-08-05,124100.0,124100.0,124100.0,13,126
2025-08-06,165000.0,165000.0,165000.0,23,1399
2025-08-07,114000.0,114000.0,114000.0,21,387
2025-08-08,169000.0,170000.0,169000.0,18,208
2025-08-09,179100.0,179100.0,179100.0,19,136
2025-08-10,179100.0,179100.0,179100.0,8,133
2025-08-11,180000.0,180000.0,179400.0,23,761
2025-08-12,168700.0,168700.0,168700.0,18,638
2025-08-13,164500.0,164600.0,124800.0,24,1003
2025-08-14,164400.0,164400.0,164400.0,8,216
2025-08-15,164300.0,186100.0,114000.0,29,1380
2025-08-16,186600.0,186600.0,186600.0,19,388
2025-08-17,323300.0,323300.0,323300.0,15,299
2025-08-18,114100.0,114100.0,114100.0,11,126
2025-08-19,319300.0,321300.0,318700.0,16,129
2025-08-20,275605.13,317500.0,114100.0,28,78
2025-08-21,114100.0,114200.0,114100.0,5,240
2025-08-22,277012.0,313400.0,114400.0,17,75
2025-08-23,245655.36,298000.0,114800.0,18,56
2025-08-24,294500.0,294600.0,294500.0,21,228
2025-08-25,1000.0,1000.0,1000.0,15,183
2025-08-26,199900.0,259500.0,199800.0,16,879
2025-08-27,249938.71,257800.0,126000.0,6,31
2025-08-28,240803.77,255000.0,126000.0,13,53
2025-08-29,247459.46,254300.0,126000.0,12,37
2025-08-30,149600.0,149600.0,149600.0,18,989
2025-08-31,246800.0,246800.0,246800.0,18,244
2025-09-01,245500.0,245500.0,245500.0,14,327
2025-09-02,245300.0,245300.0,245100.0,14,159
2025-09-03,243300.0,243300.0,243300.0,16,346
2025-09-04,242400.0,242400.0,242400.0,19,102
2025-09-05,241800.0,241800.0,241800.0,17,571
2025-09-06,241200.0,241200.0,241200.0,24,242
2025-09-07,230000.0,240600.0,229700.0,26,235
2025-09-08,239100.0,239100.0,239100.0,11,232
2025-09-09,237100.0,237100.0,237100.0,6,137
2025-09-10,236600.0,236600.0,236600.0,15,361
2025-09-11,221741.94,235600.0,128400.0,20,93
2025-09-12,234300.0,234300.0,234300.0,18,132
2025-09-13,128400.0,128400.0,128400.0,20,126
2025-09-14,211733.93,218900.0,127300.0,13,56
2025-09-15,218000.0,218000.0,218000.0,21,157
2025-09-16,206243.18,217400.0,128100.0,12,88
2025-09-17,190855.36,216700.0,128200.0,12,56
2025-09-18,201058.18,214800.0,129000.0,18,55
2025-09-19,212998.33,214400.0,130100.0,7,60
2025-09-20,209900.0,214200.0,131050.0,26,275
2025-09-21,188900.0,188900.0,188900.0,29,405
2025-09-22,174878.79,188700.0,131100.0,7,33
2025-09-23,187800.0,187900.0,131000.0,17,460
2025-09-24,186900.0,187600.0,186900.0,19,131
2025-09-25,131300.0,185600.0,105700.0,11,178
2025-09-26,174900.0,174900.0,174900.0,19,984
2025-09-27,185500.0,185500.0,185400.0,14,1249
2025-09-28,163224.05,176300.0,132500.0,14,79
2025-09-29,171870.59,176200.0,132600.0,11,34
2025-09-30,173000.0,173000.0,173000.0,9,384
2025-10-01,164196.67,172500.0,133200.0,18,90
2025-10-02,166842.86,170900.0,133200.0,8,28
2025-10-03,163591.43,170200.0,133300.0,23,92
2025-10-04,168400.0,168400.0,168400.0,21,620
2025-10-05,164800.0,164800.0,164800.0,13,321
2025-10-06,156234.62,164600.0,133700.0,12,26
2025-10-07,158900.0,158900.0,158900.0,12,134
2025-10-08,154145.21,158500.0,134100.0,16,89
2025-10-09,157800.0,157800.0,157800.0,14,383
2025-10-10,157500.0,157500.0,157500.0,21,185
2025-10-11,133000.0,134200.0,133000.0,24,1410
2025-10-12,139800.0,139800.0,139800.0,14,458
2025-10-13,139800.0,139800.0,139800.0,29,1137
2025-10-14,132300.0,132400.0,132200.0,8,150
2025-10-15,132200.0,132200.0,132200.0,21,363
2025-10-16,170000.0,170000.0,170000.0,17,857
2025-10-17,170000.0,174700.0,170000.0,20,853
2025-10-18,173622.22,173900.0,172800.0,10,54
2025-10-19,172700.0,172700.0,172700.0,21,230
2025-10-20,170006.67,172700.0,132300.0,7,30
2025-10-21,172800.0,172800.0,172800.0,15,704
2025-10-22,175000.0,175000.0,175000.0,11,232
2025-10-23,179300.0,179300.0,179300.0,29,134
2025-10-24,150393.67,179200.0,136300.0,12,79
2025-10-25,179200.0,179200.0,179200.0,5,178
2025-10-26,179400.0,179400.0,179400.0,22,640
2025-10-27,136000.0,136000.0,136000.0,19,784
2025-10-28,179400.0,179400.0,179400.0,7,153
2025-10-29,132300.0,132300.0,132300.0,10,176
2025-10-30,132300.0,132300.0,132300.0,13,181
2025-10-31,177000.0,177000.0,177000.0,15,233
2025-11-01,177100.0,177100.0,177100.0,10,147
2025-11-02,167531.94,176800.0,132200.0,9,72
2025-11-03,160062.5,176700.0,132300.0,9,16
2025-11-04,132300.0,132300.0,132300.0,7,12
2025-11-05,160210.0,169900.0,132500.0,17,50
2025-11-06,132400.0,169800.0,132200.0,14,719
2025-11-07,169000.0,169000.0,169000.0,9,374
2025-11-08,146965.31,167500.0,115000.0,13,49
2025-11-09,166800.0,166800.0,166800.0,21,823
2025-11-10,169900.0,169900.0,169900.0,27,403
2025-11-11,115000.0,115000.0,115000.0,7,221
2025-11-12,154700.0,154750.0,154700.0,13,193
2025-11-13,115000.0,115000.0,115000.0,46,413
2025-11-14,54000.0,54000.0,54000.0,15,497
