date,average,highest,lowest,order_count,volume
2025-05-20,353000.0,353000.0,353000.0,1,1
2025-05-25,353000.0,353000.0,353000.0,1,1
2025-06-01,1181500.0,1200000.0,400000.0,3,6
2025-06-05,1790000.0,1790000.0,1790000.0,1,1
2025-06-10,1888000.0,1888000.0,1888000.0,1,1
2025-06-11,1901727.27,1998000.0,1889000.0,4,11
2025-06-13,353000.0,353000.0,353000.0,1,1
2025-06-17,353000.0,353000.0,353000.0,1,1
2025-06-19,4950000.0,5000000.0,4900000.0,2,2
2025-06-30,353000.0,353000.0,353000.0,1,3
2025-07-10,6954000.0,6954000.0,6954000.0,1,1
2025-07-13,6897333.33,6899000.0,6896500.0,3,3
2025-07-20,352500.0,352500.0,352500.0,1,1
2025-07-22,352600.0,352600.0,352600.0,1,2
2025-07-31,352600.0,352600.0,352600.0,1,1
2025-08-08,353100.0,353100.0,353100.0,1,1
2025-08-13,5956375.0,6579000.0,5542500.0,9,16
2025-08-21,8000000.0,8000000.0,8000000.0,1,1
2025-10-01,5356000.0,5356000.0,5356000.0,1,1
2025-10-02,356000.0,356000.0,356000.0,1,1
2025-10-08,4650000.0,4650000.0,4650000.0,1,1
2025-10-12,3980000.0,3980000.0,3980000.0,1,1
2025-10-14,2725000.0,2750000.0,2700000.0,2,2
2025-10-20,2300000.0,2300000.0,2300000.0,2,2
2025-10-29,1875250.0,1900000.0,1867000.0,3,4
2025-10-31,1951857.14,2000000.0,1916000.0,3,7
2025-11-03,2549000.0,2549000.0,2549000.0,1,1
2025-11-04,359200.0,359200.0,359200.0,1,5
2025-11-13,2490000.0,2490000.0,2490000.0,1,1
