date,average,highest,lowest,order_count,volume
2025-05-20,289725.0,780000.0,126300.0,4,4
2025-05-21,267533.33,550000.0,126300.0,2,3
2025-05-22,782000.0,785000.0,780000.0,11,17
2025-05-23,672066.67,780000.0,127400.0,5,6
2025-05-24,566000.0,785000.0,128000.0,3,3
2025-05-25,785000.0,785000.0,785000.0,14,22
2025-05-26,675683.33,785000.0,129100.0,4,6
2025-05-27,790862.5,799000.0,785000.0,6,8
2025-05-28,799000.0,799000.0,799000.0,1,1
2025-05-29,133100.0,133100.0,133100.0,1,1
2025-05-30,789200.0,798000.0,780000.0,3,5
2025-05-31,735119.0,795900.0,347.0,7,13
2025-06-01,140100.0,140100.0,140100.0,1,1
2025-06-02,832500.0,900000.0,799000.0,5,6
2025-06-03,900000.0,900000.0,900000.0,1,1
2025-06-04,853800.0,942000.0,500000.0,3,5
2025-06-05,3100050.0,5900000.0,300100.0,2,2
2025-06-06,317550.0,350100.0,310000.0,3,4
2025-06-07,6603750.0,6777500.0,6430000.0,4,4
2025-06-09,3572300.0,6774000.0,370600.0,2,2
2025-06-10,2434057.14,2594000.0,370800.0,3,14
2025-06-11,370750.0,370800.0,370700.0,3,10
2025-06-12,371000.0,371000.0,371000.0,1,1
2025-06-13,842725.0,1000000.0,370900.0,2,4
2025-06-14,404270.59,989900.0,141100.0,6,17
2025-06-15,990000.0,990000.0,990000.0,2,2
2025-06-16,141100.0,141100.0,141100.0,1,1
2025-06-17,565500.0,989900.0,141100.0,2,2
2025-06-19,544750.0,948400.0,141100.0,2,2
2025-06-20,495550.0,850000.0,141100.0,2,2
2025-06-23,743800.0,944700.0,141100.0,2,4
2025-06-24,944600.0,944600.0,944600.0,3,5
2025-06-25,944000.0,944000.0,944000.0,1,1
2025-06-26,141100.0,141100.0,141100.0,2,2
2025-06-27,141200.0,141200.0,141200.0,1,1
2025-06-28,141100.0,141100.0,141100.0,1,1
2025-06-30,640275.0,641200.0,640000.0,3,4
2025-07-03,141200.0,141200.0,141200.0,1,1
2025-07-04,832100.0,832100.0,832100.0,1,1
2025-07-05,141200.0,141200.0,141200.0,1,4
2025-07-06,370633.33,829300.0,141300.0,3,3
2025-07-10,485850.0,828300.0,143400.0,2,2
2025-07-11,827900.0,827900.0,827900.0,1,1
2025-07-12,718931.25,829200.0,144400.0,11,16
2025-07-13,144600.0,144600.0,144600.0,2,2
2025-07-14,403100.0,920000.0,144650.0,3,3
2025-07-15,922900.0,922900.0,922900.0,2,2
2025-07-16,404233.33,922900.0,144900.0,3,3
2025-07-17,663700.0,922900.0,145300.0,3,3
2025-07-18,145600.0,145600.0,145600.0,1,1
2025-07-19,478000.0,478000.0,478000.0,1,1
2025-07-20,301000.0,922600.0,145600.0,5,5
2025-07-21,663333.33,922300.0,145400.0,3,3
2025-07-23,522650.0,898900.0,146400.0,2,2
2025-07-24,879000.0,879000.0,879000.0,1,1
2025-07-25,147100.0,147100.0,147100.0,1,1
2025-07-26,511700.0,875950.0,147450.0,4,4
2025-07-27,750000.0,750000.0,750000.0,1,1
2025-07-29,723900.0,723900.0,723900.0,3,4
2025-07-30,628016.67,723600.0,148400.0,6,6
2025-07-31,405842.86,748900.0,148500.0,7,7
2025-08-01,448200.0,747900.0,148500.0,2,2
2025-08-02,628460.0,747950.0,148500.0,5,5
2025-08-03,148800.0,148800.0,148800.0,1,1
2025-08-04,388720.0,748400.0,148900.0,5,5
2025-08-05,628140.0,747950.0,148900.0,5,5
