date,average,highest,lowest,order_count,volume
2025-05-20,67990.0,67990.0,67990.0,1,4
2025-05-21,24087.31,67990.0,4575.0,5,13
2025-05-22,62291.75,68700.0,4575.0,9,40
2025-05-23,60370.65,68740.0,4575.0,4,23
2025-05-24,90000.0,90000.0,90000.0,10,113
2025-05-25,55000.0,55000.0,55000.0,5,8
2025-05-26,55000.0,55000.0,55000.0,1,2
2025-05-27,56000.0,56000.0,56000.0,1,1
2025-05-28,56000.0,56000.0,56000.0,2,2
2025-05-29,56000.0,56000.0,56000.0,1,1
2025-05-30,56000.0,56000.0,56000.0,2,5
2025-05-31,56000.0,56000.0,56000.0,7,10
2025-06-01,70859.09,84800.0,56000.0,12,22
2025-06-02,56000.0,56000.0,56000.0,2,7
2025-06-03,90000.0,90000.0,90000.0,12,175
2025-06-04,207450.0,359900.0,55000.0,3,4
2025-06-05,55000.0,55000.0,55000.0,1,1
2025-06-07,55000.0,55000.0,55000.0,4,4
2025-06-08,206227.5,357450.0,55005.0,4,4
2025-06-09,55000.0,55000.0,55000.0,4,4
2025-06-10,55000.0,55000.0,55000.0,1,1
2025-06-12,54993.33,55000.0,54990.0,3,6
2025-06-13,55000.0,55000.0,55000.0,4,36
2025-06-14,24745.0,55000.0,4575.0,3,5
2025-06-15,4575.0,4575.0,4575.0,1,1
2025-06-16,4576.0,4576.0,4576.0,2,14
2025-06-17,3432.01,4576.0,0.03,4,4
2025-06-18,4576.0,4576.0,4576.0,1,1
2025-06-19,4576.0,4576.0,4576.0,1,2
2025-06-20,360000.0,360000.0,360000.0,9,102
2025-06-21,4576.0,4576.0,4576.0,3,3
2025-06-22,4576.0,4576.0,4576.0,4,6
2025-06-23,4576.0,4576.0,4576.0,6,7
2025-06-24,4576.0,4576.0,4576.0,1,1
2025-06-25,4717.33,5000.0,4576.0,3,3
2025-06-26,104619.43,184000.0,112.0,4,7
2025-06-27,13843.5,55000.0,112.0,3,4
2025-06-29,150.0,150.0,150.0,1,1
2025-06-30,150.0,150.0,150.0,4,4
2025-07-01,92050.0,183950.0,150.0,4,4
2025-07-02,156665.26,184900.0,150.0,13,59
2025-07-03,150.0,150.0,150.0,1,1
2025-07-04,150.0,150.0,150.0,1,1
2025-07-05,150.0,150.0,150.0,4,5
2025-07-06,150.0,150.0,150.0,2,18
2025-07-07,150.5,151.0,150.0,2,2
2025-07-08,151.0,151.0,151.0,1,2
2025-07-09,151.0,151.0,151.0,4,6
2025-07-10,151.0,151.0,151.0,2,2
2025-07-11,151.0,151.0,151.0,1,1
2025-07-12,151.0,151.0,151.0,1,1
2025-07-13,50381.17,104950.0,151.1,11,13
2025-07-14,32663.25,130200.0,151.0,3,4
2025-07-15,65175.5,130200.0,151.0,2,2
2025-07-16,151.0,151.0,151.0,4,4
2025-07-17,151.0,151.0,151.0,3,3
2025-07-18,35113.25,140000.0,151.0,3,4
2025-07-19,151.0,151.0,151.0,3,8
2025-07-20,151.0,151.0,151.0,1,1
2025-07-21,151.07,151.1,151.0,2,3
2025-07-22,151.0,151.0,151.0,1,1
