date,average,highest,lowest,order_count,volume
2025-05-20,410628.38,607800.0,347300.0,39,74
2025-05-21,446220.0,607400.0,348500.0,44,100
2025-05-22,408301.67,606700.0,349100.0,39,60
2025-05-23,606300.0,606300.0,606250.0,44,121
2025-05-24,412563.44,606400.0,349600.0,53,93
2025-05-25,559150.0,559500.0,349600.0,46,174
2025-05-26,435551.06,497500.0,352000.0,45,94
2025-05-27,416415.38,486800.0,352300.0,33,78
2025-05-28,479300.0,479500.0,355000.0,74,150
2025-05-29,375100.0,447600.0,375000.0,53,215
2025-05-30,395868.0,443900.0,355100.0,47,100
2025-05-31,355100.0,355200.0,351700.0,67,244
2025-06-01,447700.0,447700.0,400000.0,66,139
2025-06-02,447800.0,447800.0,447700.0,54,199
2025-06-03,409700.0,409700.0,409700.0,51,132
2025-06-04,409700.0,409800.0,348800.0,60,141
2025-06-05,383496.34,409800.0,346400.0,45,82
2025-06-06,345600.0,345600.0,345600.0,60,145
2025-06-07,345600.0,345600.0,345600.0,59,108
2025-06-08,450000.0,480000.0,346100.0,90,458
2025-06-09,350100.0,604600.0,346500.0,48,107
2025-06-10,394788.54,602000.0,360100.0,45,96
2025-06-11,470955.17,603900.0,350250.0,34,58
2025-06-12,462950.0,603900.0,351100.0,52,114
2025-06-13,602900.0,602900.0,602750.0,51,109
2025-06-14,400700.0,602700.0,351500.0,50,109
2025-06-15,352100.0,549800.0,351900.0,51,110
2025-06-16,407373.97,547700.0,352400.0,38,73
2025-06-17,415000.0,539000.0,352500.0,54,153
2025-06-18,437993.06,547700.0,352300.0,41,72
2025-06-19,410935.8,547800.0,352500.0,35,81
2025-06-20,436128.05,525000.0,352400.0,43,82
2025-06-21,500000.0,500000.0,500000.0,71,145
2025-06-22,500000.0,500000.0,500000.0,63,136
2025-06-23,500000.0,602400.0,490000.0,48,113
2025-06-24,352400.0,352500.0,352300.0,53,107
2025-06-25,602400.0,602700.0,500000.0,59,188
2025-06-26,376943.82,494850.0,351500.0,39,89
2025-06-27,351500.0,351500.0,351500.0,51,177
2025-06-28,401461.19,602600.0,351400.0,32,67
2025-06-29,602300.0,602600.0,351500.0,48,125
2025-06-30,351500.0,525000.0,351400.0,52,107
2025-07-01,438434.15,602600.0,351500.0,38,82
2025-07-02,445671.26,602700.0,351600.0,41,87
2025-07-03,497083.33,602200.0,351900.0,41,78
2025-07-04,413248.45,599700.0,352100.0,39,97
2025-07-05,351400.0,351400.0,351400.0,44,142
