date,average,highest,lowest,order_count,volume
2025-05-20,10.0,10.0,10.0,3,2500
2025-05-23,588.6,588.6,588.6,4,5320
2025-05-26,590.0,590.0,590.0,1,20000
2025-05-28,10.0,10.0,10.0,1,2000
2025-05-29,590.0,590.0,590.0,2,11000
2025-05-30,10.0,10.0,10.0,2,4000
2025-05-31,10.0,10.0,10.0,1,4000
2025-06-01,10.0,10.0,10.0,1,500
2025-06-02,10.0,10.0,10.0,1,2000
2025-06-03,10.0,10.0,10.0,1,500
2025-06-05,10.01,10.01,10.01,2,2500
2025-06-11,579.75,579.8,579.7,2,2000
2025-06-14,10.0,10.0,10.0,1,1000
2025-06-16,10.0,10.0,10.0,2,3000
2025-06-19,590.0,590.0,590.0,2,10000
2025-06-21,10.0,10.0,10.0,3,3000
2025-06-22,10.0,10.0,10.0,3,11396
2025-06-24,10.0,10.0,10.0,2,6000
2025-06-27,137.9,137.9,137.9,6,7000
2025-06-28,10.01,10.01,10.01,2,1500
2025-06-30,590.0,590.0,590.0,2,6679
2025-07-01,10.0,10.0,10.0,1,1000
2025-07-02,10.0,10.0,10.0,2,7500
2025-07-03,10.0,10.0,10.0,1,500
2025-07-04,10.0,10.0,10.0,1,4000
2025-07-07,0.02,0.02,0.02,1,2000
2025-07-09,60.0,60.0,60.0,2,2500
2025-07-11,60.0,60.0,60.0,1,1000
2025-07-12,599.0,599.0,599.0,2,8000
2025-07-14,60.0,60.0,60.0,4,2501
2025-07-18,300.0,300.0,300.0,1,1000
2025-07-22,300.0,300.0,300.0,3,3499
2025-07-24,300.0,300.0,300.0,1,1000
2025-07-26,500.1,500.1,500.1,1,18000
2025-07-27,300.0,300.0,300.0,1,1000
2025-07-30,300.0,300.0,300.0,1,1000
2025-07-31,300.0,300.0,300.0,1,500
2025-08-04,300.0,300.0,300.0,1,1000
2025-08-05,300.0,300.0,300.0,1,1001
2025-08-06,50.08,50.08,50.08,1,3000
2025-08-07,300.1,300.1,300.1,3,3999
2025-08-09,100.0,100.0,100.0,1,1000
2025-08-11,100.0,100.0,100.0,2,3000
2025-08-12,100.0,100.0,100.0,1,2000
2025-08-13,100.0,100.0,100.0,1,500
2025-08-14,100.0,100.0,100.0,1,3000
2025-08-20,100.4,100.4,100.4,1,1000
2025-08-21,100.4,100.4,100.4,1,1600
2025-08-22,100.4,100.4,100.4,2,1500
2025-08-25,100.4,100.4,100.4,1,2000
2025-09-03,100.5,100.5,100.5,1,4000
2025-09-04,100.4,100.4,100.4,3,1900
2025-09-08,300.3,500.2,100.4,2,2
2025-09-09,100.4,100.4,100.4,1,1000
2025-09-12,100.5,100.5,100.5,1,500
2025-09-13,100.4,100.4,100.4,1,1000
2025-09-15,40.0,40.0,40.0,1,1000
2025-09-16,40.01,40.01,40.0,2,2000
2025-09-17,40.0,40.0,40.0,2,2000
2025-09-20,40.0,40.0,40.0,1,500
2025-09-21,40.0,40.0,40.0,4,25000
2025-09-22,500.2,500.4,500.1,3,3320
2025-09-24,40.0,40.0,40.0,2,2000
2025-09-25,498.0,498.0,498.0,2,7000
2025-09-26,40.0,40.0,40.0,1,1000
2025-09-27,40.0,40.0,40.0,1,1000
2025-09-28,498.0,498.0,498.0,1,4500
2025-10-05,40.0,40.0,40.0,1,4000
2025-10-06,498.0,498.0,498.0,1,10000
2025-10-09,498.0,498.0,498.0,2,11500
2025-10-12,41.0,41.0,41.0,1,1000
2025-10-14,41.01,41.01,41.01,1,1000
2025-10-17,497.9,497.9,497.9,1,1000
2025-10-18,40.0,40.0,40.0,5,16500
2025-10-19,40.01,40.01,40.01,1,3000
2025-10-20,40.0,40.0,40.0,1,1000
2025-10-21,40.0,40.0,40.0,1,1000
2025-10-23,40.0,40.0,40.0,2,2000
2025-10-25,40.0,40.0,40.0,1,4000
2025-10-29,40.01,40.01,40.01,2,2000
2025-11-02,40.01,40.01,40.01,1,500
2025-11-03,40.01,40.01,40.01,1,2000
2025-11-04,40.01,40.01,40.01,1,1000
2025-11-06,40.01,40.01,40.01,2,2000
2025-11-08,40.01,40.01,40.01,2,4308
2025-11-10,40.01,40.01,40.01,1,1000
2025-11-11,40.52,41.03,40.01,2,2000
2025-11-12,41.03,41.03,41.03,2,1500
2025-11-13,41.03,41.03,41.03,1,2000
