date,average,highest,lowest,order_count,volume
2025-05-20,73410000.0,85680000.0,48870000.0,2,3
2025-05-23,48918888.89,48960000.0,48745000.0,4,9
2025-05-24,80844000.0,80940000.0,80810000.0,6,10
2025-05-26,73024166.67,81120000.0,48760000.0,4,12
2025-05-27,69966666.67,70000000.0,69950000.0,2,3
2025-05-28,69790000.0,69790000.0,69790000.0,1,1
2025-05-30,66210000.0,66210000.0,66210000.0,1,1
2025-05-31,53661538.46,65560000.0,48740000.0,6,13
2025-06-02,64913000.0,65000000.0,64860000.0,7,20
2025-06-03,67060000.0,67060000.0,67060000.0,1,6
2025-06-04,67050000.0,67050000.0,67050000.0,1,1
2025-06-05,38082500.0,45010000.0,31155000.0,3,4
2025-06-07,66970000.0,66970000.0,66970000.0,1,1
2025-06-08,66957500.0,66980000.0,66935000.0,3,4
2025-06-09,66920000.0,66920000.0,66920000.0,1,1
2025-06-10,66938333.33,66940000.0,66930000.0,4,6
2025-06-11,67005000.0,67060000.0,66950000.0,2,2
2025-06-12,72010000.0,81100000.0,69940000.0,4,4
2025-06-16,74687272.73,77500000.0,62040000.0,3,11
2025-06-18,71680000.0,71680000.0,71680000.0,1,3
2025-06-20,62030000.0,62030000.0,62030000.0,1,1
2025-06-24,61936000.0,61970000.0,61930000.0,3,5
2025-06-25,61970000.0,61970000.0,61970000.0,3,4
2025-06-27,59965555.56,59970000.0,59950000.0,4,9
2025-07-02,61825714.29,61840000.0,61820000.0,4,7
2025-07-04,61890000.0,61890000.0,61890000.0,1,1
2025-07-05,35335000.0,59990000.0,31670000.0,4,8
2025-07-06,59831666.67,59990000.0,59800000.0,3,6
2025-07-09,59533103.45,61960000.0,33090000.0,17,29
2025-07-11,85395000.0,85410000.0,85390000.0,4,4
2025-07-12,88754000.0,90970000.0,85430000.0,3,5
2025-07-13,89920000.0,90000000.0,89910000.0,4,7
2025-07-16,89940000.0,89940000.0,89940000.0,1,1
2025-07-17,90977500.0,90980000.0,90970000.0,4,4
2025-07-18,90930000.0,90930000.0,90930000.0,1,1
2025-07-19,90880000.0,90880000.0,90880000.0,1,3
2025-07-23,39007142.86,39030000.0,38870000.0,3,7
2025-07-27,36010000.0,36010000.0,36010000.0,1,2
2025-08-03,68580000.0,68580000.0,68580000.0,1,3
2025-08-04,68535000.0,68540000.0,68530000.0,2,4
2025-08-05,36240000.0,36240000.0,36240000.0,1,2
2025-08-07,68245000.0,68260000.0,68240000.0,4,6
2025-08-09,68160000.0,68160000.0,68160000.0,1,4
2025-08-10,52405000.0,68100000.0,36710000.0,2,2
2025-08-11,68056000.0,68070000.0,68040000.0,4,10
2025-08-12,64903333.33,64910000.0,64900000.0,2,3
2025-08-13,64860000.0,64860000.0,64860000.0,1,2
2025-08-16,64787000.0,64800000.0,64760000.0,5,10
2025-08-19,64480000.0,64480000.0,64480000.0,1,1
2025-08-25,59970000.0,59970000.0,59970000.0,1,2
2025-08-28,48870000.0,59500000.0,38240000.0,4,4
2025-09-06,58795000.0,58800000.0,58790000.0,2,2
2025-09-08,58812000.0,58910000.0,58785000.0,4,5
2025-09-09,58880000.0,58880000.0,58880000.0,3,3
2025-09-10,58880000.0,58880000.0,58880000.0,1,1
2025-09-13,58870000.0,58870000.0,58870000.0,1,2
2025-09-20,40815714.29,44970000.0,40110000.0,4,7
2025-09-21,44970000.0,44970000.0,44970000.0,1,1
2025-09-22,44970000.0,44970000.0,44970000.0,1,1
2025-09-23,44978333.33,44990000.0,44960000.0,4,6
2025-09-27,40100000.0,40300000.0,40000000.0,3,3
2025-10-01,40373333.33,40380000.0,40370000.0,2,6
2025-10-02,52490000.0,52490000.0,52490000.0,1,2
2025-10-03,52470000.0,52470000.0,52470000.0,1,2
2025-10-04,40400000.0,40400000.0,40400000.0,1,1
2025-10-08,52420000.0,52420000.0,52420000.0,1,1
2025-10-14,52340000.0,52340000.0,52340000.0,1,1
2025-10-16,40560000.0,40560000.0,40560000.0,1,1
2025-10-18,52342000.0,52410000.0,52300000.0,3,5
2025-10-19,45608571.43,52400000.0,40500000.0,4,7
2025-10-20,52436666.67,52450000.0,52410000.0,2,3
2025-10-21,52450000.0,52450000.0,52450000.0,1,4
2025-10-22,53835294.12,59030000.0,52740000.0,7,17
2025-10-26,40652500.0,40660000.0,40650000.0,2,4
2025-10-30,56785000.0,56790000.0,56780000.0,2,2
2025-11-02,40740000.0,40740000.0,40740000.0,1,1
2025-11-03,40755000.0,40760000.0,40750000.0,2,2
2025-11-04,40750000.0,40750000.0,40750000.0,1,10
2025-11-06,49180000.0,49180000.0,49180000.0,1,1
2025-11-09,46157647.06,56750000.0,40765000.0,9,17
2025-11-10,55915454.55,59030000.0,40760000.0,6,11
2025-11-12,59890000.0,59890000.0,59890000.0,1,1
2025-11-13,40324615.38,40750000.0,38940000.0,4,13
