date,average,highest,lowest,order_count,volume
2025-05-20,80500.89,174800.0,63130.0,5,90
2025-05-21,107816.0,174800.0,63160.0,6,15
2025-05-24,170300.0,170300.0,170300.0,4,16
2025-05-25,150944.55,159700.0,63390.0,4,11
2025-05-26,159400.0,159400.0,159400.0,8,122
2025-05-27,133555.45,159800.0,63570.0,6,22
2025-05-28,63570.0,63570.0,63570.0,2,7
2025-05-29,111690.0,159800.0,63580.0,3,4
2025-05-30,141762.5,159800.0,63600.0,4,16
2025-05-31,159800.0,159800.0,159800.0,4,11
2025-06-02,63600.0,63600.0,63600.0,3,14
2025-06-03,159700.0,159700.0,159700.0,2,11
2025-06-04,159800.0,159800.0,159800.0,1,8
2025-06-05,99302.86,159700.0,63600.0,7,35
2025-06-06,159500.0,159800.0,158000.0,2,12
2025-06-07,110800.0,158000.0,63600.0,2,8
2025-06-08,151775.0,158000.0,63600.0,7,76
2025-06-09,90571.43,158000.0,63600.0,2,7
2025-06-10,126533.33,158000.0,63600.0,2,6
2025-06-11,158000.0,158000.0,158000.0,1,20
2025-06-12,158000.0,158000.0,158000.0,1,5
2025-06-13,158000.0,158000.0,158000.0,1,1
2025-06-14,158000.0,158000.0,158000.0,2,14
2025-06-15,140610.53,158000.0,63600.0,6,38
2025-06-16,158000.0,158000.0,158000.0,3,10
2025-06-17,70342.86,158000.0,63600.0,3,42
2025-06-19,137022.22,158000.0,63600.0,8,18
2025-06-20,155991.3,158000.0,63600.0,5,46
2025-06-21,159000.0,159000.0,159000.0,8,116
2025-06-22,159500.0,159500.0,159500.0,3,10
2025-06-23,159500.0,159500.0,159500.0,5,40
2025-06-24,63620.0,63620.0,63620.0,1,6
2025-06-25,63620.0,63620.0,63620.0,1,1
2025-06-26,115252.31,159500.0,63630.0,2,13
2025-06-27,150736.36,159500.0,63100.0,2,11
2025-06-28,151863.2,159500.0,63640.0,7,25
2025-06-29,63650.0,63650.0,63650.0,6,105
2025-06-30,159700.0,159700.0,159700.0,1,3
2025-07-01,159600.0,159600.0,159600.0,2,4
2025-07-02,116290.91,159000.0,65040.0,6,22
2025-07-03,156630.0,159500.0,65050.0,7,35
2025-07-05,159500.0,159500.0,159500.0,1,3
2025-07-06,74495.0,159500.0,65050.0,2,10
2025-07-07,156785.71,159500.0,150000.0,2,14
2025-07-08,159500.0,159500.0,159500.0,6,25
2025-07-09,159500.0,159500.0,159500.0,1,1
2025-07-10,159500.0,159500.0,159500.0,2,5
2025-07-11,159480.0,159500.0,159400.0,2,5
2025-07-12,159700.0,159700.0,159700.0,4,175
2025-07-13,80933.33,159600.0,65200.0,2,6
