date,average,highest,lowest,order_count,volume
2025-05-20,135100.0,135400.0,131500.0,173,15831
2025-05-21,133600.0,134700.0,131500.0,179,22642
2025-05-22,135000.0,135100.0,134900.0,178,22355
2025-05-23,135100.0,135300.0,105700.0,201,25274
2025-05-24,134500.0,134700.0,132500.0,237,26889
2025-05-25,132700.0,133800.0,132500.0,287,36742
2025-05-26,134900.0,135100.0,134200.0,259,38667
2025-05-27,136000.0,136000.0,136000.0,232,24149
2025-05-28,136400.0,137300.0,136000.0,233,31953
2025-05-29,139900.0,140000.0,139800.0,184,27431
2025-05-30,140000.0,141700.0,122600.0,227,47664
2025-05-31,137900.0,138000.0,107400.0,275,39785
2025-06-01,141900.0,142000.0,137900.0,304,36314
2025-06-02,157800.0,157800.0,157800.0,244,21072
2025-06-03,174300.0,174700.0,157800.0,233,20771
2025-06-04,184900.0,185200.0,147300.0,233,25274
2025-06-05,177800.0,180100.0,146900.0,249,26017
2025-06-06,178600.0,178600.0,178600.0,261,21277
2025-06-07,177700.0,178500.0,169900.0,218,27840
2025-06-08,168200.0,169800.0,144900.0,285,44946
2025-06-09,150000.0,155600.0,111000.0,216,38694
2025-06-10,153200.0,155000.0,150400.0,240,31728
2025-06-11,150200.0,150300.0,150100.0,188,16412
2025-06-12,150200.0,150800.0,149500.0,182,21306
2025-06-13,140800.0,145900.0,140800.0,194,33706
2025-06-14,141700.0,142700.0,129400.0,271,42489
2025-06-15,98160.0,137800.0,96950.0,239,37704
2025-06-16,132000.0,132200.0,128900.0,159,18110
2025-06-17,124100.0,124500.0,120800.0,186,16850
2025-06-18,120700.0,121000.0,120400.0,232,26678
2025-06-19,124600.0,124600.0,124500.0,197,20659
2025-06-20,119900.0,123000.0,119700.0,248,22844
2025-06-21,122800.0,122900.0,122400.0,262,24779
2025-06-22,122000.0,122700.0,121300.0,309,28626
2025-06-23,123000.0,123800.0,122900.0,237,27370
2025-06-24,123600.0,123600.0,123500.0,230,23393
2025-06-25,122900.0,122900.0,122000.0,209,16771
2025-06-26,123000.0,123500.0,122500.0,239,26302
2025-06-27,123500.0,123600.0,123500.0,264,31967
2025-06-28,121200.0,122900.0,111950.0,204,24923
2025-06-29,110000.0,110000.0,110000.0,212,20203
2025-06-30,115000.0,119700.0,105900.0,209,38855
2025-07-01,112000.0,114700.0,111800.0,239,17836
2025-07-02,111400.0,111600.0,111000.0,215,21883
2025-07-03,111600.0,115000.0,111300.0,217,21561
2025-07-04,118800.0,118900.0,115000.0,187,22742
2025-07-05,97910.0,117200.0,97830.0,278,64573
2025-07-06,117800.0,119400.0,117700.0,259,38174
2025-07-07,119700.0,119800.0,119600.0,214,20309
2025-07-08,119300.0,119800.0,119100.0,201,25551
2025-07-09,120000.0,120800.0,120000.0,209,22383
2025-07-10,120700.0,120800.0,120600.0,176,19554
2025-07-11,120900.0,120900.0,120900.0,193,15347
2025-07-12,120400.0,120700.0,120200.0,194,14424
2025-07-13,120400.0,120500.0,120300.0,246,35063
2025-07-14,120400.0,120500.0,120400.0,173,18076
2025-07-15,120000.0,120100.0,120000.0,191,20654
2025-07-16,119300.0,119400.0,119200.0,166,16838
2025-07-17,119800.0,119900.0,119600.0,174,18340
2025-07-18,119400.0,119500.0,119000.0,162,21094
2025-07-19,118600.0,118800.0,118000.0,206,19564
2025-07-20,117800.0,117900.0,117600.0,249,29062
2025-07-21,119700.0,119800.0,119500.0,212,19767
2025-07-22,119600.0,119600.0,119500.0,190,12802
2025-07-23,119500.0,119500.0,119500.0,207,20520
2025-07-24,119800.0,119900.0,119700.0,192,19296
2025-07-25,119700.0,119800.0,119700.0,228,26014
2025-07-26,119800.0,119800.0,119700.0,220,33754
2025-07-27,119700.0,119800.0,119700.0,262,27728
2025-07-28,119900.0,120000.0,119800.0,192,27677
2025-07-29,120000.0,120000.0,120000.0,155,19138
2025-07-30,120000.0,120000.0,120000.0,191,30116
2025-07-31,119900.0,119900.0,119800.0,198,17950
2025-08-01,120000.0,120000.0,120000.0,167,13383
2025-08-02,119800.0,119900.0,119700.0,216,23738
2025-08-03,120000.0,120000.0,120000.0,210,18306
2025-08-04,119000.0,120000.0,119000.0,188,17403
2025-08-05,118600.0,118600.0,118600.0,179,19388
2025-08-06,119900.0,119900.0,118700.0,174,14060
2025-08-07,120000.0,120000.0,120000.0,183,16115
2025-08-08,120600.0,120800.0,120600.0,167,15781
2025-08-09,124700.0,124700.0,124700.0,195,17382
2025-08-10,124200.0,124300.0,124000.0,214,23447
2025-08-11,124400.0,124700.0,124000.0,175,22445
2025-08-12,123700.0,123800.0,123600.0,168,11171
2025-08-13,109500.0,121100.0,109200.0,157,11519
2025-08-14,119700.0,119900.0,119300.0,186,17041
2025-08-15,119200.0,119300.0,119100.0,168,12472
2025-08-16,119100.0,119200.0,119000.0,184,17148
2025-08-17,125200.0,125400.0,124900.0,237,26271
2025-08-18,124600.0,125100.0,98850.0,214,21872
2025-08-19,124500.0,124600.0,124000.0,179,11455
2025-08-20,125200.0,125400.0,125000.0,206,19460
2025-08-21,126000.0,126000.0,125900.0,188,18805
2025-08-22,129900.0,130100.0,126400.0,204,17671
2025-08-23,142200.0,142400.0,142100.0,161,13286
2025-08-24,150000.0,153400.0,148900.0,248,30065
2025-08-25,153300.0,153400.0,149800.0,202,22378
2025-08-26,149400.0,150000.0,149200.0,171,11512
2025-08-27,148500.0,149100.0,98660.0,216,28198
2025-08-28,124800.0,147200.0,124200.0,162,19522
2025-08-29,132600.0,134900.0,132400.0,229,23682
2025-08-30,131200.0,131300.0,131100.0,187,17416
2025-08-31,128300.0,128500.0,128300.0,236,21705
2025-09-01,125600.0,125700.0,124900.0,215,22387
2025-09-02,126000.0,128500.0,125600.0,222,31169
2025-09-03,127700.0,128100.0,127600.0,212,16849
2025-09-04,127300.0,127400.0,114900.0,184,11321
2025-09-05,127400.0,127400.0,127400.0,207,23624
2025-09-06,129800.0,129900.0,129400.0,235,18280
