date,average,highest,lowest,order_count,volume
2025-05-20,51500000.0,51500000.0,51500000.0,2,2
2025-05-22,51000000.0,51000000.0,51000000.0,1,1
2025-05-25,50000000.0,50000000.0,50000000.0,2,3
2025-05-26,35010000.0,50000000.0,20020000.0,2,2
2025-05-28,50000000.0,50000000.0,50000000.0,1,1
2025-05-29,51121250.0,52240000.0,50000000.0,4,8
2025-05-30,50110000.0,50110000.0,50110000.0,2,2
2025-06-01,50105000.0,50110000.0,50100000.0,2,2
2025-06-02,50120000.0,50120000.0,50120000.0,1,1
2025-06-06,21510000.0,21510000.0,21510000.0,1,2
2025-06-08,55525000.0,55530000.0,55520000.0,2,2
2025-06-10,50000000.0,50000000.0,50000000.0,1,3
2025-06-14,55560000.0,55560000.0,55560000.0,1,1
2025-06-16,99140000.0,99140000.0,99140000.0,1,1
2025-06-19,22630000.0,22630000.0,22630000.0,1,1
2025-06-21,82880000.0,99140000.0,66620000.0,2,2
2025-06-29,89500000.0,90000000.0,89000000.0,2,2
2025-06-30,92000000.0,92000000.0,92000000.0,1,1
2025-07-06,22670000.0,22670000.0,22670000.0,1,2
2025-07-07,22670000.0,22670000.0,22670000.0,1,1
2025-07-13,22660000.0,22660000.0,22660000.0,1,1
2025-07-14,22660000.0,22660000.0,22660000.0,1,1
2025-07-15,52960000.0,52960000.0,52960000.0,1,1
2025-07-16,22650000.0,22650000.0,22650000.0,2,4
2025-07-20,52860000.0,52860000.0,52860000.0,1,1
2025-07-22,20000000.0,20000000.0,20000000.0,1,1
2025-07-25,51810000.0,51810000.0,51810000.0,1,1
2025-07-26,51820000.0,51820000.0,51820000.0,1,1
2025-07-28,51704000.0,51710000.0,51700000.0,2,5
2025-08-03,44700000.0,44700000.0,44700000.0,1,2
2025-08-07,41990000.0,41990000.0,41990000.0,1,1
2025-08-09,20045000.0,20050000.0,20040000.0,2,2
2025-08-11,41880000.0,41880000.0,41880000.0,2,3
2025-08-12,20070000.0,20070000.0,20070000.0,1,1
2025-08-16,20063333.33,20070000.0,20060000.0,2,3
2025-08-21,22530000.0,25000000.0,20060000.0,2,2
2025-08-28,24000000.0,24000000.0,24000000.0,1,1
2025-08-29,24405000.0,24810000.0,24000000.0,2,2
2025-08-30,24820000.0,24820000.0,24820000.0,1,1
2025-09-13,24845714.29,25000000.0,24825000.0,6,7
2025-09-14,38510000.0,77990000.0,29845000.0,5,5
2025-09-17,35000000.0,35000000.0,35000000.0,1,1
2025-09-18,68990000.0,68990000.0,68990000.0,1,1
2025-09-21,67990000.0,67990000.0,67990000.0,1,1
2025-09-23,29928500.0,53790000.0,6067000.0,2,2
2025-09-24,53800000.0,53800000.0,53800000.0,1,1
2025-09-27,40000000.0,40000000.0,40000000.0,1,1
2025-09-28,35000000.0,35000000.0,35000000.0,1,1
2025-09-29,61830000.0,77495000.0,35000000.0,4,6
2025-10-02,6076000.0,6076000.0,6076000.0,2,2
2025-10-06,33029500.0,59980000.0,6079000.0,2,2
2025-10-11,49980000.0,49980000.0,49980000.0,1,1
2025-10-21,49840000.0,49840000.0,49840000.0,1,1
2025-10-22,49825000.0,49830000.0,49820000.0,2,2
2025-10-23,49935000.0,49940000.0,49930000.0,2,2
2025-10-26,49910000.0,49910000.0,49910000.0,1,2
2025-10-27,49910000.0,49910000.0,49910000.0,1,1
2025-10-28,49910000.0,49910000.0,49910000.0,1,1
2025-10-29,49920000.0,49920000.0,49920000.0,1,1
2025-10-31,39007750.0,49920000.0,6271000.0,4,4
2025-11-01,6279000.0,6279000.0,6279000.0,1,2
2025-11-02,44970000.0,44970000.0,44970000.0,1,1
2025-11-03,44980000.0,44980000.0,44980000.0,1,1
2025-11-06,44990000.0,45000000.0,44980000.0,2,2
2025-11-08,49840000.0,49840000.0,49840000.0,1,1
2025-11-14,49777500.0,49800000.0,49700000.0,3,4
