date,average,highest,lowest,order_count,volume
2025-05-20,670.7,670.7,670.7,17,201084
2025-05-21,670.7,670.7,670.7,16,53257
2025-05-22,670.7,670.7,670.7,12,314879
2025-05-23,614.3,614.3,611.7,19,1238308
2025-05-24,670.7,670.7,670.7,28,603600
2025-05-25,657.9,657.9,657.9,9,37000
2025-05-26,657.9,660.0,657.9,37,439720
2025-05-27,670.9,671.3,612.4,28,828278
2025-05-28,672.6,672.6,672.6,34,308350
2025-05-29,671.6,672.4,671.6,18,528920
2025-05-30,671.0,671.0,671.0,18,52734
2025-05-31,671.0,671.0,671.0,28,164453
2025-06-01,670.8,670.8,670.8,17,80287
2025-06-02,670.6,670.6,670.6,13,79716
2025-06-03,670.7,670.7,670.7,13,225789
2025-06-04,670.7,670.7,670.7,21,142465
2025-06-05,675.0,675.0,675.0,21,724546
2025-06-06,681.4,681.4,681.4,18,159252
2025-06-07,681.4,681.4,681.3,21,120742
2025-06-08,681.3,681.3,681.3,15,61178
2025-06-09,681.3,681.3,681.3,16,53036
2025-06-10,679.7,679.8,560.5,21,69317
2025-06-11,679.7,679.7,679.7,23,62559
2025-06-12,681.5,681.5,681.5,25,220378
2025-06-13,688.5,688.5,688.5,15,40218
2025-06-14,688.6,688.6,688.6,23,78329
2025-06-15,688.6,688.6,688.6,12,60557
2025-06-16,688.6,688.6,688.6,12,25842
2025-06-17,688.6,688.6,688.6,20,92112
2025-06-18,688.0,688.0,688.0,13,59421
2025-06-19,687.7,687.7,687.7,13,64380
2025-06-20,687.0,687.0,687.0,15,62560
2025-06-21,566.3,566.3,566.3,13,89310
2025-06-22,566.3,566.3,566.3,8,42197
2025-06-23,686.5,686.5,686.5,17,95412
2025-06-24,686.7,686.7,686.7,22,232895
2025-06-25,688.6,688.6,688.6,14,155516
2025-06-26,688.5,688.5,688.5,14,59783
2025-06-27,687.0,687.0,687.0,7,34048
2025-06-28,686.9,686.9,686.9,22,58943
2025-06-29,577.2,577.2,577.2,13,1792778
2025-06-30,573.1,679.8,500.0,13,270551
2025-07-01,390.8,390.8,390.8,7,10499
2025-07-02,676.1,676.2,392.4,13,47481
2025-07-03,674.5,674.5,674.5,12,75070
2025-07-04,674.5,674.5,674.5,13,288274
2025-07-05,671.4,671.5,670.2,19,39443
2025-07-06,669.5,669.6,669.5,25,57729
2025-07-07,667.9,668.0,667.8,15,51040
2025-07-08,663.3,663.3,663.2,9,20140
2025-07-09,662.8,662.8,662.8,9,17808
2025-07-10,661.9,662.5,661.8,7,7144
2025-07-11,620.0,620.0,620.0,8,19500
2025-07-12,616.1,616.1,616.1,15,134740
2025-07-13,618.3,618.3,618.3,12,27720
2025-07-14,617.8,617.8,617.8,15,57072
2025-07-15,617.4,617.4,617.4,12,89588
2025-07-16,617.2,617.2,617.2,15,94100
2025-07-17,617.1,617.1,617.1,13,67120
2025-07-18,617.1,617.1,617.1,8,14740
2025-07-19,617.1,617.1,617.1,8,53490
2025-07-20,617.1,617.1,617.1,14,83890
2025-07-21,668.4,668.4,662.3,11,25880
2025-07-22,668.4,668.4,668.4,12,20557
2025-07-23,668.5,668.5,668.5,14,243052
2025-07-24,668.5,668.5,668.5,11,45461
2025-07-25,668.5,668.5,668.5,7,65040
2025-07-26,668.4,668.4,668.4,7,10941
2025-07-27,668.5,668.5,668.5,12,29702
2025-07-28,668.5,668.5,668.5,6,8382
2025-07-29,416.1,668.5,416.0,10,16394
2025-07-30,668.5,668.5,668.5,13,64774
2025-07-31,668.5,668.5,668.5,8,36045
2025-08-01,668.5,668.5,668.5,16,418899
2025-08-02,668.4,668.4,668.4,9,15038
2025-08-03,418.0,418.0,416.1,23,580459
2025-08-04,668.4,668.4,668.4,12,28655
2025-08-05,668.4,668.4,668.4,10,27804
2025-08-06,668.3,668.3,668.3,12,44991
2025-08-07,668.3,668.3,668.3,8,16709
2025-08-08,666.5,666.5,666.5,4,22693
2025-08-09,665.7,665.9,665.5,22,182996
2025-08-10,665.0,665.0,665.0,10,29640
2025-08-11,664.6,665.0,555.2,8,26268
2025-08-12,664.6,664.6,664.6,13,92456
2025-08-13,660.0,663.3,555.2,7,12190
2025-08-14,660.0,660.0,660.0,10,29800
2025-08-15,555.0,555.0,555.0,9,872977
2025-08-16,555.0,555.0,414.2,7,23612
2025-08-17,659.0,659.0,659.0,12,125620
2025-08-18,658.9,659.0,658.0,13,37603
2025-08-19,415.4,415.5,415.4,10,16696
2025-08-20,649.0,649.5,649.0,18,87323
2025-08-21,649.9,649.9,649.9,5,13000
2025-08-22,649.0,649.0,649.0,16,55690
2025-08-23,648.8,649.0,417.5,3,3720
2025-08-24,649.0,649.0,649.0,11,39560
2025-08-25,649.0,649.8,649.0,19,86169
2025-08-26,650.0,650.0,650.0,15,170120
2025-08-27,657.9,657.9,657.9,3,7000
2025-08-28,657.8,657.8,657.8,10,16438
2025-08-29,657.8,657.8,657.8,11,14980
2025-08-30,657.0,657.0,657.0,12,45640
2025-08-31,419.1,656.7,419.0,14,33170
2025-09-01,655.9,655.9,655.9,7,98800
2025-09-02,655.9,655.9,655.9,10,89540
2025-09-03,655.8,655.8,655.8,18,122254
2025-09-04,500.3,500.3,500.3,8,21645
2025-09-05,655.9,655.9,655.9,11,32414
2025-09-06,653.9,653.9,653.9,7,33941
2025-09-07,653.8,653.8,653.8,14,36606
2025-09-08,653.7,653.7,653.7,3,17000
2025-09-09,500.5,500.5,500.5,12,115609
2025-09-10,510.0,510.0,510.0,16,37190
2025-09-11,510.0,510.0,510.0,7,53440
2025-09-12,653.0,653.0,653.0,11,29864
2025-09-13,653.0,653.0,653.0,8,122735
2025-09-14,653.1,653.1,653.1,7,218000
2025-09-15,653.1,653.1,653.1,8,25942
2025-09-16,510.0,510.0,510.0,7,10351
2025-09-17,510.0,510.0,510.0,6,18878
2025-09-18,654.0,654.0,654.0,6,15021
2025-09-19,655.9,655.9,655.9,9,11974
2025-09-20,655.9,655.9,655.9,15,558797
2025-09-21,655.6,655.6,655.6,12,453165
2025-09-22,510.0,510.0,510.0,5,17491
2025-09-23,655.0,655.6,510.2,14,19452
2025-09-24,657.8,657.8,657.8,14,1029120
2025-09-25,657.6,657.6,657.6,6,7570
2025-09-26,657.4,657.4,657.4,12,88067
2025-09-27,657.4,657.4,657.4,20,61009
2025-09-28,672.7,672.7,669.8,26,1307205
2025-09-29,781.7,781.7,781.7,8,56240
2025-09-30,512.2,780.0,512.2,7,23402
2025-10-01,512.2,512.2,512.2,6,11085
2025-10-02,512.3,512.3,512.3,5,411842
2025-10-03,700.0,700.0,699.9,12,45000
2025-10-04,777.5,777.5,777.5,11,104037
2025-10-05,655.0,777.5,512.2,19,142539
2025-10-06,777.0,777.0,777.0,19,46980
2025-10-07,777.0,777.0,777.0,20,117382
2025-10-08,520.1,520.1,520.1,9,23200
2025-10-09,774.2,774.2,774.2,7,30700
2025-10-10,773.5,773.5,773.5,10,45312
2025-10-11,773.1,773.1,773.0,13,51299
2025-10-12,772.8,772.8,772.8,12,70318
2025-10-13,771.5,771.5,771.5,8,15939
2025-10-14,771.0,771.0,771.0,9,17295
2025-10-15,770.7,771.0,550.0,8,15943
2025-10-16,550.0,550.0,550.0,4,8295
2025-10-17,550.0,550.0,550.0,5,11614
2025-10-18,769.3,769.3,769.3,14,81485
2025-10-19,769.0,769.0,769.0,6,209500
2025-10-20,550.0,550.0,550.0,8,33462
2025-10-21,767.9,768.5,550.0,9,18180
2025-10-22,767.9,767.9,767.9,11,427606
2025-10-23,767.9,767.9,767.9,8,59900
2025-10-24,757.4,757.5,550.0,9,19400
2025-10-25,757.3,757.3,757.3,10,106720
2025-10-26,756.5,756.5,756.5,15,83165
2025-10-27,756.2,756.2,756.2,10,17500
2025-10-28,756.2,756.2,756.2,8,86760
2025-10-29,655.0,655.0,655.0,7,43234
2025-10-30,755.8,755.8,755.8,14,82204
2025-10-31,649.8,649.8,649.8,6,8500
2025-11-01,600.0,600.0,600.0,9,64983
2025-11-02,552.6,649.8,552.4,16,415252
2025-11-03,552.4,552.4,552.4,13,624583
2025-11-04,648.0,648.0,648.0,13,57480
2025-11-05,647.0,647.0,647.0,8,16936
2025-11-06,420.0,420.0,420.0,9,178481
2025-11-07,420.0,420.0,420.0,21,205532
2025-11-08,609.9,609.9,420.1,19,27965
2025-11-09,609.9,609.9,609.9,16,59828
2025-11-10,600.0,600.0,600.0,19,121042
2025-11-11,609.9,609.9,609.9,24,58352
2025-11-12,609.7,609.7,609.6,15,33360
2025-11-13,609.6,609.6,420.2,20,43645
2025-11-14,420.2,420.2,420.2,15,22700
