date,average,highest,lowest,order_count,volume
2025-05-20,340139.29,343700.0,246500.0,6,28
2025-05-21,285408.0,343700.0,246500.0,13,25
2025-05-22,258675.0,343200.0,246600.0,7,24
2025-05-23,299354.55,343300.0,246600.0,7,22
2025-05-24,282991.11,342900.0,246600.0,11,45
2025-05-25,339600.0,339600.0,339600.0,21,187
2025-05-26,250062.5,250100.0,250000.0,4,8
2025-05-27,303004.65,334500.0,250100.0,16,43
2025-05-28,298283.33,332500.0,250100.0,15,48
2025-05-29,301951.85,328900.0,250200.0,18,81
2025-05-30,290990.91,327900.0,250600.0,17,44
2025-05-31,300287.01,330800.0,250700.0,16,77
2025-06-01,246600.0,246600.0,246600.0,26,677
2025-06-02,80100.0,80110.0,80100.0,14,130
2025-06-03,254370.59,338700.0,249100.0,9,17
2025-06-04,249100.0,249100.0,249100.0,13,117
2025-06-05,153898.22,335900.0,6008.0,10,36
2025-06-06,137701.71,332950.0,6009.0,14,31
2025-06-07,137622.3,331300.0,6014.0,15,54
2025-06-08,176391.97,327900.0,6022.0,16,34
2025-06-09,75582.4,125000.0,6024.5,10,20
2025-06-10,284130.0,324000.0,125050.0,4,10
2025-06-11,149779.17,322700.0,125050.0,12,48
2025-06-12,164366.67,321200.0,125200.0,8,30
2025-06-13,6026.0,6026.0,6026.0,20,275
2025-06-14,103402.73,321100.0,55030.0,12,33
2025-06-15,263575.0,321000.0,60040.0,18,50
2025-06-16,233969.77,321600.0,150300.0,17,43
2025-06-17,171796.88,321400.0,150400.0,15,32
2025-06-18,229558.93,320600.0,150700.0,15,56
2025-06-19,202061.54,319900.0,150800.0,17,39
2025-06-20,199561.9,279900.0,150900.0,15,21
2025-06-21,55000.0,60000.0,55000.0,25,575
2025-06-22,238291.4,319800.0,48013.0,14,40
2025-06-23,210031.46,314100.0,6028.0,18,41
2025-06-24,100745.38,313800.0,6034.0,7,13
2025-06-25,160187.52,299900.0,6036.0,9,23
2025-06-26,231655.54,309600.0,6045.0,20,52
2025-06-27,152012.81,313150.0,6061.0,12,21
2025-06-28,135158.14,313000.0,313.0,4,7
2025-06-29,226850.71,313200.0,11095.0,17,42
2025-06-30,130257.89,313000.0,11100.0,14,38
2025-07-01,288270.16,313000.0,11220.0,14,61
2025-07-02,161776.0,262050.0,11260.0,9,20
2025-07-03,104882.67,211200.0,12015.0,8,15
2025-07-04,51773.23,199900.0,12070.0,10,31
2025-07-05,184723.58,311200.0,55020.0,22,53
2025-07-06,219045.56,300000.0,55150.0,7,9
2025-07-07,222294.62,310800.0,55180.0,13,26
2025-07-08,227374.53,311000.0,55220.0,26,64
2025-07-09,214478.1,312600.0,55035.0,10,21
2025-07-10,227963.55,311900.0,55050.0,15,31
2025-07-11,182811.43,310800.0,55050.0,12,28
2025-07-12,291309.0,309500.0,175000.0,14,50
2025-07-13,259127.45,309300.0,200100.0,23,55
2025-07-14,55040.0,55040.0,55040.0,12,143
2025-07-15,228968.54,307500.0,15010.0,17,41
2025-07-16,146845.5,306900.0,15010.0,9,20
2025-07-17,108731.62,306600.0,25010.0,11,37
2025-07-18,268743.81,306600.0,50000.0,6,21
2025-07-19,150760.79,305300.0,50000.0,12,38
2025-07-20,79408.94,304800.0,25090.0,19,66
2025-07-21,104311.43,302250.0,25159.99,12,21
2025-07-22,203185.11,299800.0,125200.0,14,47
2025-07-23,65080.73,299900.0,25170.0,19,55
2025-07-24,142676.43,299350.0,25170.0,7,14
2025-07-25,256477.56,299100.0,25170.0,16,45
2025-07-26,131421.5,299000.0,25220.0,20,60
2025-07-27,260780.25,299000.0,25240.0,21,79
2025-07-28,123325.6,297700.0,25240.0,10,25
2025-07-29,173714.55,297600.0,25310.0,11,22
2025-07-30,266544.38,297500.0,210000.0,7,16
2025-07-31,209032.89,296800.0,25330.0,15,45
2025-08-01,131970.5,297200.0,25360.0,18,60
2025-08-02,210263.6,297000.0,185400.0,7,25
2025-08-03,127249.38,296800.0,25500.0,7,16
2025-08-04,25526.19,25530.0,25510.0,10,42
2025-08-05,194306.79,296200.0,25540.0,13,28
2025-08-06,189515.22,295700.0,51300.0,9,23
2025-08-07,128267.59,295600.0,53010.0,8,29
2025-08-08,170600.57,209900.0,100000.0,12,35
2025-08-09,107473.08,110200.0,100100.0,11,26
2025-08-10,167187.5,252450.0,100000.0,20,64
2025-08-11,146496.43,150000.0,100200.0,9,28
2025-08-12,170986.05,249400.0,150100.0,14,43
2025-08-13,239546.67,249500.0,150100.0,11,30
2025-08-14,150200.0,150200.0,150200.0,13,266
2025-08-15,213097.56,292700.0,53760.0,16,45
2025-08-16,244626.67,292300.0,53830.0,7,15
2025-08-17,170270.78,249900.0,53860.0,19,64
2025-08-18,168267.08,249800.0,54110.0,11,24
2025-08-19,250000.0,250000.0,249800.0,24,110
2025-08-20,192380.65,292000.0,54400.0,14,31
2025-08-21,200832.35,291600.0,54320.0,9,34
2025-08-22,110414.29,249900.0,54640.0,4,7
2025-08-23,199335.48,249700.0,54675.0,11,31
2025-08-24,119728.33,249750.0,54730.0,8,12
2025-08-25,182470.0,249000.0,55020.0,14,32
2025-08-26,132469.2,248400.0,55020.0,9,25
2025-08-27,168997.86,248400.0,55080.0,7,14
2025-08-28,129497.03,200000.0,55100.0,19,37
2025-08-29,55090.0,55090.0,55090.0,15,126
2025-08-30,249100.0,249100.0,249100.0,13,131
2025-08-31,161419.44,294300.0,55085.0,13,36
2025-09-01,266205.36,293900.0,55100.0,16,69
2025-09-02,234041.25,293650.0,55265.0,5,8
2025-09-03,68548.89,292700.0,55370.0,10,18
2025-09-04,114532.5,291900.0,55400.0,7,12
2025-09-05,178126.09,290600.0,55430.0,6,23
2025-09-06,290300.0,290300.0,290300.0,1,4
2025-09-07,159275.56,289050.0,55470.0,9,27
2025-09-08,149223.27,289100.0,55510.0,15,55
2025-09-09,258241.8,288900.0,55550.0,15,50
2025-09-10,227346.57,250000.0,55585.0,9,35
2025-09-11,159578.57,249700.0,55590.0,7,28
2025-09-12,195744.44,249600.0,55600.0,10,18
2025-09-13,171314.68,249400.0,55620.0,19,62
2025-09-14,227095.0,249100.0,55620.0,7,44
2025-09-15,100876.84,248600.0,55620.0,14,38
2025-09-16,189110.77,248400.0,55610.0,6,13
2025-09-17,157851.07,248000.0,55610.0,21,28
2025-09-18,155634.0,248000.0,55610.0,9,25
2025-09-19,165256.86,247900.0,55630.0,17,35
2025-09-20,166094.44,245000.0,55630.0,14,36
2025-09-21,123063.21,244400.0,55650.0,13,28
2025-09-22,209786.72,243700.0,55660.0,16,61
2025-09-23,165379.44,243700.0,55710.0,12,36
2025-09-24,201502.22,243200.0,55730.0,8,27
2025-09-25,143072.04,241800.0,55750.0,21,49
2025-09-26,249400.0,250000.0,242000.0,16,197
2025-09-27,246671.4,289500.0,55915.0,15,43
2025-09-28,143690.94,289450.0,56210.0,9,32
2025-09-29,130751.43,288900.0,56360.0,10,28
2025-09-30,216267.5,289900.0,56660.0,14,32
2025-10-01,210542.5,289900.0,56805.0,15,24
2025-10-02,56999.05,57065.0,56990.0,9,21
2025-10-03,57243.85,57250.0,57200.0,6,13
2025-10-04,150185.4,289600.0,57340.0,13,50
2025-10-05,249756.17,289200.0,57420.0,17,47
2025-10-06,134566.67,288900.0,57550.0,6,9
2025-10-07,169506.19,288800.0,57630.0,10,21
2025-10-08,105378.5,248900.0,57730.0,12,20
2025-10-09,145586.67,250000.0,57890.0,8,21
2025-10-10,265621.0,288700.0,58060.0,8,20
2025-10-11,168949.26,288300.0,58090.0,11,27
2025-10-12,156832.5,288300.0,58230.0,11,28
2025-10-13,256922.05,288400.0,58340.0,12,39
2025-10-14,184412.5,288300.0,100800.0,10,24
2025-10-15,288400.0,288400.0,288400.0,14,238
2025-10-16,163794.44,288300.0,102200.0,12,18
2025-10-17,234246.67,280000.0,103600.0,9,15
2025-10-18,162877.78,279400.0,104650.0,8,18
2025-10-19,182872.22,279300.0,106050.0,7,18
2025-10-20,170081.82,278800.0,107900.0,13,33
2025-10-21,109193.33,109600.0,108400.0,7,15
2025-10-22,174233.33,277400.0,109700.0,11,39
2025-10-23,155990.91,277200.0,110500.0,6,11
2025-10-24,217876.32,276700.0,111000.0,10,38
2025-10-25,182827.27,276800.0,111500.0,14,44
2025-10-26,251100.0,276800.0,112000.0,10,32
2025-10-27,163327.59,276600.0,112100.0,12,29
2025-10-28,211375.56,276700.0,113300.0,13,45
2025-10-29,189528.57,276900.0,113900.0,9,28
2025-10-30,219138.71,276900.0,114100.0,9,31
2025-10-31,204793.75,276500.0,114400.0,8,16
2025-11-01,221106.67,273100.0,114500.0,8,15
2025-11-02,262311.11,276300.0,115100.0,11,36
2025-11-03,171315.38,250000.0,115500.0,10,13
2025-11-04,164796.43,276000.0,125100.0,23,56
2025-11-05,241850.0,276100.0,125500.0,5,22
2025-11-06,196378.95,274700.0,125900.0,11,19
2025-11-07,256918.0,274800.0,126150.0,12,50
2025-11-08,166872.73,274550.0,126500.0,13,22
2025-11-09,203485.0,274000.0,126700.0,16,40
2025-11-10,171305.0,274400.0,127000.0,14,40
2025-11-11,174273.17,274500.0,127600.0,14,41
2025-11-12,206653.57,274400.0,128500.0,11,28
2025-11-13,189537.5,274400.0,128800.0,9,24
2025-11-14,144106.67,274500.0,129600.0,7,30
