date,average,highest,lowest,order_count,volume
2025-05-26,28884999.97,44760000.0,13009999.93,2,2
2025-05-28,44710000.0,44710000.0,44710000.0,1,1
2025-05-29,23013333.33,42990000.0,13025000.0,3,3
2025-05-30,25868571.43,43010000.0,13020000.0,5,7
2025-05-31,42982500.0,42990000.0,42980000.0,2,4
2025-06-03,42885000.0,42890000.0,42880000.0,2,2
2025-06-04,27545000.0,42050000.0,13040000.0,2,2
2025-06-05,27785000.0,42490000.0,13080000.0,2,2
2025-06-08,13191428.57,13220000.0,13180000.0,5,7
2025-06-10,13280000.0,13280000.0,13280000.0,1,2
2025-06-11,41555000.0,41560000.0,41550000.0,2,2
2025-06-12,41545000.0,41550000.0,41540000.0,2,2
2025-06-14,22915000.0,32500000.0,13330000.0,2,2
2025-06-18,22670000.0,31980000.0,13360000.0,2,2
2025-06-19,21180000.0,29000000.0,13360000.0,2,2
2025-06-21,13372500.0,13380000.0,13370000.0,3,4
2025-06-22,31970000.0,31970000.0,31970000.0,1,1
2025-06-24,30980000.0,31960000.0,30000000.0,2,2
2025-06-25,18032500.0,31880000.0,13420000.0,4,4
2025-06-27,13410000.0,13410000.0,13410000.0,1,1
2025-06-30,13380000.0,13380000.0,13380000.0,1,1
2025-07-01,29950000.0,29950000.0,29950000.0,1,1
2025-07-05,27186666.67,29950000.0,13380000.0,5,6
2025-07-07,20685000.0,27990000.0,13380000.0,2,2
2025-07-10,13403333.33,13410000.0,13400000.0,3,3
2025-07-12,17022500.0,27850000.0,13410000.0,4,4
2025-07-13,24532222.22,28000000.0,13360000.0,14,18
2025-07-15,31920000.0,31920000.0,31920000.0,1,1
2025-07-17,31920000.0,31920000.0,31920000.0,1,1
2025-07-18,22645000.0,31920000.0,13370000.0,2,2
2025-07-20,13360000.0,13360000.0,13360000.0,1,1
2025-07-21,19543333.33,31910000.0,13360000.0,2,3
2025-07-24,31920000.0,31920000.0,31920000.0,1,3
2025-07-27,29990000.0,29990000.0,29990000.0,1,1
2025-07-29,13620000.0,13620000.0,13620000.0,1,1
2025-07-30,28980000.0,28980000.0,28980000.0,1,1
2025-08-02,28930000.0,28930000.0,28930000.0,1,4
2025-08-03,13680000.0,13680000.0,13680000.0,1,1
2025-08-04,28855000.0,28860000.0,28850000.0,2,2
2025-08-06,13692500.0,13700000.0,13690000.0,2,4
2025-08-07,13690000.0,13690000.0,13690000.0,1,2
2025-08-08,27670000.0,27670000.0,27670000.0,1,3
2025-08-09,27490000.0,27490000.0,27490000.0,1,2
2025-08-10,20595000.0,27490000.0,13700000.0,2,2
