date,average,highest,lowest,order_count,volume
2025-05-21,125000.0,125000.0,125000.0,1,51
2025-05-22,125000.0,125000.0,125000.0,1,850
2025-05-23,99470.0,99470.0,99470.0,1,8
2025-05-24,125000.0,125000.0,125000.0,2,418
2025-05-25,99490.0,99490.0,99490.0,1,1
2025-05-27,125000.0,125000.0,125000.0,1,1700
2025-05-29,99620.0,99620.0,99620.0,1,7
2025-05-30,120000.0,120000.0,120000.0,2,1217
2025-05-31,199900.0,199900.0,199900.0,1,100
2025-06-01,99930.0,99930.0,99930.0,1,16
2025-06-03,1500000.0,1500000.0,1500000.0,1,100
2025-06-06,107200.0,107200.0,107200.0,1,374
2025-06-08,108500.0,108500.0,108500.0,2,1269
2025-06-09,110600.0,110600.0,110600.0,1,930
2025-06-11,150000.0,150000.0,150000.0,1,50
2025-06-13,140000.0,140000.0,140000.0,3,102
2025-06-17,133950.0,140000.0,130000.0,4,118
2025-06-18,130000.0,130000.0,130000.0,1,2
2025-06-21,117400.0,117400.0,117400.0,2,41
2025-06-23,150000.0,150000.0,150000.0,2,2529
2025-06-25,120700.0,120700.0,120700.0,1,370
2025-06-27,140800.0,150000.0,140800.0,4,836
2025-06-29,149900.0,149900.0,149900.0,2,859
2025-06-30,149900.0,149900.0,149900.0,1,201
2025-07-01,130100.0,130100.0,130100.0,3,286
2025-07-05,149800.0,149800.0,149800.0,2,1005
2025-07-08,112600.0,112600.0,112600.0,2,750
2025-07-09,112600.0,112600.0,112600.0,1,2
2025-07-10,112600.0,112600.0,112600.0,2,69
2025-07-11,90000.0,90000.0,90000.0,8,5486
2025-07-12,90000.0,90000.0,90000.0,5,4534
2025-07-16,89990.0,89990.0,89990.0,1,75
2025-07-19,64230.0,64230.0,64230.0,2,54
2025-07-23,89930.0,89930.0,89930.0,1,1
2025-07-27,77990.4,78000.0,77990.0,2,25
2025-07-28,78000.0,78000.0,78000.0,2,1700
2025-07-30,78000.0,78000.0,78000.0,3,11200
2025-07-31,78000.0,78000.0,78000.0,2,850
2025-08-02,78000.0,78000.0,78000.0,2,2017
2025-08-03,78000.0,78000.0,78000.0,2,850
2025-08-04,78000.0,78000.0,78000.0,10,8381
2025-08-05,78000.0,78000.0,78000.0,1,1700
2025-08-06,78000.0,78000.0,78000.0,10,10900
2025-08-11,74000.0,74000.0,74000.0,1,150
2025-08-12,77990.0,77990.0,77990.0,1,165
2025-08-13,74000.0,74000.0,74000.0,2,1668
2025-08-15,78000.0,78000.0,78000.0,4,2546
2025-08-16,80000.0,80000.0,80000.0,2,9232
2025-08-17,80000.0,80000.0,80000.0,2,9146
2025-08-18,73000.0,73000.0,73000.0,4,5030
2025-08-20,83000.0,83000.0,83000.0,1,4500
2025-08-21,83000.0,83000.0,83000.0,3,2886
2025-08-22,83000.0,83000.0,83000.0,2,1411
2025-08-23,82800.0,82800.0,82800.0,2,690
2025-08-25,82990.0,82990.0,82990.0,1,850
2025-08-26,82990.0,82990.0,82990.0,3,2550
2025-08-27,83000.0,83000.0,83000.0,5,4314
2025-08-28,82000.0,82000.0,82000.0,1,3
2025-08-29,82000.0,82000.0,82000.0,3,2070
2025-08-30,88000.0,88000.0,88000.0,1,850
2025-08-31,88000.0,88000.0,88000.0,1,1000
2025-09-02,87000.0,87000.0,87000.0,3,1560
2025-09-03,87000.0,87000.0,87000.0,2,1500
2025-09-04,87000.0,87000.0,87000.0,2,3768
2025-09-08,88000.0,88000.0,88000.0,1,340
2025-09-10,88000.0,88000.0,88000.0,1,340
2025-09-11,88000.0,88000.0,88000.0,1,2050
2025-09-13,88000.0,88000.0,88000.0,1,3368
2025-09-14,88000.0,88000.0,88000.0,6,11320
2025-09-16,88000.0,88000.0,88000.0,4,15175
2025-09-17,88000.0,88000.0,88000.0,2,897
2025-09-19,88000.0,88000.0,88000.0,3,4250
2025-09-20,75130.0,75130.0,75130.0,2,4000
2025-09-21,89000.0,89000.0,89000.0,5,6700
2025-09-22,89000.0,89000.0,89000.0,4,10200
2025-09-23,89000.0,89000.0,89000.0,1,6000
2025-09-24,89000.0,89000.0,89000.0,3,3288
2025-09-25,89000.0,89000.0,89000.0,2,1712
2025-09-26,89000.0,89000.0,89000.0,6,3415
2025-09-27,89970.0,89970.0,89970.0,4,4038
2025-09-28,75260.0,75260.0,75260.0,1,1
2025-10-13,75800.0,75800.0,75800.0,1,2
2025-10-14,75900.0,75900.0,75900.0,1,30
2025-10-21,76190.0,76190.0,76190.0,1,48
2025-10-22,76280.0,76280.0,76280.0,1,5
2025-10-26,150000.0,150000.0,150000.0,2,300
2025-10-29,76500.0,76500.0,76500.0,1,420
2025-10-30,149000.0,149000.0,149000.0,1,4
2025-10-31,148900.0,148900.0,148900.0,1,1
2025-11-02,150000.0,150000.0,150000.0,4,821
2025-11-06,1000000.0,1000000.0,1000000.0,1,10
2025-11-07,76540.0,76540.0,76530.0,4,821
2025-11-09,176400.0,176400.0,176400.0,1,17
2025-11-10,176400.0,176400.0,176400.0,5,1574
