date,average,highest,lowest,order_count,volume
2025-05-20,11026956.52,11040000.0,11020000.0,28,46
2025-05-21,10983836.73,11030000.0,9894000.0,25,49
2025-05-22,11175762.71,11290000.0,11040000.0,39,59
2025-05-23,11370000.0,11370000.0,11370000.0,47,119
2025-05-24,11390296.3,11430000.0,11370000.0,38,81
2025-05-25,11372531.25,11420000.0,9896000.0,40,64
2025-05-26,11188700.0,11420000.0,9894000.0,27,40
2025-05-27,11423285.71,11430000.0,11420000.0,42,70
2025-05-28,14665084.34,16970000.0,11810000.0,45,83
2025-05-29,16129940.48,16720000.0,9917500.0,53,84
2025-05-30,14462967.74,16180000.0,9919000.0,33,62
2025-05-31,16067903.23,16080000.0,16030000.0,49,62
2025-06-01,15721296.3,15940000.0,11040000.0,37,54
2025-06-02,15060851.06,15470000.0,11210000.0,26,47
2025-06-03,14152857.14,14690000.0,11410000.0,37,49
2025-06-04,14064385.96,14250000.0,14015000.0,41,57
2025-06-05,13850000.0,13980000.0,13795000.0,56,120
2025-06-06,13310224.72,13720000.0,12440000.0,52,89
2025-06-07,13148666.67,13380000.0,12970000.0,24,30
2025-06-08,12417678.57,12550000.0,11450000.0,34,56
2025-06-09,11674125.0,11835000.0,11440000.0,35,80
2025-06-10,11587017.54,11675000.0,11540000.0,35,57
2025-06-11,11518412.7,11540000.0,11000000.0,38,63
2025-06-12,10450000.0,10450000.0,10450000.0,39,138
2025-06-13,11371463.41,11440000.0,10170000.0,23,41
2025-06-14,11333275.86,11350000.0,11300000.0,34,58
2025-06-15,11121346.15,11210000.0,11100000.0,38,52
2025-06-16,11026250.0,11080000.0,11000000.0,36,80
2025-06-17,10938615.38,10950000.0,10910000.0,22,65
2025-06-18,10904700.0,10930000.0,9918000.0,26,40
2025-06-19,10909428.57,10930000.0,10200000.0,41,70
2025-06-20,10945934.07,10990000.0,10920000.0,39,91
2025-06-21,10914933.33,10980000.0,10910000.0,31,75
2025-06-22,10900561.8,10930000.0,10870000.0,35,89
2025-06-23,10782307.69,10860000.0,10430000.0,37,65
2025-06-24,10657197.8,10800000.0,10420000.0,38,91
2025-06-25,10539283.02,10650000.0,9899000.0,24,53
2025-06-26,10557058.82,10565000.0,10530000.0,25,34
2025-06-27,10475627.45,10510000.0,9899000.0,33,51
2025-06-28,10594383.56,10600000.0,10590000.0,43,73
2025-06-29,10279236.11,10570000.0,9899000.0,38,72
2025-06-30,9553940.0,10580000.0,6107000.0,27,50
2025-07-01,9559548.39,10370000.0,6135000.0,20,31
2025-07-02,10363035.71,10370000.0,10360000.0,36,56
2025-07-03,9598707.32,10360000.0,7301000.0,24,41
2025-07-04,10224909.09,10340000.0,10040000.0,29,55
2025-07-05,10322244.9,10340000.0,10320000.0,26,49
2025-07-06,10451860.0,10620000.0,10340000.0,53,100
2025-07-07,10539527.27,10600000.0,6914000.0,33,55
2025-07-08,10511200.0,10580000.0,6936000.0,30,55
2025-07-09,10159071.43,10530000.0,6954000.0,26,42
2025-07-10,10276178.57,10540000.0,6961500.0,21,28
2025-07-11,10213447.37,10460000.0,6987000.0,43,76
2025-07-12,10391583.33,10560000.0,7005000.0,39,72
2025-07-13,10326014.08,10530000.0,7011000.0,32,71
2025-07-14,10334456.52,10410000.0,10000000.0,25,46
2025-07-15,10030328.36,10170000.0,7037000.0,30,67
2025-07-16,10091212.12,10100000.0,10000000.0,22,33
2025-07-17,10084146.34,10100000.0,10070000.0,20,41
2025-07-18,9908533.33,10040000.0,7082000.0,25,45
2025-07-19,9963386.36,9997000.0,7088000.0,32,88
2025-07-20,9831986.3,9989000.0,7120000.0,45,73
2025-07-21,9416380.95,9953000.0,7155000.0,28,63
2025-07-22,9894320.0,9950000.0,7183000.0,21,50
2025-07-23,9788578.13,9947000.0,7199000.0,39,64
2025-07-24,9944000.0,9944000.0,9944000.0,27,118
2025-07-25,9796961.54,9939000.0,9749500.0,19,26
2025-07-26,9549287.36,9748000.0,9498000.0,42,87
2025-07-27,9498000.0,9498000.0,9497000.0,48,107
2025-07-28,9497886.36,9498000.0,9497000.0,33,44
2025-07-29,9497850.75,9498000.0,9497000.0,31,67
2025-07-30,9438972.22,9498000.0,7394000.0,24,36
2025-07-31,9423421.05,9497000.0,7404000.0,26,57
2025-08-01,9490043.48,9495000.0,9486000.0,28,46
2025-08-02,9332393.94,9472000.0,7429000.0,38,66
2025-08-03,9442381.82,9448000.0,9439000.0,36,55
2025-08-04,9352883.72,9400000.0,9346000.0,21,43
2025-08-05,9342215.19,9343000.0,9342000.0,33,79
2025-08-06,9338840.58,9339000.0,9337000.0,39,69
2025-08-07,9335000.0,9335000.0,9335000.0,28,142
2025-08-08,9291897.96,9332000.0,7352000.0,30,49
2025-08-09,9326948.72,9331000.0,9322000.0,31,78
2025-08-10,9292730.16,9317000.0,7818000.0,29,63
2025-08-11,9212444.44,9293500.0,7834000.0,20,36
2025-08-12,9249729.41,9264500.0,7836000.0,31,85
2025-08-13,9243952.38,9252000.0,9235000.0,29,42
2025-08-14,9168647.06,9216000.0,7923000.0,33,51
2025-08-15,9191245.9,9212000.0,7960000.0,35,61
2025-08-16,9200000.0,9202000.0,9197000.0,23,142
2025-08-17,9188106.06,9191000.0,9184000.0,36,66
2025-08-18,9103103.9,9174000.0,8495000.0,31,77
2025-08-19,8702803.03,8994000.0,8007000.0,24,66
2025-08-20,8922340.43,8988000.0,8260000.0,24,47
2025-08-21,8943672.73,8961000.0,8024000.0,32,55
2025-08-22,8027000.0,8952000.0,8026000.0,44,181
2025-08-23,8915487.8,8936000.0,8024000.0,44,82
2025-08-24,8904788.73,8922000.0,8900000.0,33,71
2025-08-25,8030000.0,8032000.0,8029000.0,25,136
2025-08-26,8632142.86,8857000.0,8028000.0,32,70
2025-08-27,8718263.89,8828000.0,8025000.0,25,72
2025-08-28,8686650.0,8806000.0,8025000.0,13,20
2025-08-29,7929000.0,7929000.0,7929000.0,36,168
2025-08-30,8306666.67,8735000.0,7929000.0,22,57
2025-08-31,8653987.01,8663000.0,8651000.0,32,77
2025-09-01,7284274.51,8617000.0,3527000.0,22,51
2025-09-02,8214785.71,8224000.0,8207000.0,16,28
2025-09-03,8187000.0,8187000.0,8187000.0,25,135
2025-09-04,8126511.63,8137000.0,8121000.0,22,43
2025-09-05,7877722.22,8087000.0,5539000.0,23,54
2025-09-06,7928762.71,8012000.0,5564000.0,39,59
2025-09-07,7888000.0,7892000.0,7883000.0,39,119
2025-09-08,7888066.67,7890000.0,7888000.0,20,30
2025-09-09,7891000.0,7891000.0,7891000.0,28,152
2025-09-10,7865366.67,7873000.0,7859000.0,19,30
2025-09-11,7850137.93,7856000.0,7846000.0,23,29
2025-09-12,7799000.0,7828000.0,7797000.0,43,102
2025-09-13,7742561.8,7828000.0,7497000.0,29,89
2025-09-14,7778964.91,7825000.0,7499000.0,32,57
2025-09-15,7790075.47,7819000.0,6295000.0,31,53
2025-09-16,7809451.61,7810000.0,7808000.0,23,31
2025-09-17,7807461.54,7808000.0,7806500.0,25,39
2025-09-18,7640352.94,7807000.0,6391500.0,32,68
2025-09-19,7762393.94,7805000.0,6402000.0,24,33
2025-09-20,7802850.0,7805000.0,7798000.0,41,80
2025-09-21,7766609.2,7797000.0,6465500.0,37,87
2025-09-22,7793610.53,7794000.0,7790000.0,27,95
2025-09-23,7698407.41,7797000.0,6473000.0,25,54
2025-09-24,7796224.14,7797000.0,7796000.0,35,58
2025-09-25,7398140.0,7796000.0,7001000.0,31,100
2025-09-26,7795634.92,7796000.0,7795000.0,26,63
2025-09-27,7760735.63,7813000.0,7600000.0,44,87
2025-09-28,7826000.0,7826000.0,7826000.0,42,160
2025-09-29,7934747.37,8758000.0,7057000.0,29,95
2025-09-30,8749000.0,8750000.0,8745000.0,35,147
2025-10-01,8688586.21,8746000.0,7074000.0,29,58
2025-10-02,8742019.61,8744000.0,8739000.0,25,51
2025-10-03,8730605.26,8737500.0,8729000.0,27,38
2025-10-04,8699727.27,8700000.0,8699000.0,36,55
2025-10-05,8550000.0,8587000.0,7106000.0,48,186
2025-10-06,8500000.0,8577000.0,7095000.0,48,171
2025-10-07,8572753.25,8573500.0,8572000.0,33,77
2025-10-08,8577152.17,8579000.0,8573000.0,27,46
2025-10-09,8248583.33,8567000.0,6002000.0,31,48
2025-10-10,8554885.25,8559000.0,8544000.0,33,61
2025-10-11,8538328.57,8543000.0,8537000.0,40,70
2025-10-12,8532343.75,8537000.0,8530000.0,42,96
2025-10-13,8420279.07,8527000.0,8371000.0,36,86
2025-10-14,8384104.48,8388000.0,8383000.0,32,67
2025-10-15,8134666.67,8361000.0,6073000.0,32,60
2025-10-16,8354602.41,8356500.0,8351000.0,35,83
2025-10-17,8350906.98,8352000.0,8350000.0,24,43
2025-10-18,8293094.59,8350000.0,6305500.0,43,74
2025-10-19,8338039.22,8344000.0,8332000.0,33,51
2025-10-20,8327666.67,8330000.0,8325000.0,35,72
2025-10-21,8215553.57,8319000.0,6382000.0,37,56
2025-10-22,8200264.71,8313000.0,6395500.0,26,34
2025-10-23,8284213.33,8311000.0,6405000.0,35,75
2025-10-24,7932213.11,8303000.0,6424000.0,31,61
2025-10-25,8278000.0,8278000.0,8275000.0,54,114
2025-10-26,8153767.44,8271000.0,6584000.0,28,43
2025-10-27,7868103.45,8265000.0,6614000.0,33,58
2025-10-28,7973200.0,8262000.0,6618000.0,25,40
2025-10-29,8238344.83,8240000.0,8236000.0,33,58
2025-10-30,8230687.5,8234000.0,8227000.0,33,64
2025-10-31,8217266.67,8225000.0,8214000.0,28,45
2025-11-01,8203282.05,8210000.0,8200000.0,31,39
2025-11-02,8154235.29,8187000.0,8090000.0,33,51
2025-11-03,8168648.65,8175000.0,8166000.0,24,37
2025-11-04,8130305.26,8159000.0,7713500.0,37,95
2025-11-05,8151500.0,8158500.0,8149000.0,32,58
2025-11-06,8106761.9,8141000.0,6722000.0,29,42
2025-11-07,8130173.91,8136000.0,8128000.0,35,46
2025-11-08,8075652.78,8115000.0,7500000.0,51,72
2025-11-09,7804010.42,8091000.0,7500000.0,38,96
2025-11-10,8044820.51,8075000.0,6883000.0,27,39
2025-11-11,8015418.6,8070500.0,7973000.0,33,43
2025-11-12,7636425.29,7954000.0,6888000.0,50,87
2025-11-13,7599814.81,7911000.0,6927000.0,31,54
2025-11-14,7874000.0,7881000.0,7813000.0,59,102
