date,average,highest,lowest,order_count,volume
2025-05-20,1668000.0,1668000.0,1668000.0,1,3
2025-05-21,1637000.0,1638000.0,1636000.0,4,4
2025-05-22,1628250.0,1630000.0,1623000.0,2,4
2025-05-24,1607400.0,1610000.0,1607000.0,7,10
2025-05-25,1591000.0,1591000.0,1591000.0,2,2
2025-05-26,1580200.0,1581000.0,1580000.0,2,5
2025-05-27,1572000.0,1572000.0,1572000.0,1,1
2025-05-28,1566500.0,1567000.0,1566000.0,5,6
2025-05-29,1561466.67,1562000.0,1561000.0,6,15
2025-05-30,1556333.33,1557000.0,1555000.0,2,3
2025-05-31,1552750.0,1553000.0,1552000.0,4,4
2025-06-01,1549000.0,1552000.0,1546000.0,2,2
2025-06-02,1536500.0,1542000.0,1500000.0,3,8
2025-06-03,1490500.0,1491000.0,1490000.0,2,2
2025-06-04,1399000.0,1399000.0,1399000.0,1,2
2025-06-05,1380000.0,1380000.0,1380000.0,1,1
2025-06-06,1378166.67,1380000.0,1377000.0,11,60
2025-06-08,1371000.0,1371000.0,1371000.0,1,1
2025-06-10,1359166.67,1361000.0,1356000.0,4,6
2025-06-11,959000.0,959000.0,959000.0,1,2
2025-06-12,1299666.67,1308000.0,1295500.0,3,3
2025-06-13,1289000.0,1289000.0,1289000.0,2,2
2025-06-16,1247000.0,1247000.0,1247000.0,1,1
2025-06-17,1243000.0,1243000.0,1243000.0,1,3
2025-06-18,317645.33,1230000.0,0.01,6,31
2025-06-19,1230000.0,1230000.0,1230000.0,1,1
2025-06-20,1209500.0,1211000.0,1208000.0,2,2
2025-06-22,1197000.0,1197000.0,1197000.0,1,2
2025-06-23,1194333.33,1195000.0,1194000.0,3,3
2025-06-24,1189000.0,1189000.0,1189000.0,1,1
2025-06-25,1173000.0,1173000.0,1173000.0,1,1
2025-06-26,1162000.0,1162000.0,1162000.0,1,1
2025-06-27,642778.22,1158000.0,1.0,7,9
2025-06-28,1135000.0,1135000.0,1135000.0,1,2
2025-06-30,1121333.33,1124000.0,1120000.0,2,3
2025-07-02,1104500.0,1113000.0,1079000.0,3,4
2025-07-04,5.0,5.0,5.0,1,1
2025-07-05,1062846.15,1063500.0,1062000.0,4,13
2025-07-06,1059666.67,1060000.0,1059000.0,2,3
2025-07-07,1057000.0,1057000.0,1057000.0,2,2
2025-07-08,1045000.0,1045000.0,1045000.0,1,2
2025-07-09,1040000.0,1040000.0,1040000.0,4,4
2025-07-10,1025000.0,1025000.0,1025000.0,1,1
2025-07-12,1014000.0,1014000.0,1014000.0,1,1
2025-07-13,999166.67,1009000.0,950000.0,2,6
2025-07-14,998300.0,998300.0,998300.0,2,9
2025-07-15,536874.07,997800.0,500000.0,3,27
2025-07-16,997400.0,997400.0,997400.0,1,2
2025-07-17,5.0,5.0,5.0,1,1
2025-07-18,996762.5,996800.0,996600.0,5,8
2025-07-19,996200.0,996200.0,996200.0,2,3
2025-07-20,996025.0,996100.0,996000.0,2,4
2025-07-21,995650.0,995800.0,995500.0,2,2
2025-07-22,995300.0,995300.0,995300.0,1,4
2025-07-23,954933.33,955000.0,954800.0,3,3
2025-07-24,985513.79,995300.0,954800.0,8,29
2025-07-25,995839.62,996700.0,995500.0,8,53
2025-07-26,996383.33,996400.0,996300.0,4,6
2025-07-27,996050.0,996100.0,996000.0,2,2
2025-07-28,984385.71,995900.0,955600.0,4,7
2025-07-29,985637.5,995650.0,955600.0,6,8
2025-07-30,995650.0,995700.0,995600.0,4,16
2025-07-31,993460.0,995800.0,984100.0,5,5
2025-08-01,984033.33,984100.0,984000.0,2,3
2025-08-02,983500.0,983500.0,983500.0,3,3
2025-08-04,982550.0,982600.0,982500.0,2,2
2025-08-05,982200.0,982200.0,982200.0,4,4
2025-08-06,982072.22,982100.0,982000.0,7,18
2025-08-07,981933.33,982000.0,981900.0,3,6
2025-08-08,982000.0,982000.0,982000.0,1,1
2025-08-11,981800.0,981800.0,981800.0,2,2
2025-08-12,981220.0,981500.0,980000.0,5,5
2025-08-13,981250.0,981500.0,981200.0,3,6
2025-08-14,981200.0,981200.0,981200.0,1,1
2025-08-15,981300.0,981300.0,981300.0,1,1
2025-08-16,981220.0,981300.0,981200.0,3,5
2025-08-17,925655.83,981000.0,5.0,7,18
2025-08-18,981000.0,981000.0,981000.0,1,1
2025-08-20,980800.0,980800.0,980800.0,1,2
2025-08-21,980740.0,980800.0,980700.0,2,5
2025-08-23,980600.0,980600.0,980600.0,4,7
2025-08-25,980300.0,980300.0,980300.0,4,9
2025-08-26,980416.67,980600.0,980300.0,4,6
2025-08-27,980500.0,980500.0,980500.0,1,1
2025-08-28,980500.0,980500.0,980500.0,1,1
2025-08-29,980500.0,980500.0,980500.0,2,3
2025-08-31,980300.0,980300.0,980300.0,1,1
2025-09-02,979850.0,979900.0,979800.0,2,2
2025-09-03,979500.0,979500.0,979500.0,1,1
2025-09-04,979400.0,979400.0,979400.0,1,1
2025-09-07,978940.0,979200.0,978800.0,4,20
2025-09-09,979100.0,979100.0,979100.0,1,2
2025-09-10,979100.0,979100.0,979100.0,1,1
2025-09-14,949300.0,949300.0,949300.0,1,1
2025-09-16,948900.0,948900.0,948900.0,1,1
2025-09-20,948300.0,948300.0,948300.0,1,1
2025-09-21,948200.0,948200.0,948200.0,2,2
2025-09-22,948100.0,948100.0,948100.0,1,1
2025-09-23,947600.0,947600.0,947600.0,1,1
2025-09-24,947600.0,947600.0,947600.0,1,1
2025-09-25,947300.0,947300.0,947300.0,1,1
2025-09-26,946900.0,946900.0,946900.0,2,4
2025-09-27,946433.33,946500.0,946300.0,2,3
2025-09-28,945433.33,946000.0,945000.0,7,9
2025-10-02,540359.29,945600.0,5.0,5,7
2025-10-03,945700.0,945700.0,945700.0,1,1
2025-10-04,945700.0,945700.0,945700.0,1,1
2025-10-05,945520.0,945600.0,945500.0,4,5
2025-10-06,945212.5,945300.0,945100.0,3,8
2025-10-08,945060.0,945100.0,945000.0,4,5
2025-10-11,944800.0,944800.0,944800.0,1,1
2025-10-12,944800.0,944800.0,944800.0,1,1
2025-10-13,944800.0,944800.0,944800.0,1,4
2025-10-14,944700.0,944700.0,944700.0,1,2
2025-10-18,944625.0,944700.0,944600.0,3,4
2025-10-19,944800.0,944800.0,944800.0,2,10
2025-10-21,944600.0,944600.0,944600.0,1,1
2025-10-22,937271.43,939400.0,934400.0,4,7
2025-10-23,939585.71,939600.0,939500.0,3,14
2025-10-24,939550.0,939600.0,939500.0,4,4
2025-10-25,939140.0,939350.0,939000.0,4,10
2025-10-26,939298.0,939600.0,939200.0,6,50
2025-10-27,939300.0,939300.0,939300.0,1,1
2025-10-29,930200.0,930200.0,930200.0,3,12
2025-10-30,1500.0,1500.0,1500.0,1,6
