date,average,highest,lowest,order_count,volume
2025-05-20,93.48,93.49,90.0,207,650815
2025-05-21,93.47,93.47,93.47,224,1135463
2025-05-22,93.27,93.28,93.24,180,1134409
2025-05-23,92.99,93.24,92.98,207,799808
2025-05-24,93.29,93.29,93.29,275,1040925
2025-05-25,93.13,93.13,93.13,245,1631952
2025-05-26,93.13,93.13,93.13,284,1408852
2025-05-27,93.19,93.19,93.19,212,1801430
2025-05-28,93.99,94.0,93.97,217,1620739
2025-05-29,93.99,93.99,93.99,239,1348812
2025-05-30,86.13,86.13,86.13,248,3084132
2025-05-31,93.83,93.83,93.83,278,2240386
2025-06-01,93.71,93.76,93.7,271,1463295
2025-06-02,93.6,93.7,93.58,220,624123
2025-06-03,93.56,93.56,93.56,226,1161764
2025-06-04,86.0,86.0,86.0,227,2830368
2025-06-05,93.32,93.32,63.49,214,871967
2025-06-06,93.3,93.33,93.29,237,897808
2025-06-07,93.29,93.29,93.29,337,3484184
2025-06-08,93.23,93.23,93.23,301,1059674
2025-06-09,92.69,93.22,73.72,215,1099116
2025-06-10,92.54,92.54,92.54,203,2463165
2025-06-11,92.53,92.54,92.52,197,733239
2025-06-12,92.51,92.54,92.49,226,834102
2025-06-13,91.74,91.74,91.74,230,1170903
2025-06-14,91.71,91.73,90.89,264,1612311
2025-06-15,91.72,91.72,91.72,261,3268799
2025-06-16,91.71,91.72,91.71,181,873721
2025-06-17,91.71,91.71,91.71,188,877037
2025-06-18,90.99,90.99,90.98,193,1078966
2025-06-19,89.98,89.99,89.98,207,624182
2025-06-20,81.04,81.04,81.04,182,1490751
2025-06-21,89.97,89.97,89.97,187,1250497
2025-06-22,89.98,89.99,89.98,276,1307678
2025-06-23,90.96,90.96,90.96,184,1087171
2025-06-24,81.36,81.36,81.36,188,1757283
2025-06-25,90.96,90.98,81.39,189,1175495
2025-06-26,90.74,90.75,81.38,204,619638
2025-06-27,81.36,81.36,81.36,223,5977440
2025-06-28,90.69,90.7,90.67,202,1285633
2025-06-29,90.67,90.68,75.61,262,1913220
2025-06-30,90.69,90.69,90.68,183,1037531
2025-07-01,69.9,75.6,60.0,206,7715857
2025-07-02,65.0,65.0,65.0,230,3275050
2025-07-03,51.0,59.93,40.02,208,4322649
2025-07-04,59.99,59.99,59.99,191,1406955
2025-07-05,70.0,70.0,70.0,209,2931708
2025-07-06,69.92,69.93,69.9,273,961438
2025-07-07,65.0,69.89,62.31,202,1646962
2025-07-08,64.99,65.0,62.31,191,5060260
2025-07-09,64.96,64.96,64.96,173,508376
2025-07-10,64.97,64.97,64.97,237,2895794
2025-07-11,64.96,64.96,64.95,177,609422
2025-07-12,64.92,64.92,64.92,182,854570
2025-07-13,58.0,58.0,58.0,221,3369004
2025-07-14,58.0,58.0,58.0,175,2490027
2025-07-15,64.89,64.9,64.88,199,990111
2025-07-16,64.87,64.87,64.87,159,474058
2025-07-17,62.0,62.0,62.0,187,1281561
2025-07-18,64.48,64.48,64.47,189,707406
2025-07-19,64.44,64.44,64.44,219,743887
2025-07-20,64.42,64.43,64.42,219,1455566
2025-07-21,64.45,64.45,64.45,186,1269157
2025-07-22,64.45,64.45,64.45,188,995744
2025-07-23,64.45,64.45,64.45,234,1211630
2025-07-24,64.48,64.48,64.48,205,639793
2025-07-25,64.46,64.46,64.46,207,752781
2025-07-26,64.43,64.44,64.42,228,1003474
2025-07-27,64.44,64.44,64.43,242,967528
2025-07-28,64.4,64.42,55.06,194,923017
2025-07-29,64.41,64.41,64.41,188,875070
2025-07-30,64.0,64.14,63.89,206,1280772
2025-07-31,64.13,64.13,64.13,179,610366
2025-08-01,64.14,64.16,64.13,196,630134
2025-08-02,64.15,64.17,55.1,209,954700
2025-08-03,64.13,64.13,64.13,191,1882775
2025-08-04,64.14,64.14,64.14,200,1491164
2025-08-05,64.11,64.12,58.52,171,936144
2025-08-06,64.09,64.09,64.09,170,817061
2025-08-07,64.15,64.15,64.15,166,1182858
2025-08-08,64.0,64.14,63.98,178,895540
2025-08-09,64.1,64.14,63.99,187,730471
2025-08-10,63.99,63.99,63.99,227,1517436
2025-08-11,63.95,63.96,63.95,199,688656
2025-08-12,63.9,63.9,63.9,170,727500
2025-08-13,63.8,63.8,63.8,223,1370090
2025-08-14,63.99,63.99,63.99,192,1081665
2025-08-15,63.99,63.99,63.99,159,767986
2025-08-16,63.99,64.0,63.0,241,1622799
2025-08-17,63.9,63.9,63.9,237,1198582
2025-08-18,63.99,64.0,61.14,218,1039788
2025-08-19,58.53,64.15,58.53,208,1657516
2025-08-20,64.15,64.15,64.15,186,769107
2025-08-21,64.13,64.14,64.13,185,1061669
2025-08-22,64.14,64.14,64.14,177,718477
2025-08-23,64.15,64.15,64.15,177,794757
2025-08-24,64.09,64.1,64.06,215,742579
2025-08-25,64.1,64.1,64.1,224,981645
2025-08-26,64.13,64.14,20.52,185,1755632
2025-08-27,64.0,64.0,64.0,190,573683
2025-08-28,64.13,64.13,64.13,168,740611
2025-08-29,64.1,64.1,64.1,239,710712
2025-08-30,64.13,64.13,64.13,243,1043775
2025-08-31,64.11,64.12,64.1,217,772514
2025-09-01,63.99,64.0,62.0,223,1575010
2025-09-02,62.0,63.95,61.36,174,597347
2025-09-03,61.35,61.35,61.35,160,733246
2025-09-04,61.26,61.29,28.09,199,1421761
2025-09-05,61.3,61.3,61.3,196,1554340
2025-09-06,59.97,59.97,59.97,200,987171
2025-09-07,61.28,61.28,61.28,233,1214682
