date,average,highest,lowest,order_count,volume
2025-05-20,34950000.0,41900000.0,28000000.0,2,2
2025-05-21,35000000.0,35000000.0,35000000.0,2,2
2025-05-22,36148000.0,40740000.0,35000000.0,5,5
2025-05-23,40475000.0,40730000.0,40220000.0,3,4
2025-05-24,39966666.67,39980000.0,39960000.0,3,3
2025-05-25,38456666.67,39390000.0,37990000.0,2,3
2025-05-26,36866666.67,37800000.0,35000000.0,3,3
2025-05-27,30825000.0,34950000.0,30000000.0,5,12
2025-05-28,33430000.0,34590000.0,30000000.0,4,8
2025-05-29,34505714.29,34520000.0,34480000.0,6,7
2025-05-30,34430000.0,34430000.0,34430000.0,6,7
2025-05-31,32926000.0,34410000.0,27000000.0,5,5
2025-06-01,34367500.0,34385000.0,34350000.0,4,4
2025-06-02,34328571.43,34330000.0,34320000.0,4,7
2025-06-03,33990000.0,33990000.0,33990000.0,1,2
2025-06-04,33990000.0,33990000.0,33990000.0,1,1
2025-06-05,33990000.0,33990000.0,33990000.0,3,3
2025-06-06,33890000.0,33990000.0,33490000.0,2,5
2025-06-07,33446666.67,33450000.0,33440000.0,3,3
2025-06-08,30836000.0,33390000.0,27000000.0,4,5
2025-06-09,33385000.0,33390000.0,33380000.0,2,2
2025-06-10,33300000.0,33300000.0,33300000.0,1,1
2025-06-11,32032000.0,33290000.0,27000000.0,5,10
2025-06-12,33291428.57,33300000.0,33290000.0,7,7
2025-06-13,33390000.0,33390000.0,33390000.0,6,6
2025-06-14,35675000.0,41930000.0,33990000.0,10,10
2025-06-15,41920000.0,41930000.0,41910000.0,2,2
2025-06-16,41883333.33,41890000.0,41880000.0,3,6
2025-06-17,41880000.0,41880000.0,41880000.0,2,2
2025-06-18,41883333.33,41890000.0,41880000.0,3,3
2025-06-19,41890000.0,41890000.0,41890000.0,1,1
2025-06-20,41905000.0,41910000.0,41890000.0,3,4
2025-06-21,41910000.0,41910000.0,41910000.0,1,1
2025-06-22,38455000.0,41910000.0,35000000.0,2,2
2025-06-23,40920000.0,40990000.0,40850000.0,2,2
2025-06-24,38582000.0,40970000.0,35000000.0,5,5
2025-06-25,41273750.0,41910000.0,40990000.0,9,16
2025-06-26,42895000.0,42900000.0,42890000.0,3,6
2025-06-27,42906000.0,42910000.0,42900000.0,3,5
2025-06-28,38784285.71,44290000.0,35000000.0,3,7
2025-06-29,44280000.0,44280000.0,44280000.0,3,3
2025-06-30,40136000.0,44270000.0,36000000.0,7,10
2025-07-01,44285000.0,44290000.0,44280000.0,2,2
2025-07-02,22697500.0,40130000.0,5265000.0,3,4
2025-07-03,44263333.33,44270000.0,44260000.0,3,3
2025-07-05,44182500.0,44190000.0,44180000.0,4,4
2025-07-06,41120000.0,44180000.0,35000000.0,3,3
2025-07-07,44163333.33,44170000.0,44160000.0,3,3
2025-07-08,44165000.0,44170000.0,44160000.0,2,8
2025-07-09,39585000.0,44170000.0,35000000.0,2,2
2025-07-10,44175000.0,44180000.0,44170000.0,4,4
2025-07-12,44224000.0,44290000.0,44180000.0,4,5
2025-07-13,44443000.0,45000000.0,35000000.0,6,10
2025-07-14,60846000.0,77000000.0,40130000.0,4,5
2025-07-15,44200000.0,44200000.0,44200000.0,1,1
2025-07-16,69918000.0,69920000.0,69900000.0,5,5
2025-07-17,69916000.0,69920000.0,69910000.0,5,5
2025-07-18,69930000.0,69940000.0,69920000.0,3,4
2025-07-19,69900000.0,69910000.0,69880000.0,2,3
2025-07-20,69816666.67,69820000.0,69810000.0,3,3
2025-07-21,57175454.55,69715000.0,50000000.0,5,11
2025-07-22,69213333.33,69660000.0,68990000.0,2,3
2025-07-23,68888000.0,68940000.0,68840000.0,3,5
2025-07-24,57976000.0,67940000.0,43020000.0,4,5
2025-07-25,66887142.86,66890000.0,66880000.0,2,7
2025-07-26,62980000.0,62980000.0,62980000.0,1,2
2025-07-27,53595833.33,59020000.0,49030000.0,6,12
2025-07-28,52100000.0,55250000.0,50000000.0,2,5
2025-07-29,51920000.0,52860000.0,49090000.0,3,4
2025-07-30,51235000.0,51970000.0,50990000.0,3,4
2025-07-31,49319090.91,50440000.0,49040000.0,5,11
2025-08-01,50410000.0,50410000.0,50410000.0,1,1
2025-08-02,48890000.0,48890000.0,48890000.0,1,2
2025-08-03,46875000.0,46890000.0,46860000.0,2,2
2025-08-04,42353333.33,44970000.0,41045000.0,3,3
2025-08-05,44740000.0,44780000.0,44730000.0,6,9
2025-08-07,43750000.0,43750000.0,43750000.0,1,1
2025-08-08,43155000.0,43175000.0,43150000.0,3,10
2025-08-09,41733636.36,43690000.0,41000000.0,4,11
2025-08-10,43603333.33,43620000.0,43595000.0,3,3
2025-08-11,41000000.0,41000000.0,41000000.0,1,2
2025-08-12,42070000.0,42070000.0,42070000.0,2,3
2025-08-13,41874000.0,42010000.0,41780000.0,5,5
2025-08-16,41482500.0,41490000.0,41480000.0,3,4
2025-08-17,41405000.0,41440000.0,41370000.0,2,2
2025-08-18,41346000.0,41350000.0,41330000.0,3,5
2025-08-20,41015000.0,41100000.0,40980000.0,4,4
2025-08-21,40920000.0,40920000.0,40920000.0,1,1
2025-08-22,40766000.0,40770000.0,40745000.0,4,5
2025-08-23,40840000.0,40840000.0,40840000.0,4,8
2025-08-24,41035333.33,41380000.0,40830000.0,9,15
2025-08-25,41370000.0,41370000.0,41370000.0,3,3
2025-08-26,39558000.0,41360000.0,23340000.0,6,10
2025-08-27,41208750.0,41380000.0,40900000.0,8,8
2025-08-28,41500000.0,41500000.0,41500000.0,2,2
2025-08-29,42820000.0,42820000.0,42820000.0,2,3
2025-08-30,42505000.0,42560000.0,42450000.0,2,2
2025-08-31,42356666.67,42430000.0,42320000.0,3,3
2025-09-01,42200000.0,42200000.0,42200000.0,1,1
2025-09-02,41820000.0,41820000.0,41820000.0,1,1
2025-09-03,41750000.0,41750000.0,41750000.0,1,10
2025-09-04,41500000.0,41500000.0,41500000.0,1,2
2025-09-05,41076666.67,41130000.0,40970000.0,2,3
2025-09-06,40620000.0,40620000.0,40620000.0,1,1
2025-09-07,40410000.0,40410000.0,40410000.0,1,2
2025-09-08,40260000.0,40260000.0,40260000.0,1,1
2025-09-09,34891666.67,34990000.0,34725000.0,6,6
2025-09-10,31330714.29,34700000.0,28020000.0,5,14
2025-09-11,31290000.0,33020000.0,28040000.0,4,7
2025-09-12,28887500.0,31770000.0,28000000.0,5,12
2025-09-13,31624444.44,31630000.0,31620000.0,2,9
2025-09-14,30502857.14,31500000.0,28040000.0,6,7
2025-09-15,30900000.0,30900000.0,30900000.0,1,1
2025-09-16,30857500.0,30870000.0,30845000.0,3,4
2025-09-17,30870000.0,30870000.0,30870000.0,2,9
2025-09-18,29840000.0,29840000.0,29840000.0,2,5
2025-09-19,28018333.33,28040000.0,28000000.0,3,6
2025-09-20,29490000.0,29490000.0,29490000.0,1,1
2025-09-21,29248000.0,29360000.0,29090000.0,3,5
2025-09-22,28063333.33,29065000.0,26060000.0,6,6
2025-09-23,25762500.0,27680000.0,20000000.0,4,4
2025-09-26,26941666.67,27130000.0,26000000.0,5,6
2025-09-27,24642500.0,24660000.0,24640000.0,4,4
2025-09-28,23653333.33,23980000.0,23000000.0,4,6
2025-09-29,23930588.24,23940000.0,23920000.0,5,17
2025-09-30,21955000.0,23910000.0,20000000.0,2,2
2025-10-02,23678888.89,23680000.0,23670000.0,7,9
2025-10-03,23604000.0,23670000.0,23500000.0,4,5
2025-10-04,23656666.67,23670000.0,23630000.0,4,6
2025-10-05,23650933.33,23670000.0,23610000.0,11,75
2025-10-06,23664444.44,23670000.0,23660000.0,7,9
2025-10-07,25748181.82,27270000.0,23670000.0,6,11
2025-10-08,31970000.0,31970000.0,31970000.0,3,8
2025-10-09,31850000.0,31900000.0,31660000.0,5,6
2025-10-10,31417272.73,31470000.0,31360000.0,7,11
2025-10-11,28986666.67,29940000.0,28950000.0,9,30
2025-10-12,27808333.33,27860000.0,27800000.0,5,6
2025-10-13,27620000.0,27650000.0,27605000.0,4,6
2025-10-14,27470000.0,27585000.0,27355000.0,4,4
2025-10-15,26728333.33,27280000.0,24000000.0,4,6
2025-10-16,25247142.86,26890000.0,24000000.0,4,7
2025-10-17,26771666.67,26810000.0,26760000.0,5,6
2025-10-18,26522307.69,26610000.0,26510000.0,11,13
2025-10-19,25168000.0,26370000.0,24000000.0,5,10
2025-10-20,26080000.0,26220000.0,25940000.0,3,4
2025-10-21,21348000.0,25805000.0,2583000.0,9,12
2025-10-22,25652500.0,25780000.0,25610000.0,3,8
2025-10-23,25420000.0,25420000.0,25420000.0,1,1
2025-10-24,19069000.0,25050000.0,1006000.0,3,4
2025-10-25,24915000.0,24950000.0,24850000.0,4,6
2025-10-26,15234400.0,24660000.0,1101000.0,4,5
2025-10-27,19203555.56,24430000.0,1101000.0,5,9
2025-10-28,24043333.33,24120000.0,23890000.0,3,3
2025-10-29,23584285.71,23695000.0,23540000.0,5,7
2025-11-01,18936666.67,18950000.0,18910000.0,4,6
2025-11-02,18860000.0,18890000.0,18750000.0,3,4
2025-11-03,18867500.0,19130000.0,18790000.0,7,12
2025-11-04,19130000.0,19130000.0,19130000.0,3,5
2025-11-05,19130000.0,19130000.0,19130000.0,3,4
2025-11-06,11160888.89,19120000.0,1227000.0,5,9
2025-11-07,19050000.0,19050000.0,19050000.0,4,5
2025-11-08,19010000.0,19010000.0,19010000.0,3,20
2025-11-09,18983333.33,19010000.0,18960000.0,8,9
2025-11-10,18975000.0,18980000.0,18960000.0,3,4
2025-11-11,18970000.0,18975000.0,18965000.0,3,3
2025-11-12,18490000.0,18980000.0,18000000.0,4,4
2025-11-13,18960000.0,18960000.0,18960000.0,2,3
2025-11-14,18960000.0,18960000.0,18960000.0,1,1
