date,average,highest,lowest,order_count,volume
2025-05-24,8905500.0,8906000.0,8905000.0,2,2
2025-05-28,8905000.0,8905000.0,8905000.0,1,1
2025-05-31,23450000.0,23450000.0,23450000.0,1,1
2025-06-05,21500000.0,21500000.0,21500000.0,1,1
2025-06-06,18713000.0,22000000.0,8902000.0,3,4
2025-06-09,22000000.0,22000000.0,22000000.0,1,1
2025-06-11,23490000.0,23490000.0,23490000.0,1,1
2025-06-12,23500000.0,23500000.0,23500000.0,1,1
2025-06-14,23500000.0,23500000.0,23500000.0,1,1
2025-06-15,23500000.0,23500000.0,23500000.0,1,1
2025-06-26,22910000.0,22910000.0,22910000.0,1,1
2025-07-01,23500000.0,23500000.0,23500000.0,1,1
2025-07-19,23300000.0,23300000.0,23300000.0,1,1
2025-07-30,23500000.0,23500000.0,23500000.0,1,3
2025-08-09,121800.0,121800.0,121800.0,1,3
2025-08-12,121800.0,121800.0,121800.0,1,1
2025-08-15,23490000.0,23490000.0,23490000.0,1,3
2025-08-21,22000000.0,22000000.0,22000000.0,1,1
2025-08-25,22000000.0,22000000.0,22000000.0,1,1
2025-08-26,0.02,0.02,0.02,1,1
2025-09-05,23280000.0,23280000.0,23280000.0,1,1
2025-09-08,23300000.0,23300000.0,23300000.0,1,1
2025-09-11,23480000.0,23480000.0,23480000.0,1,1
2025-09-12,23490000.0,23490000.0,23490000.0,1,1
2025-09-14,23500000.0,23500000.0,23500000.0,1,1
2025-09-24,2.58,2.58,2.58,1,1
2025-10-11,121500000.0,121500000.0,121500000.0,1,1
2025-10-21,119000000.0,119000000.0,119000000.0,1,2
2025-11-02,107000000.0,107000000.0,107000000.0,1,1
2025-11-09,2375000.0,2375000.0,2375000.0,1,1
2025-11-11,2377000.0,2377000.0,2377000.0,1,1
