date,average,highest,lowest,order_count,volume
2025-05-20,158800000.0,158800000.0,158800000.0,2,2
2025-05-21,161129411.76,171100000.0,157800000.0,14,17
2025-05-22,154442105.26,167900000.0,148000000.0,16,19
2025-05-23,156075000.0,157200000.0,149300000.0,12,12
2025-05-24,152518750.0,158600000.0,149300000.0,15,32
2025-05-25,161400000.0,165450000.0,158600000.0,5,5
2025-05-26,154375000.0,159900000.0,133900000.0,4,4
2025-05-27,162100000.0,164900000.0,159900000.0,9,12
2025-05-28,237380000.0,255000000.0,210950000.0,4,5
2025-05-29,168700000.0,228000000.0,141000000.0,4,4
2025-05-30,172693103.45,186500000.0,144450000.0,23,29
2025-05-31,208972727.27,217000000.0,159900000.0,11,11
2025-06-01,205437500.0,216000000.0,173250000.0,5,8
2025-06-02,209500000.0,215850000.0,148400000.0,10,11
2025-06-03,153780769.23,211800000.0,149850000.0,17,26
2025-06-04,163294117.65,184650000.0,145000000.0,16,17
2025-06-05,181900000.0,182500000.0,181300000.0,2,2
2025-06-06,169500000.0,173000000.0,167900000.0,11,14
2025-06-07,131741463.41,147000000.0,122800000.0,18,41
2025-06-08,150384615.38,162300000.0,146800000.0,10,13
2025-06-09,158133333.33,162100000.0,137550000.0,12,12
2025-06-10,149200000.0,163600000.0,138400000.0,16,19
2025-06-11,152833333.33,160000000.0,137550000.0,6,6
2025-06-12,161838461.54,162000000.0,160550000.0,9,13
2025-06-13,161637500.0,161700000.0,161000000.0,6,8
2025-06-14,157340000.0,161750000.0,139700000.0,5,5
2025-06-15,161466666.67,161700000.0,161350000.0,3,3
2025-06-16,147663636.36,160500000.0,140400000.0,10,11
2025-06-17,149125000.0,158750000.0,139500000.0,4,4
2025-06-18,149450000.0,158500000.0,140400000.0,2,2
2025-06-19,151683333.33,157350000.0,140450000.0,6,6
2025-06-20,142947826.09,153900000.0,137300000.0,12,23
2025-06-21,155571428.57,160100000.0,153600000.0,13,14
2025-06-22,156022222.22,160200000.0,137900000.0,6,9
2025-06-23,168300000.0,168300000.0,168300000.0,1,1
2025-06-24,155625000.0,168400000.0,142850000.0,4,4
2025-06-25,163711111.11,168200000.0,160000000.0,9,9
2025-06-26,157069230.77,167500000.0,145050000.0,13,13
2025-06-27,159000000.0,167200000.0,146800000.0,4,5
2025-06-28,167675000.0,167950000.0,167600000.0,5,8
2025-06-29,153558333.33,167200000.0,148100000.0,12,12
2025-06-30,167250000.0,167300000.0,167200000.0,2,2
2025-07-01,154425000.0,154500000.0,154400000.0,4,4
2025-07-02,158900000.0,167200000.0,154750000.0,3,3
2025-07-03,156480000.0,167300000.0,140300000.0,3,5
2025-07-04,153750000.0,166350000.0,141150000.0,4,4
2025-07-05,167320000.0,169700000.0,166500000.0,7,10
2025-07-06,149866666.67,173250000.0,141400000.0,11,15
2025-07-07,166445454.55,172500000.0,150200000.0,8,11
2025-07-08,169666666.67,169700000.0,169600000.0,3,3
2025-07-09,166725000.0,169700000.0,146000000.0,4,8
2025-07-10,158362500.0,169200000.0,147550000.0,8,8
2025-07-11,157166666.67,166400000.0,147500000.0,14,15
2025-07-12,163913333.33,166600000.0,145300000.0,12,15
2025-07-13,164166666.67,166600000.0,145800000.0,6,9
2025-07-14,146629411.76,166500000.0,145000000.0,14,17
2025-07-15,157618181.82,163800000.0,146600000.0,10,11
2025-07-16,159900000.0,163150000.0,146900000.0,5,5
2025-07-17,154933333.33,163000000.0,147100000.0,6,6
2025-07-18,158666666.67,162000000.0,132000000.0,7,9
2025-07-19,159575000.0,161900000.0,158800000.0,4,4
2025-07-20,145400000.0,158350000.0,133150000.0,8,8
2025-07-21,156300000.0,158000000.0,155450000.0,3,3
2025-07-22,153700000.0,154400000.0,153600000.0,5,7
2025-07-23,152433333.33,153300000.0,152000000.0,3,3
2025-07-24,145500000.0,150900000.0,134700000.0,3,3
2025-07-25,152560000.0,159950000.0,150000000.0,11,15
2025-07-26,159288888.89,162000000.0,137900000.0,9,9
2025-07-27,156050000.0,161850000.0,138650000.0,8,8
2025-07-28,164660000.0,168950000.0,161800000.0,5,5
2025-07-29,149184615.38,161900000.0,140150000.0,10,13
2025-07-30,160625000.0,161650000.0,144850000.0,12,16
2025-07-31,157711111.11,162900000.0,139550000.0,8,9
2025-08-01,163000000.0,163000000.0,163000000.0,4,4
2025-08-02,165022222.22,169950000.0,160000000.0,9,9
2025-08-03,151973333.33,169550000.0,145500000.0,15,15
2025-08-04,167921428.57,168050000.0,167800000.0,13,14
2025-08-05,167081818.18,167300000.0,166900000.0,7,11
2025-08-06,160925000.0,163900000.0,160450000.0,5,8
2025-08-07,135977083.33,145800000.0,130000000.0,24,48
2025-08-08,164975000.0,165200000.0,164400000.0,4,4
2025-08-09,138850000.0,164400000.0,113300000.0,2,2
2025-08-10,159275000.0,160400000.0,159000000.0,4,4
2025-08-11,157916666.67,158400000.0,157500000.0,5,6
2025-08-12,157280000.0,157300000.0,157200000.0,5,5
2025-08-13,153438888.89,156600000.0,128450000.0,14,18
2025-08-14,156820000.0,156900000.0,156800000.0,5,5
2025-08-15,152240000.0,156800000.0,134000000.0,5,5
2025-08-16,156787500.0,156800000.0,156700000.0,8,8
2025-08-17,144542105.26,145500000.0,139250000.0,15,19
2025-08-18,156450000.0,156600000.0,156400000.0,4,4
2025-08-19,153137500.0,156200000.0,136500000.0,7,8
2025-08-20,147909090.91,148700000.0,137650000.0,10,11
2025-08-21,147966666.67,148300000.0,138000000.0,11,12
2025-08-22,161457142.86,170000000.0,159100000.0,11,14
2025-08-23,163608333.33,169900000.0,159200000.0,9,12
2025-08-24,163590000.0,169800000.0,141150000.0,10,10
2025-08-25,163528571.43,169600000.0,144600000.0,16,21
2025-08-26,151023333.33,169300000.0,145000000.0,22,30
2025-08-27,160753846.15,167800000.0,145150000.0,11,13
2025-08-28,155258823.53,159300000.0,144350000.0,16,17
2025-08-29,159025000.0,159200000.0,158450000.0,6,8
2025-08-30,161569565.22,169600000.0,157900000.0,16,23
