date,average,highest,lowest,order_count,volume
2025-05-25,4382000.0,4382000.0,4382000.0,1,1
2025-05-30,4383000.0,4383000.0,4383000.0,1,1
2025-06-21,4383000.0,4383000.0,4383000.0,1,1
2025-06-22,4383000.0,4383000.0,4383000.0,1,1
2025-06-28,4383000.0,4383000.0,4383000.0,1,1
2025-06-29,4383000.0,4383000.0,4383000.0,1,1
2025-06-30,4383000.0,4383000.0,4383000.0,1,1
2025-07-04,4383000.0,4383000.0,4383000.0,1,1
2025-07-10,4383000.0,4383000.0,4383000.0,1,1
2025-08-04,9700000.0,9700000.0,9700000.0,1,1
2025-08-12,19710000.0,19710000.0,19710000.0,1,1
2025-08-14,19710000.0,19710000.0,19710000.0,1,1
2025-08-30,9750000.0,9750000.0,9750000.0,2,2
2025-09-01,9750000.0,9750000.0,9750000.0,1,1
2025-10-26,5500000.0,5500000.0,5500000.0,1,1
2025-10-27,5500000.0,5500000.0,5500000.0,1,1
2025-10-28,5500000.0,5500000.0,5500000.0,1,1
2025-11-02,5499000.0,5499000.0,5499000.0,1,3
2025-11-03,5500000.0,5500000.0,5500000.0,2,2
2025-11-12,5500000.0,5500000.0,5500000.0,1,1
