date,average,highest,lowest,order_count,volume
2025-06-01,630.9,630.9,630.9,1,1
2025-06-12,114900.0,114900.0,114900.0,1,100
2025-06-13,9999.0,9999.0,9999.0,1,2255
2025-06-19,632.5,632.5,632.5,1,656
2025-07-06,57600.0,57600.0,57600.0,2,286
2025-07-10,633.3,633.3,633.3,1,40
2025-07-12,633.3,633.3,633.3,1,46
2025-07-14,1000.0,1000.0,1000.0,1,100
2025-07-23,69490.0,69490.0,69490.0,1,1
2025-07-25,69500.0,69500.0,69500.0,1,1
2025-08-02,73632.94,100000.0,69500.0,3,75
2025-08-29,399900.0,399900.0,399900.0,1,1
2025-09-03,399900.0,399900.0,399900.0,1,245
2025-09-05,400000.0,400000.0,400000.0,1,308
2025-09-08,634.3,634.3,634.3,1,72
2025-09-29,634.3,634.3,634.3,1,1
2025-10-10,208100.0,208100.0,208100.0,1,14
2025-10-17,634.6,634.6,634.6,1,35
2025-10-23,35000.0,35000.0,35000.0,1,3877
2025-11-05,60000.0,60000.0,60000.0,1,1
2025-11-10,10000.0,10000.0,10000.0,1,4
