date,average,highest,lowest,order_count,volume
2025-05-23,4017.0,4017.0,4017.0,2,1796
2025-05-26,4017.0,4017.0,4017.0,1,447
2025-05-28,9990.0,9990.0,9990.0,3,11500
2025-05-29,4017.0,4017.0,4017.0,1,76
2025-05-30,4017.0,4017.0,4017.0,1,1268
2025-05-31,4018.0,4018.0,4018.0,2,191
2025-06-03,4023.0,4023.0,4023.0,1,841
2025-06-04,4024.0,4024.0,4024.0,1,897
2025-06-06,4024.0,4024.0,4024.0,1,923
2025-06-07,4024.0,4024.0,4024.0,1,2279
2025-06-09,4025.0,4025.0,4025.0,1,2662
2025-06-13,4028.0,4028.0,4028.0,3,1308
2025-06-22,4030.0,4030.0,4030.0,1,165
2025-06-25,4032.0,4032.0,4032.0,1,1
2025-06-27,4037.0,4037.0,4037.0,1,1282
2025-06-30,4037.0,4037.0,4037.0,1,513
2025-07-01,4038.0,4038.0,4038.0,1,933
2025-07-02,4038.0,4038.0,4038.0,1,1586
2025-07-04,4040.0,4040.0,4040.0,1,5573
2025-07-06,4600.0,4600.0,4600.0,2,2374
2025-07-12,4045.0,4045.0,4045.0,2,2736
2025-07-13,4044.92,4044.92,4044.92,2,521
2025-07-18,4047.0,4047.0,4047.0,1,163
2025-07-21,4047.0,4047.0,4047.0,2,258
2025-07-23,9149.0,9149.0,9149.0,5,30547
2025-07-26,4047.0,4047.0,4047.0,1,1
2025-07-27,4047.0,4047.0,4047.0,2,4389
2025-07-28,9150.0,9150.0,9150.0,5,10000
2025-08-04,4047.0,4047.0,4047.0,1,161
2025-08-09,4047.0,4047.0,4047.0,1,1978
2025-08-11,4047.0,4047.0,4047.0,1,2011
2025-08-12,4047.0,4047.0,4047.0,4,10093
2025-08-13,4047.0,4047.0,4047.0,2,736
2025-08-17,4047.0,4047.0,4047.0,1,4949
2025-08-19,6500.0,6500.0,6500.0,2,41411
2025-08-22,4047.0,4047.0,4047.0,1,145
2025-08-30,3232.0,3232.0,3232.0,1,99
2025-08-31,3233.0,3233.0,3233.0,2,2467
2025-09-07,3233.0,3233.0,3233.0,1,712
2025-09-08,3233.0,3233.0,3233.0,1,69
2025-09-13,3233.0,3233.0,3233.0,1,141
2025-09-14,3233.0,3233.0,3233.0,1,719
2025-09-16,3233.0,3233.0,3233.0,1,110
2025-09-19,3233.0,3233.0,3233.0,1,267
2025-09-20,6400.0,6400.0,6400.0,1,1
2025-09-21,6400.0,6400.0,6400.0,2,1200
2025-09-28,3233.0,3233.0,3233.0,2,1536
2025-10-09,3233.0,3233.0,3233.0,1,594
2025-10-14,3233.0,3233.0,3233.0,1,1120
2025-10-16,3233.0,3233.0,3233.0,1,4671
2025-10-17,3233.0,3233.0,3233.0,2,1426
2025-10-22,6490.0,6490.0,6490.0,4,28044
2025-11-01,3233.0,3233.0,3233.0,1,198
2025-11-02,3233.0,3233.0,3233.0,1,269
2025-11-04,3233.0,3233.0,3233.0,2,3603
2025-11-05,4400.0,4400.0,4400.0,2,214082
2025-11-09,3233.0,3233.0,3233.0,1,519
2025-11-11,3233.0,3233.0,3233.0,1,115
2025-11-12,3233.0,3233.0,3233.0,2,772
2025-11-14,445.72,3120.0,0.01,2,70
