date,average,highest,lowest,order_count,volume
2025-05-20,9048920.0,9299000.0,6160500.0,15,25
2025-05-21,8974350.0,9287000.0,6162500.0,11,20
2025-05-22,8766500.0,9279000.0,6200000.0,6,6
2025-05-23,6187000.0,6187000.0,6187000.0,10,156
2025-05-24,6117000.0,6117000.0,6117000.0,15,109
2025-05-25,8030600.0,8992000.0,6010000.0,8,25
2025-05-26,8120459.46,8989000.0,5858000.0,12,37
2025-05-27,7951500.0,8790000.0,5850000.0,8,14
2025-05-28,8787645.16,8793000.0,8779000.0,9,31
2025-05-29,8772307.69,8778000.0,8772000.0,9,13
2025-05-30,8753347.83,8760000.0,8700000.0,14,92
2025-05-31,8237245.61,8746000.0,5843000.0,22,57
2025-06-01,8448230.77,8689000.0,5562000.0,11,13
2025-06-02,8676931.82,8679000.0,8675000.0,12,44
2025-06-03,8651761.9,8658000.0,8628000.0,8,21
2025-06-04,8619842.11,8624000.0,8618000.0,10,19
2025-06-05,8328636.36,8610500.0,5520000.0,7,11
2025-06-06,7445208.33,8596000.0,5520000.0,16,24
2025-06-07,8141750.0,8498000.0,5501000.0,8,8
2025-06-08,8231173.91,8484000.0,5584000.0,15,23
2025-06-09,8466869.57,8470000.0,8462000.0,13,23
2025-06-10,8458000.0,8467000.0,8454000.0,17,173
2025-06-11,8455200.0,8457000.0,8453500.0,10,15
2025-06-12,8426157.89,8450000.0,8000000.0,13,19
2025-06-13,8445909.09,8449000.0,8441000.0,10,11
2025-06-14,7599000.0,8438000.0,5593000.0,14,34
2025-06-15,8210384.62,8428000.0,5600000.0,13,13
2025-06-16,8165545.45,8420000.0,5605000.0,11,11
2025-06-17,8415333.33,8417000.0,8415000.0,9,12
2025-06-18,5930913.04,8409000.0,5603000.0,14,92
2025-06-19,8298750.0,8397000.0,5591000.0,18,60
2025-06-20,8396463.41,8397000.0,8393000.0,12,41
2025-06-21,8284076.92,8391000.0,5599000.0,14,26
2025-06-22,8308771.43,8389000.0,5599000.0,7,35
2025-06-23,8336416.67,8340500.0,8332000.0,10,12
2025-06-24,7239200.0,8330000.0,5603500.0,5,5
2025-06-25,8329615.38,8330000.0,8329000.0,8,26
2025-06-26,8315100.0,8328000.0,8200000.0,8,10
2025-06-27,8248318.84,8326000.0,5616000.0,20,69
2025-06-28,8058800.0,8328500.0,5620000.0,18,20
2025-06-29,8307542.55,8338000.0,5612000.0,18,94
2025-06-30,8325500.0,8327000.0,8299000.0,10,12
2025-07-01,8273666.67,8298000.0,8000000.0,11,12
2025-07-02,8209666.67,8298000.0,5660000.0,10,30
2025-07-03,6984857.14,8295500.0,6661000.0,6,7
2025-07-04,6968023.26,8283500.0,6661000.0,18,43
2025-07-05,7735323.53,8279000.0,5659000.0,13,34
2025-07-06,8262272.73,8279000.0,8199000.0,7,11
2025-07-07,8191222.22,8199000.0,8187000.0,5,9
2025-07-08,7000000.0,7000000.0,7000000.0,7,15
2025-07-09,7429666.67,8175000.0,5619000.0,11,24
2025-07-10,7852916.67,8173000.0,5614000.0,18,48
2025-07-11,8170000.0,8171000.0,8169000.0,10,16
2025-07-12,7996533.33,8167000.0,5614000.0,11,30
2025-07-13,8160760.0,8162000.0,8159000.0,10,25
2025-07-14,7929363.64,8161000.0,5613000.0,20,22
2025-07-15,8159120.0,8160500.0,8159000.0,11,25
2025-07-16,8151000.0,8158000.0,8149000.0,4,4
2025-07-17,8148000.0,8148000.0,8148000.0,10,26
2025-07-18,8148859.65,8149000.0,8148000.0,7,57
2025-07-19,8148230.77,8149000.0,8148000.0,13,13
2025-07-20,8146659.57,8148000.0,8146000.0,20,47
2025-07-21,8157000.0,8158000.0,8148000.0,16,122
2025-07-22,6958188.68,8157000.0,5614000.0,10,53
2025-07-23,7999909.09,8000000.0,7999000.0,4,11
2025-07-24,8051520.0,8153000.0,5615000.0,7,25
2025-07-25,7872333.33,8154000.0,5619000.0,8,9
2025-07-26,6675071.43,8104000.0,5703000.0,18,42
2025-07-27,7417857.14,8101000.0,5711000.0,7,7
2025-07-28,8097285.71,8100000.0,8096000.0,6,7
2025-07-29,6306069.44,8088000.0,5712000.0,12,72
2025-07-30,7924333.33,8083000.0,5709000.0,11,15
2025-07-31,7013172.41,8075000.0,5709000.0,15,29
2025-08-01,8073000.0,8073000.0,8073000.0,1,1
2025-08-02,7217300.0,7616000.0,5619000.0,10,10
2025-08-03,7331000.0,7616500.0,5619000.0,7,7
2025-08-04,6041963.64,7613500.0,5610000.0,19,55
2025-08-05,7613555.56,7614000.0,7613000.0,9,9
2025-08-06,7036142.86,7611000.0,5599000.0,7,7
2025-08-07,7570301.89,7608000.0,5599000.0,6,53
2025-08-08,7471142.86,7611000.0,5660000.0,12,14
2025-08-09,7654454.55,8080000.0,7614000.0,21,55
2025-08-10,7852911.76,8064000.0,5662000.0,12,34
2025-08-11,7832818.18,8050000.0,5662000.0,7,11
2025-08-12,6312279.41,8064000.0,5699000.0,12,68
2025-08-13,6097740.0,8061000.0,5585000.0,11,50
2025-08-14,8055214.29,8056000.0,8053000.0,12,14
