date,average,highest,lowest,order_count,volume
2025-05-21,1646000000.0,1652000000.0,1640000000.0,2,2
2025-05-24,2009000000.0,2009000000.0,2009000000.0,1,1
2025-05-27,1577000000.0,1577000000.0,1577000000.0,1,1
2025-05-28,1932000000.0,1932000000.0,1932000000.0,1,1
2025-06-01,2095750000.0,2168000000.0,2023500000.0,4,4
2025-06-10,1853000000.0,1853000000.0,1853000000.0,1,1
2025-06-21,2024500000.0,2049000000.0,2000000000.0,2,2
2025-07-10,2396500000.0,2397000000.0,2396000000.0,2,2
2025-07-12,2189000000.0,2189000000.0,2189000000.0,1,1
2025-07-15,2050000000.0,2050000000.0,2050000000.0,1,1
2025-07-22,2030000000.0,2050000000.0,2010000000.0,2,2
2025-07-25,2272000000.0,2272000000.0,2272000000.0,1,1
2025-08-19,2219000000.0,2277500000.0,2102000000.0,3,3
2025-08-21,2008500000.0,2009000000.0,2008000000.0,2,2
2025-08-22,1997500000.0,2788000000.0,1207000000.0,2,2
2025-08-26,2174000000.0,2175000000.0,2173000000.0,2,2
2025-09-03,2055000000.0,2055000000.0,2055000000.0,1,1
2025-09-14,1817000000.0,1817000000.0,1817000000.0,1,1
2025-09-18,2138000000.0,2138000000.0,2138000000.0,1,1
2025-09-27,1856000000.0,1856000000.0,1856000000.0,1,1
2025-09-30,2045000000.0,2045000000.0,2045000000.0,1,1
2025-10-05,1750000000.0,1750000000.0,1750000000.0,1,1
2025-10-10,1989000000.0,1989000000.0,1989000000.0,1,1
2025-10-12,1715000000.0,1715000000.0,1715000000.0,1,1
2025-10-22,1932000000.0,1932000000.0,1932000000.0,1,1
2025-10-30,1418000000.0,1418000000.0,1418000000.0,1,1
