date,average,highest,lowest,order_count,volume
2025-05-29,20110.0,20110.0,20110.0,1,1
2025-07-28,20000000.0,20000000.0,20000000.0,1,1
2025-08-30,2900000.0,2900000.0,2900000.0,1,1
2025-09-03,4850000.0,4850000.0,4850000.0,1,1
2025-09-15,1980000.0,1980000.0,1980000.0,1,20
2025-09-20,200100.0,200100.0,200100.0,1,1
2025-09-22,200100.0,200100.0,200100.0,1,1
2025-09-26,200100.0,200100.0,200100.0,1,1
2025-09-30,2766161.54,2980000.0,200100.0,2,13
2025-10-10,200100.0,200100.0,200100.0,1,1
2025-11-03,200100.0,200100.0,200100.0,1,1
2025-11-08,8890000.0,8890000.0,8890000.0,2,5
2025-11-14,200600.0,200600.0,200600.0,1,1
