date,average,highest,lowest,order_count,volume
2025-05-20,824900.0,1137000.0,824800.0,61,135
2025-05-21,1081525.93,1128000.0,924800.0,59,81
2025-05-22,1001711.24,1021500.0,825700.0,57,89
2025-05-23,959283.33,1004000.0,826400.0,53,90
2025-05-24,999600.0,999800.0,828500.0,74,112
2025-05-25,999200.0,999300.0,828800.0,81,186
2025-05-26,963832.22,999900.0,830000.0,63,90
2025-05-27,1054803.66,1135000.0,831200.0,45,82
2025-05-28,1134000.0,1135000.0,1134000.0,85,143
2025-05-29,1131000.0,1132000.0,1130000.0,61,120
2025-05-30,1095224.62,1124000.0,993100.0,52,65
2025-05-31,1123000.0,1131000.0,1120000.0,68,325
2025-06-01,1448000.0,1448000.0,1448000.0,90,150
2025-06-02,1339685.71,1447000.0,995000.0,62,84
2025-06-03,1445000.0,1446000.0,995800.0,69,109
2025-06-04,1437500.0,1438000.0,1435000.0,68,106
2025-06-05,1431000.0,1431000.0,1430000.0,68,123
2025-06-06,1420000.0,1423000.0,1419000.0,86,118
2025-06-07,1389000.0,1391000.0,1388000.0,82,115
2025-06-08,1376000.0,1376000.0,1375000.0,82,136
2025-06-09,1302209.18,1372000.0,999300.0,77,98
2025-06-10,1226679.45,1274000.0,999600.0,52,73
2025-06-11,1368000.0,1369500.0,1272000.0,65,103
2025-06-12,1372000.0,1373000.0,1372000.0,73,103
2025-06-13,1317351.35,1371000.0,1010000.0,51,74
2025-06-14,1283287.36,1374000.0,1014000.0,62,87
2025-06-15,1368000.0,1371000.0,1018000.0,86,137
2025-06-16,1286464.79,1365000.0,1022000.0,50,71
2025-06-17,1353000.0,1353000.0,1353000.0,47,107
2025-06-18,1356000.0,1357000.0,1356000.0,53,104
2025-06-19,1370000.0,1370000.0,1370000.0,75,431
2025-06-20,1412616.44,1449000.0,1075000.0,50,73
2025-06-21,1328114.94,1449000.0,1087000.0,61,87
2025-06-22,1443500.0,1447000.0,1442000.0,86,118
2025-06-23,1445000.0,1446000.0,1443000.0,73,199
2025-06-24,1376543.48,1433500.0,1098000.0,55,92
2025-06-25,1429000.0,1430000.0,1428000.0,66,115
2025-06-26,1387385.96,1415000.0,1144500.0,44,57
2025-06-27,1385000.0,1386000.0,1383000.0,58,133
2025-06-28,1370000.0,1375000.0,1360000.0,77,125
2025-06-29,1350000.0,1350000.0,1348000.0,66,173
2025-06-30,1323000.0,1337500.0,1198000.0,60,108
2025-07-01,1308000.0,1309000.0,1303000.0,71,110
2025-07-02,1293000.0,1294000.0,1289000.0,55,105
2025-07-03,1289000.0,1289000.0,1231500.0,55,131
2025-07-04,1280000.0,1284000.0,1249000.0,48,109
2025-07-05,1267000.0,1269000.0,1249000.0,71,124
2025-07-06,1244000.0,1258000.0,1238000.0,82,216
2025-07-07,1163667.53,1240000.0,998500.0,49,77
2025-07-08,1163229.79,1232000.0,905000.0,66,94
2025-07-09,1153223.66,1230000.0,910100.0,63,93
2025-07-10,1228000.0,1229000.0,1227000.0,64,175
2025-07-11,1172290.59,1216000.0,910500.0,47,85
2025-07-12,1203000.0,1205000.0,1200000.0,75,127
2025-07-13,1184000.0,1186000.0,1172000.0,68,114
2025-07-14,1092547.44,1163000.0,910300.0,55,78
2025-07-15,1091000.0,1092000.0,1091000.0,62,153
2025-07-16,1146000.0,1147000.0,1092000.0,55,118
2025-07-17,1136500.0,1142000.0,1133000.0,65,110
2025-07-18,1068168.12,1129000.0,825200.0,50,69
2025-07-19,1129000.0,1129000.0,1129000.0,76,192
2025-07-20,1127000.0,1127000.0,1126000.0,81,160
2025-07-21,1086813.27,1120000.0,827400.0,65,98
2025-07-22,1112000.0,1112000.0,1111000.0,53,106
2025-07-23,1106000.0,1108000.0,1103000.0,56,171
2025-07-24,1059935.71,1099000.0,827850.0,34,42
2025-07-25,1002184.51,1093000.0,828100.0,50,71
2025-07-26,828200.0,1074000.0,826500.0,68,197
2025-07-27,1047000.0,1048000.0,1034000.0,70,173
2025-07-28,973675.71,1033000.0,811800.0,49,70
2025-07-29,995994.68,1026000.0,811800.0,64,94
2025-07-30,991678.38,1020000.0,811900.0,45,74
2025-07-31,1001073.97,1017000.0,1000000.0,51,73
2025-08-01,1006000.0,1006000.0,1006000.0,49,105
2025-08-02,999450.0,1004000.0,998600.0,61,102
2025-08-03,997900.0,998100.0,996900.0,67,105
2025-08-04,995800.0,996000.0,994800.0,76,105
2025-08-05,964096.15,994200.0,813200.0,54,78
2025-08-06,993000.0,993200.0,992000.0,58,112
2025-08-07,967531.18,992300.0,814300.0,61,93
2025-08-08,978451.69,992500.0,814300.0,64,89
2025-08-09,991800.0,991900.0,991600.0,63,101
2025-08-10,991500.0,991500.0,991500.0,73,145
2025-08-11,966891.95,988900.0,814500.0,49,87
2025-08-12,970485.71,988600.0,814700.0,51,77
2025-08-13,949413.89,988050.0,814400.0,49,72
2025-08-14,987600.0,987600.0,987500.0,46,103
2025-08-15,987000.0,987100.0,987000.0,53,104
2025-08-16,937975.39,986500.0,814800.0,62,77
2025-08-17,937246.59,986100.0,814700.0,64,88
2025-08-18,984000.0,985300.0,814400.0,68,177
2025-08-19,948644.87,983100.0,814500.0,50,78
2025-08-20,897725.32,982900.0,814400.0,47,79
2025-08-21,982300.0,982600.0,982200.0,50,101
2025-08-22,823251.81,982200.0,102500.0,54,83
2025-08-23,982200.0,982300.0,982100.0,76,162
2025-08-24,983300.0,987200.0,982000.0,74,120
2025-08-25,881868.04,987100.0,201700.0,49,97
2025-08-26,931728.57,986700.0,284000.0,54,77
2025-08-27,985600.0,985600.0,985500.0,56,102
2025-08-28,985700.0,985700.0,985700.0,62,145
2025-08-29,986200.0,986700.0,985800.0,60,268
2025-08-30,899207.45,988000.0,293350.0,62,94
2025-08-31,988000.0,988000.0,988000.0,75,223
2025-09-01,987900.0,987900.0,987900.0,75,131
2025-09-02,987800.0,987800.0,987800.0,63,133
2025-09-03,881472.73,987900.0,403200.0,41,55
2025-09-04,988000.0,988000.0,988000.0,60,288
2025-09-05,987000.0,987700.0,687800.0,42,125
2025-09-06,986900.0,986900.0,986900.0,65,128
2025-09-07,986800.0,986900.0,986700.0,75,103
2025-09-08,986800.0,986900.0,986800.0,52,179
2025-09-09,872668.18,986600.0,461200.0,45,66
2025-09-10,847138.89,985900.0,490100.0,53,72
2025-09-11,985500.0,985800.0,985400.0,62,163
2025-09-12,983000.0,985800.0,982900.0,70,126
2025-09-13,984500.0,985200.0,710500.0,67,116
2025-09-14,985000.0,985100.0,984900.0,66,216
2025-09-15,905132.63,984800.0,624500.0,51,95
2025-09-16,922684.0,984900.0,626100.0,52,75
2025-09-17,985100.0,985100.0,985100.0,49,115
