date,average,highest,lowest,order_count,volume
2025-05-20,688.0,688.0,688.0,7,9603
2025-05-21,308.4,308.4,308.4,4,6137
2025-05-22,308.4,308.4,308.4,7,14965
2025-05-23,308.3,308.3,308.3,5,3615
2025-05-24,308.3,308.3,308.3,6,1834
2025-05-25,308.3,308.3,308.3,11,4244
2025-05-26,688.0,688.0,688.0,15,126748
2025-05-27,309.0,309.0,309.0,11,21800
2025-05-28,309.0,309.0,309.0,9,3200
2025-05-29,600.0,1299.0,310.2,9,4072
2025-05-30,310.2,310.2,310.2,14,4964
2025-05-31,310.2,310.2,310.2,8,22388
2025-06-01,310.2,310.2,310.2,23,59094
2025-06-02,310.2,310.2,310.2,11,2875
2025-06-03,310.2,310.2,310.2,7,1097
2025-06-04,310.2,310.2,310.2,10,20950
2025-06-05,310.2,310.2,310.2,11,11294
2025-06-06,310.2,310.2,310.2,11,13496
2025-06-07,310.2,310.2,310.2,20,16900
2025-06-08,310.2,310.2,310.2,16,3037
2025-06-09,310.2,310.2,310.2,4,10500
2025-06-10,310.2,310.2,310.2,18,27966
2025-06-11,310.2,310.2,310.2,2,833
2025-06-12,310.2,310.2,310.2,7,44437
2025-06-13,309.1,309.1,309.1,9,6416
2025-06-14,309.0,309.0,309.0,10,23700
2025-06-15,310.2,310.2,310.2,5,115135
2025-06-16,320.0,320.0,320.0,6,2015
2025-06-17,320.1,749.9,320.0,8,1851
2025-06-18,320.0,320.0,320.0,8,2822
2025-06-19,749.0,750.0,320.0,8,1600
2025-06-20,750.0,750.0,750.0,11,12953
2025-06-21,309.1,309.1,309.1,13,4780
2025-06-22,309.1,309.1,309.1,9,2250
2025-06-23,310.0,310.0,310.0,10,2802
2025-06-24,310.0,310.0,310.0,12,11945
2025-06-25,310.1,310.9,310.1,10,2886
2025-06-26,309.0,309.0,309.0,11,326263
2025-06-27,1.0,1.0,1.0,4,1029
2025-06-28,8.0,8.0,8.0,11,2364
2025-06-29,8.0,8.0,8.0,8,1339
2025-06-30,8.0,8.0,8.0,10,3137
2025-07-01,8.02,8.02,8.02,8,1259
2025-07-02,8.01,884.3,8.01,9,2200
2025-07-03,8.01,8.01,8.01,4,2534
2025-07-04,808.1,808.1,808.0,10,2389
2025-07-05,885.0,885.0,885.0,22,26987
2025-07-06,50.0,50.0,50.0,11,1505
2025-07-07,50.01,50.01,50.01,7,1070
2025-07-08,887.9,887.9,887.9,7,15400
2025-07-09,50.06,50.06,50.06,6,1600
2025-07-10,887.9,887.9,887.9,12,8446
2025-07-11,50.0,50.0,50.0,9,3722
2025-07-12,887.9,887.9,887.9,9,6328
2025-07-13,50.0,50.0,50.0,6,10453
