date,average,highest,lowest,order_count,volume
2025-05-20,45875000.0,45880000.0,45870000.0,2,2
2025-05-22,45870000.0,45870000.0,45870000.0,1,1
2025-05-31,29990000.0,29990000.0,29990000.0,1,1
2025-06-02,25000000.0,30000000.0,20000000.0,2,2
2025-06-03,45780000.0,45780000.0,45780000.0,1,1
2025-06-05,22838200.0,45000000.0,676400.0,2,2
2025-06-06,45790000.0,45790000.0,45790000.0,1,1
2025-06-12,44995000.0,45000000.0,44990000.0,2,2
2025-06-14,45750000.0,45750000.0,45750000.0,1,1
2025-06-15,45870000.0,45990000.0,45750000.0,2,2
2025-06-21,89400000.0,118800000.0,60000000.0,2,2
2025-06-27,118950000.0,119000000.0,118900000.0,2,2
2025-07-09,5034000.0,5034000.0,5034000.0,1,1
2025-07-15,88020000.0,88020000.0,88020000.0,1,1
2025-07-19,88133333.33,88200000.0,88100000.0,3,3
2025-07-20,32590000.0,60000000.0,5180000.0,2,2
2025-07-25,5242000.0,5242000.0,5242000.0,1,1
2025-07-27,5259000.0,5259000.0,5259000.0,1,2
2025-07-28,45000000.0,45000000.0,45000000.0,1,1
2025-07-29,35000000.0,35000000.0,35000000.0,1,1
2025-07-31,5301000.0,5301000.0,5301000.0,1,1
2025-08-12,5348000.0,5348000.0,5348000.0,1,1
2025-08-15,4280000.0,4280000.0,4280000.0,1,1
2025-08-20,5425000.0,5425000.0,5425000.0,1,1
2025-08-23,5446000.0,5446000.0,5446000.0,1,1
2025-08-31,41410000.0,41410000.0,41410000.0,1,1
2025-09-02,23495000.0,34990000.0,12000000.0,2,2
2025-09-05,35000000.0,35000000.0,35000000.0,1,1
2025-09-07,41390000.0,41390000.0,41390000.0,1,1
2025-09-10,24027000.0,41950000.0,6104000.0,2,2
2025-09-12,29990000.0,29990000.0,29990000.0,2,2
2025-09-22,20689000.0,27955000.0,6157000.0,3,3
2025-09-28,6182000.0,6182000.0,6182000.0,1,1
2025-10-01,6181000.0,6181000.0,6181000.0,1,1
2025-10-06,20000000.0,20000000.0,20000000.0,1,1
2025-10-11,15000000.0,15000000.0,15000000.0,1,1
2025-10-13,7001000.0,7001000.0,7001000.0,1,1
2025-10-15,7001000.0,7001000.0,7001000.0,1,1
2025-10-16,7000000.0,7000000.0,7000000.0,1,1
2025-10-17,12163333.33,12500000.0,11995000.0,3,3
2025-10-18,16460000.0,16460000.0,16460000.0,1,1
2025-10-19,11765000.0,16450000.0,7080000.0,2,2
2025-10-27,14990000.0,14990000.0,14990000.0,2,2
2025-10-28,15000000.0,15000000.0,15000000.0,1,1
2025-10-29,10000000.0,10000000.0,10000000.0,1,1
2025-10-30,10505000.0,14010000.0,7000000.0,2,2
2025-10-31,6182000.0,6182000.0,6182000.0,1,1
2025-11-02,11260500.0,16340000.0,6181000.0,2,2
2025-11-03,18490000.0,18490000.0,18490000.0,1,1
2025-11-06,6181000.0,6181000.0,6181000.0,1,1
2025-11-10,9116666.67,15000000.0,6175000.0,3,3
2025-11-12,14970000.0,14970000.0,14970000.0,1,1
2025-11-13,12033333.33,14960000.0,6180000.0,5,6
