date,average,highest,lowest,order_count,volume
2025-05-21,94900000.0,94900000.0,94900000.0,1,1
2025-05-30,40000000.0,40000000.0,40000000.0,1,1
2025-06-03,40000000.0,40000000.0,40000000.0,1,1
2025-06-09,72817000.0,86120000.0,49900000.0,10,10
2025-06-12,11110000.0,11110000.0,11110000.0,1,1
2025-06-14,84990000.0,84990000.0,84990000.0,1,1
2025-06-15,79995000.0,80000000.0,79990000.0,2,2
2025-06-17,84930000.0,84930000.0,84930000.0,2,2
2025-06-19,85471666.67,90930000.0,83990000.0,6,6
2025-06-22,88015000.0,90000000.0,81110000.0,4,4
2025-06-26,11110000.0,11110000.0,11110000.0,1,2
2025-07-01,11110000.0,11110000.0,11110000.0,1,1
2025-07-02,90463333.33,90670000.0,90050000.0,3,3
2025-07-04,90780000.0,90780000.0,90780000.0,1,1
2025-07-05,90795000.0,90800000.0,90790000.0,2,2
2025-07-08,70000000.0,70000000.0,70000000.0,1,1
2025-07-15,80000000.0,80000000.0,80000000.0,1,1
2025-07-18,89000000.0,89000000.0,89000000.0,1,1
2025-07-19,48090000.0,85000000.0,11180000.0,2,2
2025-07-21,73900000.0,73900000.0,73900000.0,1,1
2025-07-31,63990000.0,63990000.0,63990000.0,1,1
2025-08-01,60000000.0,60000000.0,60000000.0,1,1
2025-08-02,68060000.0,73160000.0,65000000.0,4,5
2025-08-05,73000000.0,73000000.0,73000000.0,1,1
2025-08-06,17100000.0,17100000.0,17100000.0,1,1
2025-08-09,72505000.0,73010000.0,72000000.0,2,2
2025-08-10,73055000.0,73100000.0,73010000.0,2,2
2025-08-11,73993333.33,74400000.0,73180000.0,3,3
2025-08-12,79680000.0,89140000.0,74950000.0,3,3
2025-08-14,90620000.0,90930000.0,90000000.0,3,3
2025-08-18,90000000.0,90000000.0,90000000.0,1,1
2025-08-22,20000000.0,20000000.0,20000000.0,1,1
2025-08-25,21000000.0,21000000.0,21000000.0,1,1
2025-08-28,38000000.0,38000000.0,38000000.0,1,1
2025-08-29,33000000.0,46000000.0,20000000.0,2,2
2025-09-04,37900000.0,37900000.0,37900000.0,1,1
2025-09-05,35000000.0,35000000.0,35000000.0,1,1
2025-09-06,23390000.0,37965000.0,19230000.0,5,9
2025-09-07,37950000.0,37950000.0,37950000.0,1,1
2025-09-08,37960000.0,37960000.0,37960000.0,1,1
2025-09-09,37490000.0,37490000.0,37490000.0,1,1
2025-09-12,28375000.0,37460000.0,19290000.0,2,2
2025-09-13,37470000.0,37470000.0,37470000.0,1,1
2025-09-16,20210000.0,20210000.0,20210000.0,1,1
2025-09-17,20210000.0,20210000.0,20210000.0,1,1
2025-09-19,18960000.0,25000000.0,12920000.0,2,2
2025-09-20,26627500.0,29490000.0,20200000.0,4,4
2025-09-23,29480000.0,29480000.0,29480000.0,2,2
2025-09-24,19320000.0,19320000.0,19320000.0,1,1
2025-09-25,19320000.0,19320000.0,19320000.0,1,1
2025-09-27,19310000.0,19310000.0,19310000.0,1,1
2025-09-28,27990000.0,27995000.0,27985000.0,3,3
2025-09-29,27995000.0,28000000.0,27990000.0,2,2
2025-10-01,30590000.0,35000000.0,29480000.0,5,5
2025-10-02,35000000.0,35000000.0,35000000.0,1,1
2025-10-05,37960000.0,37970000.0,37950000.0,2,2
2025-10-10,36641428.57,37990000.0,35710000.0,6,7
2025-10-11,38000000.0,38000000.0,38000000.0,1,1
2025-10-13,47900000.0,47900000.0,47900000.0,1,1
2025-10-15,54140000.0,54140000.0,54140000.0,1,1
2025-10-18,50170000.0,50170000.0,50170000.0,1,1
2025-10-20,18100000.0,18100000.0,18100000.0,1,1
2025-10-22,54985000.0,54990000.0,54980000.0,2,2
2025-10-23,55000000.0,55000000.0,55000000.0,1,1
2025-10-25,130000000.0,130000000.0,130000000.0,1,1
2025-10-29,129000000.0,129000000.0,129000000.0,1,1
2025-11-02,60020000.0,60020000.0,60020000.0,1,1
2025-11-03,60060000.0,60060000.0,60060000.0,1,1
2025-11-06,124300000.0,124300000.0,124300000.0,1,1
2025-11-08,123000000.0,123000000.0,123000000.0,1,1
2025-11-09,60250000.0,60250000.0,60250000.0,1,1
2025-11-10,122200000.0,122200000.0,122200000.0,1,1
2025-11-11,60230000.0,60230000.0,60230000.0,1,1
2025-11-13,89550000.0,118900000.0,60200000.0,2,2
2025-11-14,60100000.0,60100000.0,60100000.0,1,1
