date,average,highest,lowest,order_count,volume
2025-05-20,6060000.0,6060000.0,6060000.0,1,3
2025-05-22,14820000.0,14820000.0,14820000.0,1,1
2025-05-23,6062000.0,6062000.0,6062000.0,1,1
2025-05-24,6062000.0,6062000.0,6062000.0,1,1
2025-05-29,14810000.0,14810000.0,14810000.0,1,2
2025-06-03,14823333.33,14830000.0,14820000.0,2,3
2025-06-05,9500000.0,9500000.0,9500000.0,1,1
2025-06-06,9001000.0,9001000.0,9001000.0,1,1
2025-06-23,23000000.0,23000000.0,23000000.0,1,1
2025-07-07,23010000.0,23010000.0,23010000.0,1,1
2025-07-21,49990000.0,49990000.0,49990000.0,2,2
2025-08-08,9278000.0,9278000.0,9278000.0,1,2
2025-08-11,25000000.0,25000000.0,25000000.0,1,1
2025-08-12,41000000.0,41000000.0,41000000.0,1,1
2025-08-14,9410000.0,9410000.0,9410000.0,1,1
2025-08-18,12469999.97,12469999.97,12469999.97,1,1
2025-08-19,12410000.0,12410000.0,12410000.0,1,1
2025-08-22,44990000.0,44990000.0,44990000.0,1,1
2025-09-01,5017000.0,5017000.0,5017000.0,1,1
2025-09-02,44605000.0,44610000.0,44600000.0,2,2
2025-09-08,44700000.0,44700000.0,44700000.0,1,1
2025-09-10,5159000.0,5159000.0,5159000.0,1,1
2025-09-21,44995000.0,45000000.0,44990000.0,2,2
2025-10-01,5561000.0,5561000.0,5561000.0,1,1
2025-10-04,5602000.0,5602000.0,5602000.0,1,1
2025-10-06,34910000.0,34910000.0,34910000.0,2,2
2025-10-07,5608000.0,5608000.0,5608000.0,1,1
2025-10-09,34770000.0,34770000.0,34770000.0,1,1
2025-10-10,5616000.0,5616000.0,5616000.0,1,1
2025-10-11,5701000.0,5701000.0,5701000.0,1,1
2025-10-12,34970000.0,34970000.0,34970000.0,1,1
2025-10-16,34490000.0,34490000.0,34490000.0,1,1
2025-10-29,31350000.0,33000000.0,29700000.0,2,2
2025-11-02,32500000.0,33000000.0,32000000.0,2,2
2025-11-04,38000000.0,38000000.0,38000000.0,1,1
2025-11-08,217525250.0,288000000.0,6201000.0,3,4
